Sanitary,Index,Comment
True,71,"- không cho gửi xe máy, - phòng quá nhỏ, - Tivi không mở được, - Điện thoại bàn không có tín hiệu, không sử dụng được, - không thêm mới xà phòng và bàn chải đánh răng cho ngày ở thứ hai. - Ăn sáng quá tệ - Quá ồn, tiếng ồn từ nhạc và cả nhân_viên nói chuyện phía ngoài hành lang - nhân_viên không thân thiện. => tóm lại là rất tệ, không thể gọi là hotel mà chỉ có thể gọi là nhà trọ."
True,73,"ivivu làm việc nhanh chóng và đầy đủ thông tin. Phòng và dịch_vụ tại khu nghỉ dưỡng ok, mọi việc tốt"
True,74,Ok
True,81,"Tôi thấy khách_sạn có chất lượng tương xứng với giá_cả, cảm ơn ivivu đã hỗ trợ."
True,84,dịch_vụ tốt. Bãi biển buổi sáng nước trong veo và có thể thấy được cá.
True,92,Tốt . Không có gì phàn nàn !
True,93,"Tôi rất thích nên tôi đã đến đây nhiều lần, mọi việc đều tốt cho chuyến đi"
True,95,khách_sạn có khung_cảnh tuyệt đẹp và dịch_vụ rất ổn. nhân_viên phục_vụ tận tâm làm khách luôn thấy hài lòng
True,96,"khách_sạn có chất lượng tốt, chuyến đi rất thuận_lợi. ivivu làm việc chu đáo, nhanh và nhiệt tình."
True,98,"khách_sạn đẹp, sạch_sẽ, nhân_viên thân thiện. Tuy nhiên, dịch_vụ xe điện hơi chậm do có 1 nhân_viên. 
khách_sạn tốt có dịp sẽ ghé lại"
True,99,Mình rất ưng ý và đánh giá tốt cho khách_sạn và cho nhân_viên . Các bạn khá là nhiệt tình
True,103,"khách_sạn đẹp, ăn sáng ngon, nhân_viên rất tuyệt vời."
True,114,"Lễ tân nhiệt tình! khách_sạn ngay trung tâm Huế! Gần phố Tây, Phố đi bộ, Sông Hương... Tuy nhiên phòng cũ, nóng! Máy lạnh bị hư nên cần thiết thay! Mình không thấy khách đông nhưng yêu cầu đổi phòng thì được báo hết phòng Không có thang máy nên leo 4 tầng lầu hơi phê :(((( hy vọng khách_sạn khắc phục"
True,116,"Phòng ốc cũng ok nhưng hơi nhiều muỗi, nhân_viên và dịch_vụ tốt"
True,119,"dịch_vụ rất tốt. Gia đình tôi đã từng ở đây rồi, mọi việc vẫn hài lòng"
True,124,"khách_sạn sạch_sẽ, khung_cảnh đẹp, nhân_viên nhiệt tình, bữa sáng ngon, điểm trừ thang máy hơi chậm, bãi tắm hơi xa khách_sạn. In general, tốt value for money"
True,125,Mình hài lòng về chuyến đi và cũng không có phàn nàn gì cả. tất cả các dịch_vụ mình đều hài lòng. nhân_viên khách_sạn cũng như ivivu quan tâm và chu đáo.
True,132,"Tốt lắm, chỉ có máy bay bị dời lại thôi, còn lại rất hài lòng."
True,137,"khách_sạn ngay sông nên hay có mùi hơi khó chịu. Còn lại thì nhân_viên nhiệt tình, thân thiện, ăn sáng ngon. Nói chung mình không ở phòng có nhiều côn trùng nên cảm thấy khách_sạn rất thoải mái. Nhất định có cơ hội sẽ quay lại"
True,141,"Victoria Phan Thiết rất tốt, tôi không có gì phàn nàn hết. Đáp ứng đúng yêu cầu của tôi. "
True,142,"Không gian tiện nghi, phòng ốc sạch_sẽ"
True,145,"Bữa sáng chưa thật sự ngon và phong phú, còn lại mọi thứ đều rất tuyệt!"
True,149,"khách_sạn này mọi thứ đều rất tốt không có gì phải phàn nàn cả, chỉ có điều bất tiện duy nhất khi ở đây là bãi biển không tắm được vì nhiều đá. Và dịch_vụ đặt phòng của ivivu làm tôi rất hài lòng"
True,155,"Khu nghỉ dưỡng phục_vụ tôi không phàn nàn gì, thấy rất thích luôn"
True,164,"khách_sạn đẹp dịch_vụ tốt, nhân_viên dễ thương"
True,165,"Mọi thứ rất là hoàn hảo, tôi hài lòng về khách_sạn và nhân_viên ivivu. Nếu có cơ hội tôi sẽ tiếp tục ủng hộ công ty. Cảm ơn công ty nhiều"
True,171,"khu_nghỉ_mát ở tôi thấy ok, nhân_viên chu đáo."
True,174,"khu_nghỉ_mát khá đẹp , nhân_viên chu đáo tuy nhiên hơi xa trung tâm (35km) và buffet sáng cần cải thiện"
True,175,"khu_nghỉ_mát tôi ưng lắm, gia đình tôi hài lòng chuyến đi này. Bạn Phương Thanh đến ngày đi còn nhắc lại tôi nữa, có thắc mắc gì thì bạn giải đáp hết. "
True,178,khu_nghỉ_mát mới xây nên còn nhiều thứ chưa đâu vào đâu
True,180,"Tuyệt vời và thật sự hạnh phúc khi ở đây
"
True,181,"Chất lượng khách_sạn rất tốt,  phòng ốc sạch_sẽ và đồ ăn ngon. Về nhân_viên ivivu nhiệt tình và nhanh chóng  đầy đủ thông tin."
True,182,"nhân_viên thân thiện, môi trường sạch_sẽ, tuy nhiên cần chăm sóc cảnh quan, cây cối hơn."
True,187,"khách_sạn đẹp, rộng rãi, thoáng. nhân_viên hỗ trợ nhiệt tình, nhanh chóng. Mình rất hài lòng."
True,189,"dịch_vụ ok, nhưng món ăn không hợp khẩu vị. nhân_viên nhiệt tình."
True,191,"dịch_vụ khách_sạn ok, mình cảm thấy hài lòng, khung_cảnh đẹp, nhân_viên phục_vụ chu đáo. 
nhân_viên tư vấn: nhanh nhẹn và chuyên nghiệp. "
True,196,"Khu nghỉ dưỡng có cảnh đẹp, phòng thoải mái, sạch_sẽ, nhân_viên phục_vụ dễ thương, gần mặt đường nên tiện đi lại, ăn uống. dịch_vụ của ivivu làm tôi rất hài lòng, tư vấn viên vui vẻ, nhiệt tình, dịch_vụ chất lượng tốt."
True,201,"Chất lượng khách_sạn rất tốt. Các bạn nhân_viên hỗ trợ mình rất nhiệt tình, nhanh chóng. Mình rất hài lòng về chuyến đi này."
True,210,"nhân_viên ivivu rất vui vẻ và nhiệt tình, cảm ơn ivivu đã tư vấn khách_sạn này cho chuyến đi của tôi, mọi thứ hoàn hảo, từ chất lượng phòng ốc đến thái độ nhân_viên. Sẽ liên hệ ivivu cũng như đặt khách_sạn này trong khi có kế hoạch."
True,222,"tôi có 1 kỳ nghỉ thật tuyệt vời tại đây, phòng ốc sạch_sẽ, đẹp, nhân_viên thân thiện"
True,225,"Đẹp, nhưng nên mở bể bơi vào sáng sớm thay vì 8 giờ sáng như hiện tại."
True,238,"phòng sạch_sẽ, nhân_viên nhiệt tình, tôi đã ở mấy lần đều thấy thoải mái"
True,247,"khách_sạn rất tuyệt vời, chuyến đi rất là vui, nhân_viên tư vấn hỗ trợ hết sức, phải cho 10 điểm. Lần sau lại đi tiếp của ivivu."
True,259,"Tôi thấy tốt về mọi thứ.khách_sạn và nhân_viên đều tốt,nhân_viên ivivu tư vấn nhanh nhẹn nhiệt tình."
True,260,"nhân_viên rất thân thiện, thái độ phục_vụ chu đáo, nhà hàng nấu ăn ngon và sạch_sẽ. Khung cảnh yên tĩnh, phù hợp với nghỉ dưỡng."
True,271,"Rất tốt, yên tĩnh, đầy đủ tiện nghi"
True,291,"Xuất sắc về khách_sạn cũng như nhân_viên hỗ trợ. Tuy nhiên, giá hơi cao. "
True,292,"Tốt nhưng muỗi khá nhiều , đề nghị phun thuốc trừ muỗi nhiều hơn "
True,298,Rất tốt
True,304,"Mọi thứ tôi thấy bình thường, "
True,308,Phòng chưa được dọn khi khách lên nhận phòng
True,310,"Mọi việc tốt đẹp, gia đình tôi hài lòng"
True,314,"khu_nghỉ_mát thích hợp để nghỉ dưỡng. Không khí trong lành, cảnh quang hết hợp hài hoà với thiên nhiên, nhà hàng có đồ ăn sạch, khá ngon Có khu vui chơi để giải trí"
True,318,"Khu nghỉ mát này là rất hòa bình và thiên nhiên thân thiện. Tôi khá ấn tượng với khu vườn có mà hoàn toàn tươi, xanh lá cây và đầy hoa. Căn phòng tôi đặt là tốt đẹp và thoải mái loại trừ một số dấu vết bẩn trên ghế sofa và một ánh sáng bị hỏng trong phòng tắm. Tôi ấn tượng với kích thước của căn phòng và phòng tắm của nó mà tôi nghĩ sẽ phù hợp cho gia đình có trẻ em. Các nhân_viên siêu thân thiện. Tôi khuyên bạn nên cho Poshanu món hotspot cho bữa ăn trưa hoặc ăn tối, nó khá tại địa phương và quan trọng đối với kinh nghiệm của bạn."
True,334,"Tôi đã có một kỳ nghỉ thoải mái và vui vẻ tại đây.. phòng rộng rãi, thoáng mát. Lễ tân rất hoà đồng."
True,335,"Mọi thứ ở khu nghỉ dưỡng đều rất tốt, tôi không có gì phải phiền lòng cả. Các bạn nhân_viên tư vấn bên ivivu hỗ trợ tôi nhiệt tình, nhanh chóng."
True,339,"Chất lượng khách_sạn rất tốt,  phòng ốc sạch_sẽ và đồ ăn ngon. Về nhân_viên ivivu nhiệt tình và nhanh chóng  đầy đủ thông tin."
True,343,"Phòng cũ, ở 3 ngày nhưng không hề dọn phòng. Phòng nhỏ xíu. Nói chung tệ và sẽ không quay trở lại"
True,345,Tôi thấy khách_sạn và dịch_vụ bên ivivu đều ok.
True,349,Tôi rất hài lòng với dịch_vụ .Nói chung mọi sự đều tuyệt vời👍❤️👍❤️👍
True,356,"Mọi thứ về khách_sạn đều tốt, phòng ốc rộng rãi nhưng tôi thấy ăn sáng không được ngon"
True,357,"Không có thang máy, ở tầng trên đi mỏi chân, mọi thứ khác ok"
True,359,Bữa sáng tự chọn tồi tệ. Bể bơi bẩn. Nội thất không tươm tất như giới thiệu. Đã có những trải nghiệm tồi tệ với phòng tắm ở Tầng 3.
True,360,Cơ sở vật chất quá cũ. Hồ bơi thì dơ.
True,363,dịch_vụ khách_sạn tốt . Mọi thứ Tôi đều hài lòng .
True,371,"Khu nghỉ dưỡng đẹp, chất lượng tốt từ phòng ốc đến dịch_vụ"
True,379,khách_sạn tốt! Phòng đẹp! Hồ bơi đẹp.
True,381,Tuyệt vời. Mình rất thích những chỗ nghỉ của vinpearl
True,382,"Mình đi chơi rất vui, phòng khách_sạn đẹp thoáng mát, đồ ăn ngon. Cảm ơn ivivu nhé."
True,398,Phong cảnh đẹp. khách_sạn tiện_ích. Hài lòng
True,400,khách_sạn mang đến cho gia đình mình 1 trải nghiệm tốt. Chỉ tiếc là do vắng khách vì thời điểm dịch cũng như không phải mùa cao điểm nên bữa sáng thành chọn món. Tuy nhiên đồ ăn bữa sáng cũng khá ngon.
True,405,"khách_sạn đẹp, vườn rau thuỷ canh trên sân thượng rất hấp dẫn. nhân_viên khách_sạn nhiệt tình, mình đến sớm hơn giờ nhận phòng, nhưng khách_sạn vẫn cho nhận phòng luôn."
True,416,"Mọi thứ điều tốt. dịch_vụ của ivivu rất ok, lần sau tôi sẽ tiếp tục sử dụng"
True,417,"Victoria Phan Thiết không có vấn đề gì, mọi thứ đều tốt. "
True,419,"khách_sạn ok. nhân_viên tư vấn nhiệt tình, giá rẻ."
True,420,"phòng đẹp, đồ ăn ngon, nhân_viên nhiệt tình"
True,424,"nhân_viên rất thân thiện, thái độ phục_vụ chu đáo, nhà hàng nấu ăn ngon và sạch_sẽ. Khung cảnh yên tĩnh, phù hợp với nghỉ dưỡng."
True,425,"khách_sạn đẹp, nhân_viên phục_vụ nhiệt tình, nói nhiều tiếng anh :( "
True,431,Phòng diện tích nhỏ. Còn lại đều ok
True,438,khách_sạn ok. Mỗi tiếp tân là chưa nhiệt tình lắm
True,442,"Mọi thứ ok cả, chuyến đi tốt"
True,445,"dịch_vụ khách_sạn hài lòng, mọi thứ đều tốt. dịch_vụ ivivu tốt, nhân_viên tư vấn tốt, mọi thứ đều tốt hết"
True,453,"khách_sạn hiện đại, phòng sạch_sẽ, bạn nam lễ tân rất dễ thương và nhiệt tình. Vị trí khách_sạn gần biển, phòng tầng cao khung_cảnh rất đẹp. Chỉ có wifi hơi chậm"
True,456,Phòng đẹp thoáng không gian nhỏ nhưng thú vị
True,459,"khách_sạn ngay trung tâm nên thuận tiện cho việc di chuyển. Cũng đầy đủ các nhu cầu cần thiết (tắm nóng lạnh, điều hoà, tivi, tủ lạnh) cho việc nghỉ ngơi sinh hoạt ngắn ngày. Phòng hơi cũ, nhỏ, nhưng yên tĩnh. Ngang với tên nhà nghỉ sẽ hợp lý hơn. Giá cũng dễ chịu bởi lẽ ở trung tâm mà. Nếu có dịp đi Hồ Chí Minh mình vẫn đặt ở đây."
True,461,"dịch_vụ khách_sạn ok lắm, cái gì cũng tốt hết, bạn Danh nhân_viên ivivu hỗ trợ rất nhiệt tình luôn"
True,462,"- vị trí: khá xa Thị trấn Đông Dương, sân bay... nhưng thích hợp nghỉ dưỡng.. - phòng hầu như giống với hệ thống Vinpearl khác. sạch_sẽ, đầy đủ tiện nghi... - đặc biệt có ho boi đẹp và công viên nước trẻ em bên trong khu_nghỉ_mát. - buffet sáng cũng khá nhiều món."
True,465,"khách_sạn VinOasis có dịch_vụ đưa và đón khách tại Sân bay Phú Quốc rất tốt. nhân_viên lịch sự, nhã nhặn và thanh lịch. Tuy nhiên, thời gian nhận_phòng cho khách nhận phòng khá là chậm do tác phong và vận hành còn khá đơn giản, thiếu sự chuyên nghiệp. Cũng may là trong lúc khách lây lất chờ đợi được nhận phòng thì khách_sạn có cung cấp nước uống chào mừng được miễn phí. Phòng đẹp, sạch, yên tĩnh. Ăn sáng nấu ngon, món ăn phong phú cả Âu và Á nên rất phù hợp cho các loại khách. Không có dụng cụ cạo râu cung cấp sẵn trong phòng như các khách_sạn bình thường khác. Nên cải thiện điều này"
True,473,"nhân_viên tư vấn: nhiệt tình và hỗ trợ rất nhiều. 
dịch_vụ khách_sạn: nói chung vừa đến khu_nghỉ_mát tôi và gia đình đã được đón chào nồng nhiệt, phòng ở thì cũng được dọn sạch_sẽ, nói chung là ở rất thấy thoải mái, được sử dụng các dịch_vụ trong gói. "
True,475,"Đánh giá của an ninh an toàn và cách khu nghỉ không thiết kế khóa thẻ phòng như các chỗ khác chính là mức bảo đảm tối đa nhất. Phòng ốc sạch đẹp, đồ ăn không quá nhiều nhưng đủ để lại ấn tượng cho du khách. nhân_viên nhiệt tình và gần gũi."
True,477,"Movenpick khu_nghỉ_mát Cam ranh : Phòng mới, khung_cảnh đẹp, ăn sáng ngon phong phú, bãi biển tuyệt vời. Nhà hàng ít món ăn chưa phong phú , dịch_vụ giải trí hạn chế"
True,478,Môi trường thân thiện. Bữa sáng giá trị. Gần GrandWorld
True,480,"Cũng rất ok về mọi mặt, Chắc lần sau sẽ quay lại."
True,487,"Ngày đầu máy lạnh hư nên tôi đã yêu cầu đổi phòng khác, phải đổi đến mấy phòng mới ok. Vì máy lạnh dường như cũ rồi, không lạnh"
True,501,"Phòng thiết kế đẹp sạch_sẽ, không gian yên tĩnh thoải mái"
True,502,Cảm ơn nhân_viên ivivu  hỗ trợ tôi nhiệt  tình  và chu đáo. khách_sạn rất tốt đúng với tiêu chuẩn 5 sao.
True,503,"khách_sạn có chất lượng rất tốt, sát biển, phòng đẹp và sang trọng. nhân_viên ivivu làm việc rất chu đáo, lịch sự và nhanh chóng."
True,508,khách_sạn hơi cũ nhưng cơ bản là ở được với giá tiền đó.
True,510,"khách_sạn nội thất quá cũ, nội thất nhà_vệ_sinh đã hư hỏng hết."
True,511,"Phòng Victoria Phan Thiết có mùi thơm thoang thoảng rất dễ chịu. 
Mình sẽ quay lại"
True,518,"Ks phòng đẹp, ăn sáng ngon. Tuy hơi đông đúc nhưng vẫn ổn, nhộn nhịp. nhân_viên ivivu dễ thương hỗ trợ nhiệt tình (Ms. Liễu). Cảm ơn ivivu "
True,529,"khách_sạn rất xứng đáng dịch_vụ 5 sao. không có gì phải phàn nàn, biển đẹp, khu trò chơi rất nhiều trò, bao ăn 3 bữa trong ngày. Tôi rất hài lòng về dịch_vụ của ivivu"
True,532,việc nhận_phòng quá chậm mà không biết lỗi từ trang mạng hay từ khách_sạn?
True,536,"khách_sạn  thoải mái, đẹp, chất lượng về dịch_vụ và nhân_viên tốt"
True,539,"khách_sạn đẹp, nhân_viên phục_vụ nhiệt tình, nói nhiều tiếng anh :( "
True,545,"dịch_vụ tốt, nhân_viên phục_vụ chu đáo, thân thiện, tuy nhiên, mình thấy khách_sạn lâu đời rồi nên nhìn có vẻ hơi cũ 1 chút, các dịch_vụ khác đều ổn. 
ivivu: tốt, và tư vấn nhiệt tình. "
True,552,Mọi thứ rất tốt
True,553,"dịch_vụ khách_sạn rất tốt. Tuy nhiên nhà vệ sinh khi tắm dễ bị tràn nước ra sàn, rất tiếc vì điều này, mọi thứ đều phờ phệch trừ cái nhà_vệ_sinh này"
True,555,Rất tốt. phục_vụ chuyên nghiệp chu đáo sạch_sẽ
True,556,Có nhiều muỗi trong khu vực phòng Delux
True,560,Mình hài lòng với chất lượng của khách_sạn và nhân_viên tư vấn của ivivu
True,568,Phòng sạch đẹp. Ăn sáng ngon. Sẽ quay lại
True,581,"khách_sạn tốt, nhân_viên dễ thương, mình đã đi khách_sạn này mấy năm trước rồi. Mình quay lại lần này thấy hơi khác một chút. Tuy nhiên, mình rất hài lòng, và cho điểm tối đa. "
True,586,"Điều này thật tuyệt vời, khách_sạn siêu sạch và nhân_viên rất thân thiện."
True,588,"Phòng nhiều muỗi và không có cách âm, khách đoàn nhiều, ban ngày cực ồn do đang xây dựng kế bên, buffet sáng thì lập đi lập lại, nhân_viên thiếu chuyên nghiệp, 2h30 nhận phòng mà đứng đợi nửa tiếng đồng hồ trong khi trời nóng"
True,589,Mọi thứ đều tuyệt ngoại trừ máy lạnh nên bảo dưỡng lại
True,596,"khách_sạn mới khung_cảnh biển khỏi chê ạ, giá_cả lại cực kỳ hợp lý nữa ạ, mình ở Mường Thanh với Vinpearl codotel thì thấy Mường Thanh giá hợp lý mà chất lượng khỏi chê luôn í ạ, lần sau nếu quay lại Nha Trang nhất định sẽ lại chọn Mường Thanh ạ"
True,603,Mọi thứ đều rất ổn. Tiếc là đi bộ ra bãi tắm hơi xa
True,606,"Khu nghỉ dưỡng chất lượng dịch_vụ đều tốt, tôi không phàn nàn điều gì. dịch_vụ ivivu cũng chu đáo, nhân_viên hỗ trợ nhanh chóng nói chung tôi rất hài lòng về chuyến đi vừa rồi."
True,607,"Quay lại lần 2 vào dịp lễ vẫn ưng ý vô cùng, nhân_viên dễ thương, khu_nghỉ_mát đẹp, biển sạch, sẽ cùng gia đình quay lại lần sau "
True,610,"Mình đặt phòng giường đôi, khi nhận phòng thấy giường đôi thật nhưng khi nằm thì phát hiện là 2 giường đơn ghép lại. Nằm ở giữa bị đau lưng, giường còn kêu cọt kẹt nữa. Không gian xung quanh thì thoáng mát, yên tĩnh. Các dịch_vụ chưa ok lắm. Chưa xứng với khu_nghỉ_mát 5 sao và giá tiền"
True,614,"Khách sạn có khung_cảnh biển, hổ bơi rất đẹp nhé, tha hồ chụp hình sống ảo. Bãi biển thì không thích hợp để tắm. Bữa sáng thì cũng được, có nhiều lựa chọn. nhân_viên rất nhiệt tình và dễ thương. Có cái bất tiện là nhà_vệ_sinh, phòng tắm không có́ được tách biệt hẳn với phòng ngủ, đi với bạn bè, người quen thì rất là ngại đấy."
True,615,"Chuyến đi của chúng tôi ổn, mọi việc đều hài lòng"
True,617,nhân_viên tư vấn rất nhiệt tình. khách_sạn cũng ok
True,622,"khách_sạn có chất lượng rất tốt, cảnh rất đẹp, giá rất hợp, nhưng nhân_viên phục_vụ không thân thiện, lạnh lùng với khách, chất lượng dịch_vụ ivivu rất tốt."
True,623,"nhân_viên thân thiện và dễ mến, họ đưa hành lý của chúng tôi từ taxi đến phòng, cho chúng tôi một chai nước miễn phí sau khi chúng tôi trả phòng."
True,627,khách_sạn đẹp tốt khung_cảnh rất được sẽ quay lại sau
True,630,"Ở khách_sạn thì đẹp nhưng gia đình tôi bị côn trùng cắn nhiều, có báo bộ phận lễ tân và cũng được xịt côn trùng. nhân_viên rất tận tình."
True,631,"khách_sạn tốt, đẹp, đây là lần thứ 2 mình quay lại đây vẫn rất thích khách_sạn này, nhưng đợt này mình đi phòng mình đặt phòng là căn bungalow thì có rệp. Mình không biết là do trên giường có rệp hay là do rớt từ trên mái xuống mà cả mình và bạn mình khi đi về đều bị cắn. Mặc dù vậy nhưng mình và bạn mình rất thích khách_sạn này và vẫn muốn quay lại đây vào lần sau, Hy vọng khách_sạn sẽ cải thiện vấn đề vệ sinh tốt hơn. nhân_viên ivivu rất nhiệt tình, mình đặt Combo  bạn hỗ trợ mình chọn giờ bay rất phù hợp, mình rất thích."
True,634,Vị trí thì tốt. Sát biển. Khuôn viên rộng. Nhưng phòng quá xuống cấp vì được xây dựng khá lâu rồi. Giá phòng như vậy chưa tương xứng. Không bao giờ có ý định quay lại nữa
True,637,"Tuyệt vời, nhân_viên thân thiện nhiệt tình, bãi biển vô cùng đẹp. Đồ ăn sáng rất ngon "
True,642,"Tôi rất thích nên tôi đã đến đây nhiều lần, mọi việc đều tốt cho chuyến đi"
True,648,"Phòng rộng rãi, dịch_vụ tốt. nhân_viên phục_vụ và nhân_viên tư vấn nhiệt tình."
True,650,"khách_sạn tốt, chuyến đi cùng ok, không có phàn nàn gì."
True,652,"Sea Horse rất tốt, trừ 1 việc là có hơi nhiều muỗi. Tôi ở tầng trệt, room 123,125, thấy như vậy!"
True,654,"Tuyệt vời, phòng sạch_sẽ, nhân_viên niềm nở. Chỉ duy nhất bể bơi đang sửa chữa nền gạch nền xước xát nhiều."
True,660,"khách_sạn sạch_sẽ, nhân_viên thân thiện, biển tắm không được vì có đá"
True,662,"Trong mùa dịch Covid 19 nhưng khách_sạn vẫn đảm bảo chất lượng, cảm ơn nhiều nhiều."
True,670,Mình thấy khách_sạn và nhân_viên đều tốt
True,672,"Các bạn nhân_viên rất nhiệt tình và thân thiện, khách du lịch thì lịch sự, phòng đẹp, đồ ăn ngon, không khí trong lành"
True,679,"Chuyến đi tốt, mọi việc ok"
True,682,Có nhiều muỗi trong khu vực phòng Delux
True,717,"Phòng sạch_sẽ, rộng rãi, phù hợp túi tiền, có chỗ để xe hơi, phục_vụ dễ chịu."
True,738,"Mình cùng nhóm bạn đã nghỉ 2 đêm tại khách_sạn vào đợt cuối tháng 3 vừa rồi. Bọn mình 5 người chọn phòng family, phụ thu 1 người. Phòng rộng rãi, thoáng mát, có ngăn đôi 2 buồng, chung phòng vệ sinh. Phòng nào cũng có tivi. Nói chung ở vừa tiết kiệm lại vẫn thoải mái. nhân_viên khách_sạn cũng rất nhiệt tình, dễ thương. Chỉ có điều mặc dù gần biển nhưng vị trí khách_sạn không phải ở trung tâm, bãi biển phía trước cũng không đẹp. Mình nghĩ với giá tiền như vậy thì khách_sạn sunflower khá ok."
True,739,"Lần đầu tiên đến với Fusion, mọi thứ rất nhẹ nhàng và thoải mái. Mình rất thích mùi hương ở đây, từ trong phòng nghỉ đến các khu thư_giãn, rất mộc mạc và giản dị. Các bạn nhân_viên cũng dễ thương nữa. Có dịp mình chắc chắn sẽ quay lại nơi này."
True,748,"khách_sạn sạch_sẽ, nhân_viên chu đáo, nhiệt tình"
True,750,"dịch_vụ tại ivivu nhanh - gọn - lẹ và hiệu quả, ưng ý nhất những điều này. khách_sạn cũng rất tốt. "
True,751,khu_nghỉ_mát rất tuyệt sẽ quay lại khi có thể
True,755,"Việc đặt khách_sạn rất dễ dàng, các bạn ivivu hỗ trợ mình rất nhanh và tận tình, về khách_sạn thì không có gì phàn nàn, mọi thứ rất đẹp và tốt,"
True,757,Xem từ khách_sạn là đẹp và thơ mộng. Tôi thích nhìn thấy con sông và cầu Trường Tiền từ đó.
True,761,"Chuyến đi của tôi tốt đẹp, tôi hài lòng về khu nghỉ dưỡng và ivivu. Tôi cũng thường đặt phòng qua ivivu, hỗ trợ nhanh chóng"
True,766,"Phòng ốc sạch_sẽ, nhân_viên phục_vụ tốt, vị trí gần biển. Thuê xe máy 150k/ngày, nhưng mà cứ nổ máy là tính ít nhất 0.5 ngày, cái này có vẻ hơi không được happy lắm. Còn lại là ok."
True,770,Tốt . Không có vấn đề gì .
True,776,"Chuyến đi mình cảm thấy hài lòng, nhân_viên chu đáo, chăm sóc tận tình, tư vấn kỹ gia đình. 
cảm ơn ivivu. "
