Infrastructure,Index,Comment
True,68,Mọi thứ điều ok. Đủ để cho ai thích ở lâu ngày đấy.❤️❤️
True,69,"Trước khi nhận phòng: khách_sạn bảo không có dịch_vụ đưa đón sân bay miễn_phí như liệt kê trong mô tả đặt phòng — gọi yêu cầu app — đặt phòng taxi xong rồi khách_sạn mới giải quyết. Lúc về gọi báo khách_sạn có đưa đón sân bay, khách_sạn lại chối, lại phải bảo app báo có mà, rồi lại báo có. Chán! Phòng nhận được sàn dơ, nhờ lau thì nói 15ph xuống thì 1 giờ sau phải gọi giục rồi mới xuống. Ngày hai yêu cầu dọn phòng buổi sáng mình ra ngoài nên nhờ tranh thủ, lúc về trưa thấy còn nguyên, chìu mình nhờ dọn lại. Thật sự sàn lau không sạch. Ăn sáng khỏi nói, đồ ăn vừa ít vừa không tươi vừa kiểu ỉu ỉu như để lâu. Nói chung mình không chọn khách_sạn này lần hai!"
True,70,Tuyệt vời nếu có lần sau nhất định quay lại.
True,74,Ok
True,81,"Tôi thấy khách_sạn có chất lượng tương xứng với giá_cả, cảm ơn ivivu đã hỗ trợ."
True,89,"Không có trái cây chào mừng, nên hơi buồn xíu. Đường xuống bãi biển cát không mịn. Chất lượng phòng tốt"
True,92,Tốt . Không có gì phàn nàn !
True,93,"Tôi rất thích nên tôi đã đến đây nhiều lần, mọi việc đều tốt cho chuyến đi"
True,98,"khách_sạn đẹp, sạch_sẽ, nhân_viên thân thiện. Tuy nhiên, dịch_vụ xe điện hơi chậm do có 1 nhân_viên. 
khách_sạn tốt có dịp sẽ ghé lại"
True,101,"Nhà vệ sinh vừa bẩn vừa hôi còn có gián, chăn ga thì không biết giặt chưa vẫn còn tóc của người ta, chăn ga loang ố màu! Bẩn"
True,108,"khách_sạn khá ổn so với mức giá, vị trí thuận tiện đi lại có điều nhân_viên lễ tân không được thoải mái cho lắm"
True,114,"Lễ tân nhiệt tình! khách_sạn ngay trung tâm Huế! Gần phố Tây, Phố đi bộ, Sông Hương... Tuy nhiên phòng cũ, nóng! Máy lạnh bị hư nên cần thiết thay! Mình không thấy khách đông nhưng yêu cầu đổi phòng thì được báo hết phòng Không có thang máy nên leo 4 tầng lầu hơi phê :(((( hy vọng khách_sạn khắc phục"
True,115,Tôi thấy chuyến đi được phục_vụ và ở chỗ rất tốt và đẹp.
True,119,"dịch_vụ rất tốt. Gia đình tôi đã từng ở đây rồi, mọi việc vẫn hài lòng"
True,122,Bảo vệ rất khó chịu. Phòng cách ly kém nên rất ồn. Phòng sạch. Lễ tân dễ thương.
True,124,"khách_sạn sạch_sẽ, khung_cảnh đẹp, nhân_viên nhiệt tình, bữa sáng ngon, điểm trừ thang máy hơi chậm, bãi tắm hơi xa khách_sạn. In general, tốt value for money"
True,125,Mình hài lòng về chuyến đi và cũng không có phàn nàn gì cả. tất cả các dịch_vụ mình đều hài lòng. nhân_viên khách_sạn cũng như ivivu quan tâm và chu đáo.
True,127,"Pandanus đã và đang sửa chữa nâng cấp phòng nên thu hút khách, mặc dù khách_sạn ở khá xa "
True,130,"nhân_viên làm việc tốt, chu đáo. phòng ốc sạch_sẽ và thoải mái"
True,132,"Tốt lắm, chỉ có máy bay bị dời lại thôi, còn lại rất hài lòng."
True,136,Thái độ của lễ tân không tốt. Wifi rất yếu dường như không xài được. Phòng khung_cảnh biển cũng chỉ nhìn được biển lấp ló qua mấy toà nhà.
True,141,"Victoria Phan Thiết rất tốt, tôi không có gì phàn nàn hết. Đáp ứng đúng yêu cầu của tôi. "
True,144,"nhân_viên ivivu nhẹ nhàng, nhiệt tình. khách_sạn đẹp chất lượng, ăn ngon, không gian đẹp. "
True,145,"Bữa sáng chưa thật sự ngon và phong phú, còn lại mọi thứ đều rất tuyệt!"
True,149,"khách_sạn này mọi thứ đều rất tốt không có gì phải phàn nàn cả, chỉ có điều bất tiện duy nhất khi ở đây là bãi biển không tắm được vì nhiều đá. Và dịch_vụ đặt phòng của ivivu làm tôi rất hài lòng"
True,151,"sạch_sẽ, an uong tot , ở biệt_thự hơi bất tiện việc di chuyen"
True,155,"Khu nghỉ dưỡng phục_vụ tôi không phàn nàn gì, thấy rất thích luôn"
True,165,"Mọi thứ rất là hoàn hảo, tôi hài lòng về khách_sạn và nhân_viên ivivu. Nếu có cơ hội tôi sẽ tiếp tục ủng hộ công ty. Cảm ơn công ty nhiều"
True,174,"khu_nghỉ_mát khá đẹp , nhân_viên chu đáo tuy nhiên hơi xa trung tâm (35km) và buffet sáng cần cải thiện"
True,175,"khu_nghỉ_mát tôi ưng lắm, gia đình tôi hài lòng chuyến đi này. Bạn Phương Thanh đến ngày đi còn nhắc lại tôi nữa, có thắc mắc gì thì bạn giải đáp hết. "
True,176,"nhân_viên hỗ trợ nhiệt tình, linh động giải quyết những phát sinh. Chất lượng khách_sạn tốt"
True,180,"Tuyệt vời và thật sự hạnh phúc khi ở đây
"
True,191,"dịch_vụ khách_sạn ok, mình cảm thấy hài lòng, khung_cảnh đẹp, nhân_viên phục_vụ chu đáo. 
nhân_viên tư vấn: nhanh nhẹn và chuyên nghiệp. "
True,199,"Mất điện, mất nước đúng hôm mình ở nên không buồn về phòng"
True,200,"Bạn Huệ hỗ trợ mình rất tốt. Về Vinpearl thì mình thấy rất tốt, mọi dịch_vụ, phòng ốc hay ăn uống mình đều rất thích hài lòng"
True,207,"1. Phòng đẹp, giá tốt, gần bờ biển (đi bộ chỉ tốn 5p). Xung quanh trống nên có nhiều chỗ đậu xe 2. nhân_viên nhiệt tình và thân thiện. Mình đến khá sớm, nhưng còn phòng trống thì bạn hỗ trợ cho nhận phòng luôn (sớm 3 tiếng) mà không tốn phí. 3. Điểm trừ là tủ lạnh nhỏ trong phòng không lạnh."
True,225,"Đẹp, nhưng nên mở bể bơi vào sáng sớm thay vì 8 giờ sáng như hiện tại."
True,231,khách_sạn có vị trí tốt nhưng phòng bị hư dột nên phải chuyển sang khách_sạn khác.
True,237,"nhân_viên ở đây rất xem thường khách, nhìn mặt khách mà trề môi khinh khi. tiền thức ăn gọi lên phòng đã tính 15% mà vẫn đòi thêm 25% trên tổng hoá đơn vậy nghĩa là khách_sạn lấy 40% trên hoá đơn thức ăn. đặt phòng 40 mét_vuông (đã thanh toán) thì đưa khách phòng 30 mét_vuông. hành lý tự xách. ở đây không có gì tham quan ngoại trừ nguồn nước nóng tự nhiên. cảm thấy phòng không sạch_sẽ và phí tiền khi chọn nơi này. tốn tiền còn gặp thái độ nhân_viên khinh khỉnh"
True,238,"phòng sạch_sẽ, nhân_viên nhiệt tình, tôi đã ở mấy lần đều thấy thoải mái"
True,240,Quá đẹp
True,241,Bungalow rộng và thiết kế nhìn ấn tượng. Hài lòng khi ở Victoria Phan Thiết
True,248,Gia đình tôi hài lòng với dịch_vụ của ivivu và khu nghỉ dưỡng
True,249,dịch_vụ tốt. Chúng tôi hài lòng về ivivu và khách_sạn
True,250,"nhân_viên ivivu hỗ trợ tôi chu đáo và nhanh chóng. Tôi rất thích khách_sạn này, dịch_vụ chu đáo. "
True,252,"Gia đình mình nghỉ 1 đêm tại đây và lần đầu trải nghiệm không khí mát mẻ trong lành, phong cảnh đẹp, khách_sạn sạch, nhân_viên chu đáo và mình có mã coupon nên hài lòng cho chuyến đi👍sẽ có dịp quay lại đây🥰"
True,254,Nói chung nó khá tốt. nhân_viên cần chuyên nghiệp hơn. Tốt hơn nhiều nếu phòng là tiếng ồn bằng chứng
True,258,Nước nóng không nóng lắm và lâu lắm mới có nước nóng ra ngoài. Cửa cản tiếng ồn từ bên ngoài kém
True,260,"nhân_viên rất thân thiện, thái độ phục_vụ chu đáo, nhà hàng nấu ăn ngon và sạch_sẽ. Khung cảnh yên tĩnh, phù hợp với nghỉ dưỡng."
True,266,"Tôi thấy khách_sạn  ok.dịch_vụ tư vấn bên ivivu rất tốt.tôi thích cách làm việc,cách tư vấn nhiệt tình bên ivivu hơn các trang du lịch trực tuyến khác."
True,268,Đó là khách_sạn rất tốt. Phòng tắm sạch_sẽ
True,270,"khách_sạn rất ok, chu đáo
nhân_viên nhiệt tình, dễ thương"
True,274,"khách_sạn ở tốt,tôi hài lòng về cách tư vấn của nhân_viên ivivu và cả nhân_viên phục vụ"
True,276,"Bố mẹ tôi đi về rất hài lòng,khen rất nhiều. khách_sạn rất đẹp và mấy bạn phục_vụ rất nhiệt tình."
True,281,Rất cảm ơn ivivu đã rất nhiệt tình tư vấn. Khu nghỉ dưỡng rất đẹp. Buffet sáng ngon. Tuy nhiên kỳ nghỉ sẽ tuyệt vời hơn nếu dịch_vụ xe điện phục_vụ tốt hơn. Mỗi lần gọi xe điện phải đợi rất lâu. Nhiều lần phải đi bộ vì đợi không nỗi
True,283,Tôi cảm thấy hài lòng về khách_sạn. Lễ tân nhiệt tình và dịch_vụ tốt! Cảm ơn sự đón tiếp của quý khách_sạn!
True,286,đi nhận phòng vào ngày trời không nắng lắm nên tối đó không có nước nóng..nhưng ngay hôm sau có nắng và đã có nước nóng. mọi thứ tạm ổn
True,292,"Tốt nhưng muỗi khá nhiều , đề nghị phun thuốc trừ muỗi nhiều hơn "
True,293,"Khách_sạn khá đông, phục_vụ hơi chậm, đồ ăn được nhưng hơi mặn, phòng ở ban đầu mình có lưu ý với sale @trâm tuy nhiên, khi ra ngoài đấy thì đặt phòng gia đình mình không được khách_sạn lưu ý phòng gần khu vực nhà hàng vì gia đình có người lớn tuổi nên chân yếu. Mình đã có nói chuyện với @trâm vì sao lại không thông báo cho mình trước để mình đổi khách_sạn khác. "
True,295,"Không gian khu_nghỉ_mát ok, vị trí hơi xa so với các khu_nghỉ_mát khác, nhưng gần đồi hồng tôi thấy cũng tiện đi lại và vui chơi, ăn sáng thiên về món ăn phương Tây, tôi ăn không quen nhưng tôi thấy thức ăn cũng ngon. Tôi hài lòng về khu_nghỉ_mát này."
True,298,Rất tốt
True,304,"Mọi thứ tôi thấy bình thường, "
True,306,khu_nghỉ_mát đẹp. nhân_viên phục_vụ chu đáo. nhưng hơi nhiều côn trùng.Tôi hài lòng về cách phục_vụ của khu_nghỉ_mát
True,310,"Mọi việc tốt đẹp, gia đình tôi hài lòng"
True,312,Với tầm giá 1 triệu cho 3 đêm với phòng như vậy là quá chuẩn. Lễ tân khá nhiệt tình.
True,313,"khách_sạn cũng ổn, hơi xa trung tâm"
True,321,"Phòng ẩm mốc, bụi như 1 tháng không có ai ở qua. Mượn bàn ủi hay gì cũng dạ mà im re. Tiếp đón như khách_sạn 1 sao, ăn uống thì quá bèo thua khách_sạn bình dân, hết thức ăn không ai mang ra phục_vụ ... mọi thứ phải chen chúc, chờ đợi. Đi lần đầu ok lần thứ hai thì chia tay mãi mãi. Âm điểm"
True,335,"Mọi thứ ở khu nghỉ dưỡng đều rất tốt, tôi không có gì phải phiền lòng cả. Các bạn nhân_viên tư vấn bên ivivu hỗ trợ tôi nhiệt tình, nhanh chóng."
True,349,Tôi rất hài lòng với dịch_vụ .Nói chung mọi sự đều tuyệt vời👍❤️👍❤️👍
True,351,"Phù hợp với giá tiền. Không gian rộng đẹp, hồ bơi đẹp, có sân tennis miễn phí. Hài lòng và sẽ đến khi có điều kiện."
True,352,"Chất lượng phòng ốc rất ổn, không gian rộng rãi rất thích hợp cho việc nghỉ dưỡng"
True,363,dịch_vụ khách_sạn tốt . Mọi thứ Tôi đều hài lòng .
True,364,"Bạn Thảo ivivu hỗ trợ mình rất tốt và nhiệt tình, về khách_sạn thì mình rất ưng ý vì thật sự rất đẹp và thoải mái, tiện nghi"
True,368,"Cảm ơn ivivu đã cung cấp cho chúng tôi một kỳ nghỉ trên cả tuyệt vời. Mọi người trong nhóm ai cũng hoan hỷ vì sự nhiệt tình tư Vấn, giúp đỡ của cô Trâm, cũng như sự hoàn hảo từ cơ sở vật chất cũng như thái độ phục_vụ chuyên nghiệp , đẳng cấp của khu_nghỉ_mát Inter Continental Đà nẵng. Rất mong Sẽ gặp lại ivivu trong những Chuyến đi tiếp theo khi có điều kiện"
True,372,"Chắc do đông khách hay sao thì lễ tân những bộ phận khác hỗ trợ không tốt: như phần đặt bữa ăn,...Phòng thì bình thường, không đặc sắc lắm"
True,378,"Nó nằm ở trung tâm của Old Town. Mọi thứ đều rất sạch_sẽ, họ dọn nhà hàng ngày. Kích thước phòng khá nhỏ hơn tôi nghĩ và ban công là vô dụng, nhưng nhìn chung là ổn. Tôi chắc chắn sẽ trở lại đây vào lần sau"
True,381,Tuyệt vời. Mình rất thích những chỗ nghỉ của vinpearl
True,384,"khu_nghỉ_mát đẹp, yên tĩnh, sạch_sẽ.nhân_viên lịch sự, dễ chịu. nhưng nằm ở vị trí hơi xa nên tìm taxi khó, nên đi xe nhà."
True,385,"Tôi hài lòng, khu_nghỉ_mát ở rất thoải mái, gia đình sẽ quay lại"
True,386,"Phòng giá tốt ngay biển, đủ tiện nghi"
True,394,"Vị trí tốt và phòng được sạch_sẽ và thoải mái. Thân thiện, nhân_viên nói tiếng Anh."
True,400,khách_sạn mang đến cho gia đình mình 1 trải nghiệm tốt. Chỉ tiếc là do vắng khách vì thời điểm dịch cũng như không phải mùa cao điểm nên bữa sáng thành chọn món. Tuy nhiên đồ ăn bữa sáng cũng khá ngon.
True,402,"Phòng sạch_sẽ, ngay trung tâm, tiện đi lại"
True,412,"Tôi thấy khách_sạn cũng được, ở cũng bình thường, nhân_viên ok."
True,413,chỗ ở rất tuyệt vời
True,416,"Mọi thứ điều tốt. dịch_vụ của ivivu rất ok, lần sau tôi sẽ tiếp tục sử dụng"
True,417,"Victoria Phan Thiết không có vấn đề gì, mọi thứ đều tốt. "
True,422,"khách_sạn này tốt, tôi thấy hài lòng về chuyến đi này. nhân_viên ivivu tốt. Sẽ quay lại đặt bên ivivu"
True,429,"nhân_viên thân thiện. nhiệt tình, phòng chất lượng"
True,434,"nhân_viên dọn phòng để khăn bẩn trên bồn rửa mặt, khách không muốn phản ánh lên khách_sạn vì cũng không sử dụng tới. Đến khi trả tiền thì bắt đền khách mặc dù khách không sử dụng đến khăn đó nên không thể do khách làm bẩn được"
True,435,"khách_sạn có chất lượng rất tốt, cảnh rất đẹp, giá rất hợp, nhưng nhân_viên phục_vụ không thân thiện, lạnh lùng với khách, chất lượng dịch_vụ ivivu rất tốt."
True,436,"khu_nghỉ_mát phục_vụ tốt. Nhưng 1 giường đôi của tôi là do 2 giường nhỏ ghép lại. Mà nhìn chung chúng tôi đã có chuyến đi vui. App của ivivu khá ok, nhưng khi vào mục chuyến đi của tôi thì cứ bị quay hoài nên tôi phải thoát ra. nhân_viên ivivu hỗ trợ tốt, hẹn gặp các bạn lần sau"
True,442,"Mọi thứ ok cả, chuyến đi tốt"
True,445,"dịch_vụ khách_sạn hài lòng, mọi thứ đều tốt. dịch_vụ ivivu tốt, nhân_viên tư vấn tốt, mọi thứ đều tốt hết"
True,447,khách_sạn đẹp. Phòng y hình nhân_viên dễ thương. Sẽ quay lại lần sau
True,449,"Phòng sạch_sẽ, thoáng mát. ivivu hỗ trợ ok, phản ứng nhanh nhạy, tôi hài lòng"
True,451,"khu_nghỉ_mát cảnh quan đẹp, dịch_vụ tốt, thức ăn nhà hàng Việt ngon, mình chưa ăn nhà hàng Tây nên không nhận xét. 
Mình đặt đặt phòng vào 29 AL nên sợ không được xác nhận đặt phòng, nhưng ivivu đã xử lý tốt"
True,452,"khu_nghỉ_mát rất đẹp, khá đầy đủ tiện nghi. đồ ăn hợp với khẩu vị của vợ chồng mình. có điều buffet sáng chưa đa dạng lắm hơi ngán. "
True,454,"khu_nghỉ_mát đẹp, nhân_viên dễ thương, gia đình mình rất thích. "
True,462,"- vị trí: khá xa Thị trấn Đông Dương, sân bay... nhưng thích hợp nghỉ dưỡng.. - phòng hầu như giống với hệ thống Vinpearl khác. sạch_sẽ, đầy đủ tiện nghi... - đặc biệt có ho boi đẹp và công viên nước trẻ em bên trong khu_nghỉ_mát. - buffet sáng cũng khá nhiều món."
True,463,"khách_sạn sạch_sẽ, giá rẻ. điều hòa mát. lần sau sẽ đặt phòng phòng có khung_cảnh ban công thì thoải mái hơn"
True,465,"khách_sạn VinOasis có dịch_vụ đưa và đón khách tại Sân bay Phú Quốc rất tốt. nhân_viên lịch sự, nhã nhặn và thanh lịch. Tuy nhiên, thời gian nhận_phòng cho khách nhận phòng khá là chậm do tác phong và vận hành còn khá đơn giản, thiếu sự chuyên nghiệp. Cũng may là trong lúc khách lây lất chờ đợi được nhận phòng thì khách_sạn có cung cấp nước uống chào mừng được miễn phí. Phòng đẹp, sạch, yên tĩnh. Ăn sáng nấu ngon, món ăn phong phú cả Âu và Á nên rất phù hợp cho các loại khách. Không có dụng cụ cạo râu cung cấp sẵn trong phòng như các khách_sạn bình thường khác. Nên cải thiện điều này"
True,473,"nhân_viên tư vấn: nhiệt tình và hỗ trợ rất nhiều. 
dịch_vụ khách_sạn: nói chung vừa đến khu_nghỉ_mát tôi và gia đình đã được đón chào nồng nhiệt, phòng ở thì cũng được dọn sạch_sẽ, nói chung là ở rất thấy thoải mái, được sử dụng các dịch_vụ trong gói. "
True,474,"Mọi việc tốt, từ phòng đến dịch_vụ tôi đều hài lòng. Tôi sẽ liên hệ ivivu cho những chuyến đi tới"
True,479,"khách_sạn rất ok, dịch_vụ giống với những Vinpearl khác tôi đã đi"
True,480,"Cũng rất ok về mọi mặt, Chắc lần sau sẽ quay lại."
True,481,"khách_sạn đẹp, đồ ăn ngon nhân_viên tuyệt vời nhất là bạn Linh ở nhà hàng"
True,482,Phòng và dịch_vụ của khu_nghỉ_mát đều tốt.
True,484,"khách_sạn cũng được, tôi không có gì phàn nàn."
True,485,"Tôi rất hài lòng. Sau 1 năm trở lại, dịch_vụ và phòng vẫn rất tốt. "
True,493,"ga trải giường, khăn lau không được thay trong 3 ngày chúng tôi ở. Hồ bơi không được thay rửa, bãi biển có rác nhưng ít."
True,494,Phòng mình nhận không giống trong hình. Thấy trên hình có khung_cảnh biển mà khi nhận lại cho mình vào chỗ xung quanh là tường không. Cửa sổ chẳng nhìn thấy gì ngoài bức tường khu kế bên.
True,499,"Chuyến đi rất ok, tôi hài lòng về phòng và dịch_vụ của khu_nghỉ_mát lắm. Mọi việc tốt và vui vẻ "
True,511,"Phòng Victoria Phan Thiết có mùi thơm thoang thoảng rất dễ chịu. 
Mình sẽ quay lại"
True,512,"Gia đình tôi đã nhiều lần ở đây và sử dụng dịch_vụ ivivu nhiều lần, tôi rất thích sự chu đáo của các bạn nhân_viên và sự thoải mái khi ở khách_sạn"
True,521,"Phòng ốc sạch_sẽ đẹp đẽ phù hợp với giá tiền nhé các bạn ơi, ngay gần sunworld đi bộ tầm 50-100m là tới rồi. Được cái chị chủ vô cùng nhiệt tình, hỗ trợ hết mình nên mọi người không phải lo nhé"
True,529,"khách_sạn rất xứng đáng dịch_vụ 5 sao. không có gì phải phàn nàn, biển đẹp, khu trò chơi rất nhiều trò, bao ăn 3 bữa trong ngày. Tôi rất hài lòng về dịch_vụ của ivivu"
True,530,"khách_sạn sạch_sẽ, nhân_viên rất dễ thương. khu_nghỉ_mát rất rộng dường như chưa hoàn thiện nên hoang sơ. Nhưng mình thích điều này."
True,531,"dịch_vụ tốt, phòng khách đặt khung_cảnh hướng biển, nhưng nhìn ra bị vướng tầm nhìn nên không hài lòng lắm
nhân_viên nhiệt tình, nắm rõ thông tin sản phẩm."
True,534,"Gần khu phố cổ nên tiện đi lại, không thích ăn sáng kiểu gọi món, nước miễn_phí mà chai nước nhãn hiệu lạ không dám uống. Giá phòng rẻ, phòng hơi nhỏ cho 3 người, nhưng nhà tắm thì thật là to :))"
True,541,Khá lâu rồi mới trở lại đây. khu_nghỉ_mát đã thay đổi đẹp hơn rất nhiều. Ăn sáng khá ngon tuy lên thức ăn hơi chậm
True,546,"Không gian rất thoáng mát, nhân_viên vô cùng thân thiện 👍👍👍"
True,552,Mọi thứ rất tốt
True,553,"dịch_vụ khách_sạn rất tốt. Tuy nhiên nhà vệ sinh khi tắm dễ bị tràn nước ra sàn, rất tiếc vì điều này, mọi thứ đều phờ phệch trừ cái nhà_vệ_sinh này"
True,558,"Đặt phòng nhanh, nhân_viên hỗ trợ chu đáo. khu_nghỉ_mát ở rất ok"
True,559,"Phòng sạch_sẽ, nhân_viên thân thiện, hỗ trợ khách tận tình. Chỉ ở 1 đêm nhưng mình rất thích cách phục_vụ của nhân_viên ở đây. Chắc chắn lần sau có dịp đến Hà Nội sẽ quay lại khách_sạn."
True,566,"dịch_vụ và phòng ổn, nhưng chưa tuyệt đối"
True,568,Phòng sạch đẹp. Ăn sáng ngon. Sẽ quay lại
True,578,dịch_vụ khách_sạn và ivivu đều ok
True,599,Hơi có sự lộn xộn trong việc kiểm soát thẻ giữ xe máy và không có nước uống miễn phí
True,603,Mọi thứ đều rất ổn. Tiếc là đi bộ ra bãi tắm hơi xa
True,605,"khách_sạn có dịch_vụ tốt, thủ tục nhanh gọn, nhân_viên nhiệt tình vui vẻ. Khi tôi trả phòng trễ, khách_sạn còn cho tôi một phòng khác để nghỉ khi phòng tôi đang ở có người thuê . nhân_viên ivivu tư vấn cho tôi nhiệt tình."
True,615,"Chuyến đi của chúng tôi ổn, mọi việc đều hài lòng"
True,621,"Phong hôi, bẩn. Đổi phòng khác vẫn vậy."
True,623,"nhân_viên thân thiện và dễ mến, họ đưa hành lý của chúng tôi từ taxi đến phòng, cho chúng tôi một chai nước miễn phí sau khi chúng tôi trả phòng."
True,624,Tôi hài lòng về phục_vụ của khách_sạn
True,626,"khách_sạn dịch_vụ tốt, nhân_viên hỗ trợ nhiệt tình, phòng tôi xếp trên phòng hội nghị tối hôm đó hơi ồn rất khó ngủ. khách_sạn nên  hỗ trợ sắp xếp phòng cho ivivu về vấn đề này. Tôi cảm ơn ivivu đã hỗ trợ nhiệt tình."
True,630,"Ở khách_sạn thì đẹp nhưng gia đình tôi bị côn trùng cắn nhiều, có báo bộ phận lễ tân và cũng được xịt côn trùng. nhân_viên rất tận tình."
True,637,"Tuyệt vời, nhân_viên thân thiện nhiệt tình, bãi biển vô cùng đẹp. Đồ ăn sáng rất ngon "
True,640,Rất yên tĩnh và nhân_viên rất thân thiện. Đồ ăn đơn giản nhưng ngon ! Khách nước ngoài ở rất nhiều đủ để thấy chất lượng rồi. Khu nghỉ dưỡng tuy có hơi nhỏ nhưng cảnh cực kỳ đẹp !
True,641,"nhân_viên của ivivu tư vấn nhiệt tình và nhanh nhẹn. Tôi hài lòng với khu nghỉ dưỡng, từ phòng đến dịch_vụ"
True,642,"Tôi rất thích nên tôi đã đến đây nhiều lần, mọi việc đều tốt cho chuyến đi"
True,643,"khách_sạn khá đông, phục_vụ hơi chậm, đồ ăn được nhưng hơi mặn, phòng ở ban đầu mình có lưu ý với sale @trâm tuy nhiên, khi ra ngoài đấy thì đặt phòng gia đình mình không được khách_sạn lưu ý phòng gần khu vực nhà hàng vì gia đình có người lớn tuổi nên chân yếu. Mình đã có nói chuyện với @trâm vì sao lại không thông báo cho mình trước để mình đổi khách_sạn khác. "
True,644,"Một khách_sạn tuyệt trong những khách_sạn tại Huế, bữa sáng tuyệt vời, tuy khách_sạn còn chưa chuyên nghiệp khi giao tiếp với khách"
True,647,"Phòng và dịch_vụ ok lắm, chỉ mỗi tội tôi có ghi chú thông tin phòng tôi ở tầng cao và khung_cảnh đẹp, nhưng các bạn lại sắp xếp cho tôi phòng ở tầng 1 và không có khung_cảnh"
True,652,"Sea Horse rất tốt, trừ 1 việc là có hơi nhiều muỗi. Tôi ở tầng trệt, room 123,125, thấy như vậy!"
True,658,"khu_nghỉ_mát rất thoải mái, thoáng mát. Tôi và gia đình rất thích, nhưng mỗi tội là hồ bơi đang sửa chữa nên chưa trải nghiệm hết. Chúng tôi sẽ quay lại khi hồ bơi hoàn thiện"
True,659,"Khu nghỉ dưỡng rất đẹp, phục_vụ chu đáo. Chúng tôi rất thích chuyến đi"
True,660,"khách_sạn sạch_sẽ, nhân_viên thân thiện, biển tắm không được vì có đá"
True,663,khách_sạn tuyệt vời!!! Các bạn nhân_viên dễ thương!
True,666,"Lần đầu mình đặt phòng qua ivivu, tôi được hỗ trợ rất nhiệt tình và thật sự hài lòng. Về khách_sạn thì tôi thất rất chuyên nghiệp và tốt."
True,667,"rất sạch, đi nhà_vệ_sinh tại khách_sạn rất thoải mái."
True,679,"Chuyến đi tốt, mọi việc ok"
True,682,Có nhiều muỗi trong khu vực phòng Delux
True,736,"dịch_vụ tốt, khách_sạn khung_cảnh đẹp, vị trí thuận tiện."
True,748,"khách_sạn sạch_sẽ, nhân_viên chu đáo, nhiệt tình"
