Service,Index,Comment
True,70,Tuyệt vời nếu có lần sau nhất định quay lại.
True,72,Set thực_đơn chất hơn lẩu thả (lẩu thả ăn để biết thôi). khu_nghỉ_mát đẹp
True,74,Ok
True,81,"Tôi thấy khách_sạn có chất lượng tương xứng với giá_cả, cảm ơn ivivu đã hỗ trợ."
True,89,"Không có trái cây chào mừng, nên hơi buồn xíu. Đường xuống bãi biển cát không mịn. Chất lượng phòng tốt"
True,92,Tốt . Không có gì phàn nàn !
True,93,"Tôi rất thích nên tôi đã đến đây nhiều lần, mọi việc đều tốt cho chuyến đi"
True,131,khách_sạn không có tinh thần giúp đỡ cho khách hàng trong việc nhận_phòng. Hết phòng không chủ động thông báo cho khách hàng. Khách hàng gọi điện thoại qua số trên đặt phòng thì bảo là nhầm số
True,132,"Tốt lắm, chỉ có máy bay bị dời lại thôi, còn lại rất hài lòng."
True,141,"Victoria Phan Thiết rất tốt, tôi không có gì phàn nàn hết. Đáp ứng đúng yêu cầu của tôi. "
True,142,"Không gian tiện nghi, phòng ốc sạch_sẽ"
True,153,"khách_sạn rất đẹp,bãi biển dài, hồ bơi rộng. Phòng thoáng, sạch_sẽ. Buffet sáng ngon, nhiều món lành mạnh. Tuy nhiên phí ăn sáng cho bé 2t trở lên 325k là khá cao"
True,154,Giờ nhận phòng là 14h. Mà 17 giờ mới được nhận phòng
True,180,"Tuyệt vời và thật sự hạnh phúc khi ở đây
"
True,225,"Đẹp, nhưng nên mở bể bơi vào sáng sớm thay vì 8 giờ sáng như hiện tại."
True,257,Rất hài lòng về dịch_vụ của khách_sạn cũng như ivivu
True,271,"Rất tốt, yên tĩnh, đầy đủ tiện nghi"
True,273,"Phòng bé, ăn sáng ít món. Vị trí gần phố cổ"
True,284,Khi Tôi đi Tôi có phát sinh 2 bé dưới 5 tuổi và Tôi đã phải thanh toán thêm tiền 1 bé. Tôi cảm thấy rất không hợp lý với chính sách đó trong khi Tôi ở biệt_thự 3 phòng ngủ. Các khách_sạn khác Tôi ở đâu có phụ thu kiểu như thế và khu_nghỉ_mát cũng khá cũ rồi.Chắc chắn Tôi sẽ không quay lại. Bên ivivu Tôi vẫn rất hài lòng
True,288,"nhân_viên nhiệt tình,phòng tiện nghi"
True,289,"phòng rất đẹp, khu du lịch nhiều trò chơi hấp dẫn. tuy nhiên, đồ ăn ở nhà hàng hơi chán."
True,292,"Tốt nhưng muỗi khá nhiều , đề nghị phun thuốc trừ muỗi nhiều hơn "
True,296,nhân_viên đưa phòng khác trên ảnh
True,298,Rất tốt
True,300,"khách_sạn ở tương đối tốt, phòng sạch_sẽ và nhân_viên phục_vụ thân thiện. Các bạn nhân_viên ivivu hỗ trợ tôi đặt phòng nhanh chóng và rất nhiệt tình. "
True,301,"Tôi không sử dụng nhiều dịch_vụ tại khách_sạn, nhưng nhìn chung mọi việc tốt, tôi hài lòng về chuyến đi"
True,304,"Mọi thứ tôi thấy bình thường, "
True,308,Phòng chưa được dọn khi khách lên nhận phòng
True,310,"Mọi việc tốt đẹp, gia đình tôi hài lòng"
True,316,"Ăn ngon, phòng hơi cũ, có mũi, hồ bơi bãi biển đẹp"
True,338,"Tôi thấy dịch_vụ tốt, lần sau đến nha trang, chị sẽ chọn Vinpearl. nhân_viên ivivu nhiệt tình.
Tôi biết đến ivivu qua bạn bè."
True,356,"Mọi thứ về khách_sạn đều tốt, phòng ốc rộng rãi nhưng tôi thấy ăn sáng không được ngon"
True,357,"Không có thang máy, ở tầng trên đi mỏi chân, mọi thứ khác ok"
True,362,phòng ok . cô chủ nhiệt tình vui vẻ .
True,364,"Bạn Thảo ivivu hỗ trợ mình rất tốt và nhiệt tình, về khách_sạn thì mình rất ưng ý vì thật sự rất đẹp và thoải mái, tiện nghi"
True,379,khách_sạn tốt! Phòng đẹp! Hồ bơi đẹp.
True,381,Tuyệt vời. Mình rất thích những chỗ nghỉ của vinpearl
True,384,"khu_nghỉ_mát đẹp, yên tĩnh, sạch_sẽ.nhân_viên lịch sự, dễ chịu. nhưng nằm ở vị trí hơi xa nên tìm taxi khó, nên đi xe nhà."
True,385,"Tôi hài lòng, khu_nghỉ_mát ở rất thoải mái, gia đình sẽ quay lại"
True,393,"Chuyến đi của chúng tôi rất tốt, bạn nhân_viên ivivu nói chuyện tư vấn dễ chịu và đầy đủ thông tin"
True,394,"Vị trí tốt và phòng được sạch_sẽ và thoải mái. Thân thiện, nhân_viên nói tiếng Anh."
True,395,"Melia Hồ Tràm là nơi gia đình tôi hay chọn để nghỉ dưỡng cuối tuần, dịch_vụ khách_sạn tốt, phòng ốc sạch_sẽ, có khu vui chơi cho trẻ em. Rất thích hợp cho gia đình có con nhỏ. Đây là lần đầu tiên tôi đặt phòng khách_sạn qua Travelloka, giá rẻ, xác nhận đặt phòng nhanh chóng, tôi rất hài lòng."
True,398,Phong cảnh đẹp. khách_sạn tiện_ích. Hài lòng
True,399,"khách_sạn quá cũ. Khăn, ra giường quá cũ và dơ"
True,400,khách_sạn mang đến cho gia đình mình 1 trải nghiệm tốt. Chỉ tiếc là do vắng khách vì thời điểm dịch cũng như không phải mùa cao điểm nên bữa sáng thành chọn món. Tuy nhiên đồ ăn bữa sáng cũng khá ngon.
True,406,"Mình đã trải qua 2 đêm ở khách_sạn Sea Horse, mọi thứ đều rất tốt. nhân_viên ivivu đã giúp mình rất tận tình. cảm ơn các bạn rất nhiều.
"
True,415,"Phòng rộng rãi, sạch_sẽ, nhưng khung_cảnh bị khuất. Bạn Trung ivivu tư vấn nhiệt tình cho chuyến đi của tôi lắm, nhưng tôi cũng có góp ý nhỏ là có thể tư vấn thêm những thông tin như đi hãng Jetstar phải đặt bữa ăn trên máy bay trước hay phải mua hành lý ký gửi "
True,417,"Victoria Phan Thiết không có vấn đề gì, mọi thứ đều tốt. "
True,418,"giá_cả hợp lý, phòng ok, quản lý thân thiện"
True,422,"khách_sạn này tốt, tôi thấy hài lòng về chuyến đi này. nhân_viên ivivu tốt. Sẽ quay lại đặt bên ivivu"
True,431,Phòng diện tích nhỏ. Còn lại đều ok
True,442,"Mọi thứ ok cả, chuyến đi tốt"
True,447,khách_sạn đẹp. Phòng y hình nhân_viên dễ thương. Sẽ quay lại lần sau
True,448,"khách_sạn đẹp, nhân_viên thân thiện, nhiệt tình. Buffet ngon, hợp khẩu vị. Tuyệt vời! "
True,449,"Phòng sạch_sẽ, thoáng mát. ivivu hỗ trợ ok, phản ứng nhanh nhạy, tôi hài lòng"
True,454,"khu_nghỉ_mát đẹp, nhân_viên dễ thương, gia đình mình rất thích. "
True,463,"khách_sạn sạch_sẽ, giá rẻ. điều hòa mát. lần sau sẽ đặt phòng phòng có khung_cảnh ban công thì thoải mái hơn"
True,466,"Đẹp từng góc cạnh, nhân_viên nên tư vấn kỹ hơn các dịch_vụ tiện_ích cho khách hàng như: có xe đưa đón trong khu_nghỉ_mát theo yêu cầu, như chở từ phòng ra sảnh tiếp tân hay nhà hàng....bla bla."
True,477,"Movenpick khu_nghỉ_mát Cam ranh : Phòng mới, khung_cảnh đẹp, ăn sáng ngon phong phú, bãi biển tuyệt vời. Nhà hàng ít món ăn chưa phong phú , dịch_vụ giải trí hạn chế"
True,480,"Cũng rất ok về mọi mặt, Chắc lần sau sẽ quay lại."
True,495,"Phòng khung_cảnh đẹp, dịch_vụ tốt, tuy nhiên hành lang hơi nhỏ, cách âm không tốt lắm. khách_sạn đối diện biển, nhưng muốn sang biển phải đi vòng 1 đoạn, nhưng nhà mình không thích tắm biển nên cũng không quan trọng"
True,497,Cả gia đình người lớn và trẻ con đều rất thích dịch_vụ tại khách_sạn. Four points là khách_sạn rất đáng để ở khi đến Đà Nẵng
True,508,khách_sạn hơi cũ nhưng cơ bản là ở được với giá tiền đó.
True,516,"Cảnh biển đẹp, dịch_vụ tốt"
True,519,thực_đơn trưa nhiều cho 2 người. Nên bớt 1 món để nâng cao chất lượng các món khác.
True,530,"khách_sạn sạch_sẽ, nhân_viên rất dễ thương. khu_nghỉ_mát rất rộng dường như chưa hoàn thiện nên hoang sơ. Nhưng mình thích điều này."
True,534,"Gần khu phố cổ nên tiện đi lại, không thích ăn sáng kiểu gọi món, nước miễn_phí mà chai nước nhãn hiệu lạ không dám uống. Giá phòng rẻ, phòng hơi nhỏ cho 3 người, nhưng nhà tắm thì thật là to :))"
True,541,Khá lâu rồi mới trở lại đây. khu_nghỉ_mát đã thay đổi đẹp hơn rất nhiều. Ăn sáng khá ngon tuy lên thức ăn hơi chậm
True,550,"khách_sạn rất đẹp, phòng rộng, nhất là các phòng tầng trệt nhà_vệ_sinh siêu to Chụp hình đẹp nhất tầm 6 giờ chiều khi đó hồ bơi có ánh đèn lễ tân rọi vào"
True,552,Mọi thứ rất tốt
True,553,"dịch_vụ khách_sạn rất tốt. Tuy nhiên nhà vệ sinh khi tắm dễ bị tràn nước ra sàn, rất tiếc vì điều này, mọi thứ đều phờ phệch trừ cái nhà_vệ_sinh này"
True,564,Mình đã có kỳ nghỉ ở pandanus khu_nghỉ_mát mũi né thây ý nghĩa .cảm ơn ivivu ...
True,568,Phòng sạch đẹp. Ăn sáng ngon. Sẽ quay lại
True,573,"Seahorse ăn ngon, phòng ok, bể bơi trẻ em ok, có hồ jacuzzi rất tốt. Nhà mình ở 4 phòng, tuy nhiên phục_vụ dọn phòng làm mất 1 đôi giày bata của nhóm mình."
True,575,"Phải chờ đến 17 giờ mới có phòng chờ rất lâu. Ăn uống thoải mái và ngon lành, ăn bên trong nhà hàng hoặc bên ngoài đều được. Các bé nhà tôi chơi rất vui"
True,577,"Khá ổn, mặc dù khu nghỉ full phòng.. đợi xe hơi lâu chút"
True,580,"Nhà hàng vẫn còn đang sửa, phòng hơi cũ nhưng sạch_sẽ. Những dịch_vụ khác ok lắm"
True,583,"Không gian hẹp, hôi, không chuẩn bị thuốc dau đầu, đau bụng khi cần thiết cho khách."
True,589,Mọi thứ đều tuyệt ngoại trừ máy lạnh nên bảo dưỡng lại
True,590,Team ivivu tư vấn rất nhiệt tình và nhanh
True,595,Chuyến đi thật tuyệt vời. Cảm ơn ivivu đã hỗ trợ và tư vấn nhiệt tình
True,596,"khách_sạn mới khung_cảnh biển khỏi chê ạ, giá_cả lại cực kỳ hợp lý nữa ạ, mình ở Mường Thanh với Vinpearl codotel thì thấy Mường Thanh giá hợp lý mà chất lượng khỏi chê luôn í ạ, lần sau nếu quay lại Nha Trang nhất định sẽ lại chọn Mường Thanh ạ"
True,597,"Seahorse ăn ngon, phòng ok, bể bơi trẻ em ok, có hồ jacuzzi rất tốt. Nhà mình ở 4 phòng, tuy nhiên phục_vụ dọn phòng làm mất 1 đôi giày bata của nhóm mình."
True,601,Tôi thấy chuyến đi rất tốt.Thoải mái và dễ chịu. Cảm ơn ivivu nhé
True,603,Mọi thứ đều rất ổn. Tiếc là đi bộ ra bãi tắm hơi xa
True,609,"Chắc do khách đông nên nhận phòng trễ, nên có chút không hài lòng"
True,610,"Mình đặt phòng giường đôi, khi nhận phòng thấy giường đôi thật nhưng khi nằm thì phát hiện là 2 giường đơn ghép lại. Nằm ở giữa bị đau lưng, giường còn kêu cọt kẹt nữa. Không gian xung quanh thì thoáng mát, yên tĩnh. Các dịch_vụ chưa ok lắm. Chưa xứng với khu_nghỉ_mát 5 sao và giá tiền"
True,614,"Khách sạn có khung_cảnh biển, hổ bơi rất đẹp nhé, tha hồ chụp hình sống ảo. Bãi biển thì không thích hợp để tắm. Bữa sáng thì cũng được, có nhiều lựa chọn. nhân_viên rất nhiệt tình và dễ thương. Có cái bất tiện là nhà_vệ_sinh, phòng tắm không có́ được tách biệt hẳn với phòng ngủ, đi với bạn bè, người quen thì rất là ngại đấy."
True,615,"Chuyến đi của chúng tôi ổn, mọi việc đều hài lòng"
True,627,khách_sạn đẹp tốt khung_cảnh rất được sẽ quay lại sau
True,628,khách_sạn ngay trung tâm. Không có máy lạnh. Phòng cũng ok. Chủ khách_sạn nhậu 11 giờ trưa tới 14 giờ chiều ồn ào không ngủ được. Xong 21 giờ tiếp tục nhậu. Phải xuống nói với lễ tân
True,631,"khách_sạn tốt, đẹp, đây là lần thứ 2 mình quay lại đây vẫn rất thích khách_sạn này, nhưng đợt này mình đi phòng mình đặt phòng là căn bungalow thì có rệp. Mình không biết là do trên giường có rệp hay là do rớt từ trên mái xuống mà cả mình và bạn mình khi đi về đều bị cắn. Mặc dù vậy nhưng mình và bạn mình rất thích khách_sạn này và vẫn muốn quay lại đây vào lần sau, Hy vọng khách_sạn sẽ cải thiện vấn đề vệ sinh tốt hơn. nhân_viên ivivu rất nhiệt tình, mình đặt Combo  bạn hỗ trợ mình chọn giờ bay rất phù hợp, mình rất thích."
True,636,Mọi việc tốt  . khách_sạn mới mọi thứ sạch_sẽ gọn_gàng . Tôi rất hài lòng về dịch_vụ .
True,642,"Tôi rất thích nên tôi đã đến đây nhiều lần, mọi việc đều tốt cho chuyến đi"
True,650,"khách_sạn tốt, chuyến đi cùng ok, không có phàn nàn gì."
True,652,"Sea Horse rất tốt, trừ 1 việc là có hơi nhiều muỗi. Tôi ở tầng trệt, room 123,125, thấy như vậy!"
True,662,"Trong mùa dịch Covid 19 nhưng khách_sạn vẫn đảm bảo chất lượng, cảm ơn nhiều nhiều."
True,671,"Chuyến đi tốt, cảm ơn ivivu đã hỗ trợ"
True,679,"Chuyến đi tốt, mọi việc ok"
True,693,"Phòng đẹp , giống với ảnh , sạch_sẽ . Tuy nhiên nước nóng lúc có lúc không . Mình thấy vấn đề này những khách trước đã góp ý rất lâu rồi , khách_sạn bảo sẽ nhận phản hồi và thay đổi , nhưng mình đến đây thì mọi thứ vẫn vậy . Tối khách_sạn không biết vì sao mà điện cắm vào không sử dụng được , cắm sạc điện thoại không được , bật tivi cũng không được , nói chung là không sử dụng điện .trước phòng mình còn có 1 thao nước lớn , nước cứ trên nóc tường nhiễu xuống làm ướt cả trước cửa phòng mình . Mong khách_sạn cố gắng khắc phục . Còn lại thì tiện nghi có đầy đủ phục_vụ khách ."
True,706,"Phòng khách_sạn ok nhưng xa biển, có xe điện đưa đi tắm nếu muốn. Hồ bơi to nhưng không đẹp lắm so với các khu_nghỉ_mát khác trong tầm giá.
Buffet sáng ok"
True,709,"Chúng tôi đã có chuyến đi ok, ivivu hỗ trợ chu đáo"
True,725,Chuyến bay và phòng khách_sạn thì tốt . khách_sạn rất đẹp . Đáng để nghỉ dưỡng .
True,733,Giá đồ ăn ở đây đắt như giá đang ngồi trên máy bay mua. Đắt hơn cả thành phố.
True,751,khu_nghỉ_mát rất tuyệt sẽ quay lại khi có thể
True,757,Xem từ khách_sạn là đẹp và thơ mộng. Tôi thích nhìn thấy con sông và cầu Trường Tiền từ đó.
True,760,"ghế ngồi trên xe bị hư nên khi dựa vào nó cứ nằm ngả ra sau và không đứng yên giống ngồi bập bênh , gây tiếng ồn nhức đầu.tài xế tới đón khách trễ 15 phút , miễn cưỡng khách vào khu mua sắm Tre Việt với lý do cho khách đi tiểu tiện, mặc dù khách không có nhu cầu.Tắc máy xe gây nóng để muốn tất cả khách vào khu mua sắm."
True,767,ivivu thỉnh thoảng update đặt phòng với đối tác trễ nên khâu nhận phòng phải chờ đợi lâu
True,770,Tốt . Không có vấn đề gì .
True,776,"Chuyến đi mình cảm thấy hài lòng, nhân_viên chu đáo, chăm sóc tận tình, tư vấn kỹ gia đình. 
cảm ơn ivivu. "
True,780,"Không trọn vẹn vì không được vào khu vực Vin Wơnder, còn mọi thứ đều hài lòng."
True,784,"khách_sạn đẹp nhưng nhân_viên dọn dẹp để rất bẩn nhân_viên ý thức rất kém, không có cả khăn tắm, khăn mặt, gọi phục_vụ thì thái độ kém"
True,791,Tốt lắm. Không có gì nói thêm.
True,796,Đúng chất nghỉ dưỡng! Gia đình đã có chuyến đi vui và hài lòng.
True,812,Chuyến đi mọi việc đều ổn. Chúng tôi không có gì phải phàn nàn về chuyến đi
True,819,Giá phòng rẻ. Ở vị trí thuận tiện. Sẽ ghé lại lần sau
True,820,"khách_sạn đẹp, sạch_sẽ, nhưng ăn sáng quá tệ. Xuống 8 giờ đồ ăn không còn "
True,825,"Mình hài lòng về mọi thứ nhé, mình đi chơi vui. Côn Đảo đẹp. "
True,1040,"Một khách_sạn tốt, thích nhà hàng toàn cảnh"
True,1044,"Vợ mình rất thích nơi này. khu_nghỉ_mát đẹp nhất Cam Ranh. phòng biệt_thự rộng, ấm cúng. khu_nghỉ_mát rất nhiều hồ bơi để chọn lựa. Ăn sáng ngon. Xứng đáng 5 sao. Chắc chắn mình sẽ quay lại."
True,1045,"Mình thấy chuyến đi vui và mọi thứ rất tốt, không có gì để phàn nàn"
True,1053,"Phòng nhỏ xíu không có cửa sổ, bí, bụi nhiều. Dùng nước nóng phải theo ý của chủ hotel, vì bên dưới bật thì phòng mới có nước nóng ??😀?? Đêm hay sáng muốn tắm và gội đầu là thua luôn. Chăn cũ mốc meo. Mình không chụp ảnh lại nhưng những lời mình nói đều là sự thật. Có tivi nh không bật được 1 nút nào trừ nút tắt bật. Điện thoại gọi lễ tân cũng không được luôn. Muốn gọi để nói bật nóng lạnh phải chạy ra tìm số gọi hotline"
True,1055,"khách_sạn gần phố cổ, hàng quán ăn uống, đi lại thuận tiện"
True,1057,"Đồ ăn sáng giữa ngày không thay đổi, cả 4 ngày tôi ở đều giống nhau. Điểm cộng là khu_nghỉ_mát rất nhiều cây xanh, tôi rất thích"
True,1062,"Tôi đã có những trải nghiệm tuyệt vời khi ở FLC. Đây là khu du lịch nghỉ dưỡng đẳng cấp, hoành tráng, phù hợp với tất cả mọi người."
True,1104,"Phòng 4 người rộng rãi , không gian thoải mái .Đồ ăn sáng sạch_sẽ . Khi mình tới vì buổi trưa nên phòng hơi nóng bật máy lạnh tầm 10 phút thi phòng mát hơn ."
True,1139,Vô cùng thích khi ở đây! thoải mái
True,1146,"khách_sạn khung_cảnh cực đẹp, vị trí thuận tiện, đầy đủ các tiện_ích. Nếu có xe chở khách xuống cáp treo để qua vinpearland sẽ tốt hơn. "
True,1149,"Phòng sạch_sẽ vị trí thuận tiện ra biển Mỹ Khê, cầu Rồng, cầu tình yêu v.v... lễ tân nhiệt tình vui vẻ"
True,1187,"Khu nghỉ dưỡng phục_vụ tốt, chất lượng phòng ok"
True,1196,khách_sạn xứng tầm 5 sao không có gì để chê
True,1222,"Chất lượng khách_sạn rất tốt, phòng đẹp và sang trọng"
True,1238,mình hài lòng vì vinpearl rất chất lượng
True,1297,Thoải mái sạch_sẽ chuyên nghiệp
True,1326,"khách_sạn không có bồn tắm nằm, còn phòng thì sạch_sẽ và dịch_vụ cũng ok"
True,1329,"Chỗ ở thoải mái, ở trong khu phố tây, tối chỉ cần đi bộ ra vài bước thôi, gần trung tâm nên đi đâu cũng tiện hết ạ."
True,1345,"khung_cảnh rất đẹp, nhìn ra sông, thoáng mát. Bể bơi và khung_cảnh sân vườn đẹp hơn trong ảnh. Nội thất phòng là gỗ tối màu và phòng khá rộng nên ánh sáng trong phòng chưa đủ sáng. Thích hợp với nghỉ dưỡng vì rất yên bình"
True,1350,"khách_sạn ổn. ivivu tốt, hài lòng"
True,1358,"Tôi thấy chuyến đi không có gì để phàn nàn,tốt hết."
True,1361,"Cảm ơn vì kỳ nghỉ tuyệt vời, đi vào hẻm khá vắng, phòng khung_cảnh biển, tầng cao nhất được ngắm trọn nha trang, giá_cả hợp lý thanh toán không bị phụ phí, mình thấy rất ok với nơi này."
True,1366,Không gian kiến trúc của phòng ở và các tiện_ích đều đẹp. dịch_vụ mát_xa khá tốt. Sẽ tiện_lợi hơn nếu như phòng tắm có lắp thêm vòi sen.
True,1397,"khách_sạn sạch, đẹp, giá_cả phải chăng"
True,1453,"hồ bơi rộng, không sâu lắm nên bơi không sợ (cực 1m5) mình đi dịp tết nên có buffet. phòng có ban công khung_cảnh đẹp"
True,1477,"Chuyên nghiệp, vị trí rất đẹp."
True,1530,"Căn hộ của Sea Links khá là đẹp với đầy đủ tiện nghi như ở nhà vậy, chỉ có điều là xe đưa đón trong khu Sea Links chạy hơi chậm thôi."
True,1541,"khách_sạn rất là tốt, phòng đẹp, khuôn viên rộng rãi và không khí trong lành"
True,1546,khách_sạn hơi cũ nhưng khung_cảnh rất đẹp
True,1577,"Phòng sạch_sẽ, giá rẻ. Gần biển, hồ bơi."
True,1587,"khách_sạn gần trung tâm rất tiện đi lại ăn uống,bể bơi tầng 10 ổn.Nếu có dịp tôi sẽ quay lại."
True,1624,"Chúng tôi có kỳ công tác thú vị tại nơi ở.. phòng có ban công thoáng mát, khung_cảnh nhìn xa đẹp... tuy nhiên vì là tầng 8 khá cao nên wifi và nước tắm hơi yếu. Cần khắc phục thêm điểm này.. ngoài ra tất cả đều ổn"
True,1655,"khách_sạn vị trí đẹp, ngay trục chính bờ biển Nha Trang, đến tháp trầm tầm 1km thôi, khách_sạn phía trước ngắm trọn đường bờ biển, phía sau là cửa sông. phòng to tiện nghi, tuy dùng thảm có mùi ẩm chút, nếu granit hoặc sàn thì sang hơn, nhưng vậy khá ổn. cảnh quan nhìn từ phòng rất đẹp. Ăn sáng ngon, thoải mái. chỉ có hồ bơi hơi buồn tẻ xíu. sẽ ghé lại lần sau"
True,1697,Cảm ơn ivivu và Ms Diễm đã giúp gia đình mình có kỳ nghỉ tuyệt vời.
True,1700,Chất lượng ok. giá thành ổn. ok
True,1795,Phòng khá ổn cho đôi mới cưới đi tuần trăng mật! Từ lễ tuân đến bác bảo vệ rất hòa nhã thân thiện! Có cơ hội sẽ đến khách_sạn đặt phòng lần nữa
True,1986,"Nội thất khách_sạn cũ, phòng không giống với quảng cáo, nhà vệ sinh có mùi hôi"
True,2119,"Khi nhận phòng tại đây chúng tôi phải chuyển phòng vài lần, phòng thị có mùi thuốc lá do không vệ sinh kỹ, phòng thì bị hôi cống thoát nước... Nói chung là không hài lòng khi nghĩ tại đây"
True,2133,"Phòng đẹp, vị trí trung tâm, nhưng cần hỗ trợ ở các tầng cao và không có thang máy nên không thích hợp với người có nhiều hành lí"
True,2140,Cũng khá ổn với giá tiền. Tuy nhiên ban đêm còn rất nhiều nhưng con vật bay vào phòng vệ sinh.
True,2159,Chuyến đi của gia đình tôi mọi việc đều tốt đẹp
True,2163,HOÀN HẢO TOÀN DIỆN
True,2188,"Tôi thấy rất hài lòng về khách_sạn này, tương xứng với giá_cả, không có gì phàn nàn, nhân_viên ivivu hỗ trợ tốt."
True,2196,"khách_sạn sạch_sẽ, đầy đủ tiện nghi. giá_cả hợp lý, gần khu ăn uống, khu buôn bán địa phương."
True,2199,"khách_sạn rất là tốt luôn. đặt qua ivivu phản hồi rất là nhanh và còn có phản hồi liền ngay sau khi mình thanh toán xong, rất là hài lòng về dịch_vụ."
True,2217,"khu_nghỉ_mát đẹp, xanh mát. Đồ ăn sáng buffet chưa phong phú lắm. Nước hồ bơi chưa trong sạch, buổi tối ra chỗ đèn soi dưới nước sẽ thấy rõ. Nên tắm buổi sáng ở biển rất đẹp, nước sạch. Buổi chiều thuỷ triều xuống không bơi được."
