Attitude,Index,Comment
True,314,"khu_nghỉ_mát thích hợp để nghỉ dưỡng. Không khí trong lành, cảnh quang hết hợp hài hoà với thiên nhiên, nhà hàng có đồ ăn sạch, khá ngon Có khu vui chơi để giải trí"
True,316,"Ăn ngon, phòng hơi cũ, có mũi, hồ bơi bãi biển đẹp"
True,318,"Khu nghỉ mát này là rất hòa bình và thiên nhiên thân thiện. Tôi khá ấn tượng với khu vườn có mà hoàn toàn tươi, xanh lá cây và đầy hoa. Căn phòng tôi đặt là tốt đẹp và thoải mái loại trừ một số dấu vết bẩn trên ghế sofa và một ánh sáng bị hỏng trong phòng tắm. Tôi ấn tượng với kích thước của căn phòng và phòng tắm của nó mà tôi nghĩ sẽ phù hợp cho gia đình có trẻ em. Các nhân_viên siêu thân thiện. Tôi khuyên bạn nên cho Poshanu món hotspot cho bữa ăn trưa hoặc ăn tối, nó khá tại địa phương và quan trọng đối với kinh nghiệm của bạn."
True,322,Mọi thứ đều ok ... sẽ tuyệt hơn nếu như khách_sạn trang biết thêm smart tivi
True,327,Nên chọn hãng máy bay khác. VietJet rất tệ (bị dời lại rất nhiều trong 1 chuyến  bay).
True,331,Phòng tuy bé nhưng sạch sẽ nhân_viên nhiệt tình giá dịch vụ giặt hơi cao
True,341,"Cơ sở vật chất không ổn lắm, phòng không có máy lạnh, quạt mở thì có tiếng ồn lớn. Các bạn tư vấn tôi 5 sao nhưng tôi thấy không tương xứng"
True,346,Rất hài lòng với dịch_vụ chăm sóc khách hàng của bạn nhân_viên Trần Trí Thế: Lịch sự - Chu Đáo - Nhiệt tình - Chuyên nghiệp. Hy vọng được làm việc cùng ivivu nhiều hơn nữa trong các dịp khác.
True,347,"Khu nghỉ dưỡng yên tĩnh, phục_vụ ổn"
True,355,"Phòng quá cũ, không được nâng cấp"
True,361,gia dinh rất hài lòng
True,370,"khách_sạn tốt, phục_vụ cũng tốt, nói chung là ổn. Hôm tôi đi có 1 phòng máy lạnh bị hư nhưng hôm sau khách_sạn cũng tạo điều kiện để tôi được đổi phòng. Tôi thấy ivivu hay đưa ra giá tốt, hy vọng lần sau lại được du lịch tiếp tục cùng ivivu"
True,372,"Chắc do đông khách hay sao thì lễ tân những bộ phận khác hỗ trợ không tốt: như phần đặt bữa ăn,...Phòng thì bình thường, không đặc sắc lắm"
True,386,"Phòng giá tốt ngay biển, đủ tiện nghi"
True,401,"nhân_viên vui vẻ, phòng hơi nhỏ, vị trí khó tìm nhưng thế là tốt rồi. Với giá như vậy ở tốt rồi"
True,409,Hơi xa thành phố Quy Nhơn nên rất biệt lập. Bãi biển khá đẹp
True,410,"Nhìn chung là đáp ứng các nhu cầu căn bản, thái độ tốt, vị trí khá ổn, phong cách cổ kính, nói chung là tốt."
True,416,"Mọi thứ điều tốt. dịch_vụ của ivivu rất ok, lần sau tôi sẽ tiếp tục sử dụng"
True,417,"Victoria Phan Thiết không có vấn đề gì, mọi thứ đều tốt. "
True,423,"Cháu Vòng Mỷ Hương tư vấn rất tốt , vui vẻ . Cho Cô ,Chú chuyển lời cảm ơn . Sẽ quay lại ivivu ."
True,430,"nhân_viên tư vấn tận tình, hỗ trợ tốt. Mình tới khu_nghỉ_mát không có welcome drink, nhân_viên chưa được nhiệt tình với khách, phòng ốc cũng OK. Hy vọng lần sau mình được hỗ trợ tốt hơn. "
True,432,"Tôi được sắp xếp hướng phòng khác với lần trước, nên có cảm giác không bị trùng lặp, tôi thích lắm"
True,436,"khu_nghỉ_mát phục_vụ tốt. Nhưng 1 giường đôi của tôi là do 2 giường nhỏ ghép lại. Mà nhìn chung chúng tôi đã có chuyến đi vui. App của ivivu khá ok, nhưng khi vào mục chuyến đi của tôi thì cứ bị quay hoài nên tôi phải thoát ra. nhân_viên ivivu hỗ trợ tốt, hẹn gặp các bạn lần sau"
True,437,phòng cách âm không được tốt nên 12 giờ đêm vẫn nghe tiếng ồn của những phòng khác
True,443,"nhân_viên lễ tân không được thân thiện, có sự phân biệt giữa khách Việt và khách Tây. Phòng ốc tạm được chứ không được 3 sao. "
True,450,"Khi được tư vấn cũng như đẩythưgói combo có dịch_vụ đi kèm ""shuttle bus đưa đón từ ga về khu_nghỉ_mát"" tuy nhiên khi chốt deal thanh toán xong nhân_viên tư vấn báo không có dịch_vụ trên. "
True,466,"Đẹp từng góc cạnh, nhân_viên nên tư vấn kỹ hơn các dịch_vụ tiện_ích cho khách hàng như: có xe đưa đón trong khu_nghỉ_mát theo yêu cầu, như chở từ phòng ra sảnh tiếp tân hay nhà hàng....bla bla."
True,471,"Hài lòng nhưng dịch_vụ massage 15 phút chỉ massage được có 10 phút thôi. nhân_viên tư vấn của ivivu nhiệt tình, chịu khó. "
True,475,"Đánh giá của an ninh an toàn và cách khu nghỉ không thiết kế khóa thẻ phòng như các chỗ khác chính là mức bảo đảm tối đa nhất. Phòng ốc sạch đẹp, đồ ăn không quá nhiều nhưng đủ để lại ấn tượng cho du khách. nhân_viên nhiệt tình và gần gũi."
True,487,"Ngày đầu máy lạnh hư nên tôi đã yêu cầu đổi phòng khác, phải đổi đến mấy phòng mới ok. Vì máy lạnh dường như cũ rồi, không lạnh"
True,490,"Hài lòng về chuyến đi, chỉ buồn là đi mùa này tắm biển bị sứa cắn sưng hết chân"
True,492,"Tôi hài lòng về chuyến đi, về nhân_viên tư vấn cũng như khách_sạn, khung_cảnh đẹp và sạch_sẽ. "
True,494,Phòng mình nhận không giống trong hình. Thấy trên hình có khung_cảnh biển mà khi nhận lại cho mình vào chỗ xung quanh là tường không. Cửa sổ chẳng nhìn thấy gì ngoài bức tường khu kế bên.
True,495,"Phòng khung_cảnh đẹp, dịch_vụ tốt, tuy nhiên hành lang hơi nhỏ, cách âm không tốt lắm. khách_sạn đối diện biển, nhưng muốn sang biển phải đi vòng 1 đoạn, nhưng nhà mình không thích tắm biển nên cũng không quan trọng"
True,500,"Tôi hài lòng về chất lượng dịch_vụ của khách_sạn. nhân_viên ivivu không tư vấn cụ thể cho tôi về thời gian nhận_phòng trước giờ bay, nên tôi đến trễ phải đóng phí hơn 1 triệu, tôi có liên hệ vào di động của nhân_viên nhưng bạn ấy báo đang nghỉ phép, không hỗ trợ được, tôi thấy rất bị động."
True,504,"Phòng thoáng mát, sạch_sẽ, màu sắc hài hòa. Mặc dù bồn cầu bị rỉ nước khi xả, máy lạnh hơi cũ, remote tivi không bấm chuyển kênh được, nhưng còn lại đều ổn."
True,514,"khách_sạn 5 sao mà sàn gạch, không thảm, không sàn gỗ. dịch_vụ ít. Ăn uống không đa dạng. nhân_viên không vui vẻ niềm nở. Đánh giá chỉ cỡ 3 sao."
True,522,"tối cho việc thư_giãn, nghỉ ngơi!"
True,531,"dịch_vụ tốt, phòng khách đặt khung_cảnh hướng biển, nhưng nhìn ra bị vướng tầm nhìn nên không hài lòng lắm
nhân_viên nhiệt tình, nắm rõ thông tin sản phẩm."
True,532,việc nhận_phòng quá chậm mà không biết lỗi từ trang mạng hay từ khách_sạn?
True,534,"Gần khu phố cổ nên tiện đi lại, không thích ăn sáng kiểu gọi món, nước miễn_phí mà chai nước nhãn hiệu lạ không dám uống. Giá phòng rẻ, phòng hơi nhỏ cho 3 người, nhưng nhà tắm thì thật là to :))"
True,556,Có nhiều muỗi trong khu vực phòng Delux
True,566,"dịch_vụ và phòng ổn, nhưng chưa tuyệt đối"
True,571,Chất lượng phòng ốc của khách_sạn rất tốt nhưng mà vị trí thì hơi xa trung tâm.
True,577,"Khá ổn, mặc dù khu nghỉ full phòng.. đợi xe hơi lâu chút"
True,582,"khu_nghỉ_mát đẹp, nhân_viên thân thiện, phục_vụ tốt... nhưng có điều vì quá vắng khách mà không có buffet sáng, đường về thì tối, không có đèn đường gần chục km tính từ trung tâm thành phố, chạy xe về mà thấy hơi sợ.. nhưng nói chung cũng ok.."
True,584,"Vị trí nằm trong hẻm nhưng vẫn ở trung tâm thành phố, dễ di chuyển tới các điểm thăm quan."
True,585,"Ăn uống và  phòng ốc ổn, nhưng khung_cảnh thì chưa được đẹp lắm. ivivu hỗ trợ tốt và uy tín"
True,588,"Phòng nhiều muỗi và không có cách âm, khách đoàn nhiều, ban ngày cực ồn do đang xây dựng kế bên, buffet sáng thì lập đi lập lại, nhân_viên thiếu chuyên nghiệp, 2h30 nhận phòng mà đứng đợi nửa tiếng đồng hồ trong khi trời nóng"
True,590,Team ivivu tư vấn rất nhiệt tình và nhanh
True,599,Hơi có sự lộn xộn trong việc kiểm soát thẻ giữ xe máy và không có nước uống miễn phí
True,603,Mọi thứ đều rất ổn. Tiếc là đi bộ ra bãi tắm hơi xa
True,609,"Chắc do khách đông nên nhận phòng trễ, nên có chút không hài lòng"
True,622,"khách_sạn có chất lượng rất tốt, cảnh rất đẹp, giá rất hợp, nhưng nhân_viên phục_vụ không thân thiện, lạnh lùng với khách, chất lượng dịch_vụ ivivu rất tốt."
True,626,"khách_sạn dịch_vụ tốt, nhân_viên hỗ trợ nhiệt tình, phòng tôi xếp trên phòng hội nghị tối hôm đó hơi ồn rất khó ngủ. khách_sạn nên  hỗ trợ sắp xếp phòng cho ivivu về vấn đề này. Tôi cảm ơn ivivu đã hỗ trợ nhiệt tình."
True,628,khách_sạn ngay trung tâm. Không có máy lạnh. Phòng cũng ok. Chủ khách_sạn nhậu 11 giờ trưa tới 14 giờ chiều ồn ào không ngủ được. Xong 21 giờ tiếp tục nhậu. Phải xuống nói với lễ tân
True,644,"Một khách_sạn tuyệt trong những khách_sạn tại Huế, bữa sáng tuyệt vời, tuy khách_sạn còn chưa chuyên nghiệp khi giao tiếp với khách"
True,652,"Sea Horse rất tốt, trừ 1 việc là có hơi nhiều muỗi. Tôi ở tầng trệt, room 123,125, thấy như vậy!"
True,653,"Phòng khách_sạn ok nhưng xa biển, có xe điện đưa đi tắm nếu muốn. Hồ bơi to nhưng không đẹp lắm so với các khu_nghỉ_mát khác trong tầm giá.
Buffet sáng ok"
True,655,"Hài lòng về dịch_vụ, tuy nhiên chúng tôi xuống hồ bơi thì bị nhân_viên đuổi lên vì không mặc quần bơi"
True,658,"khu_nghỉ_mát rất thoải mái, thoáng mát. Tôi và gia đình rất thích, nhưng mỗi tội là hồ bơi đang sửa chữa nên chưa trải nghiệm hết. Chúng tôi sẽ quay lại khi hồ bơi hoàn thiện"
True,668,"Phòng quá ồn vì sửa chữa, thang máy cũng sửa."
True,686,"phục_vụ ổn, phòng ốc khách_sạn ok"
True,692,"khách_sạn ok nhưng bù lại nhân_viên chán, gõ cửa làm phiền khách rất nhiều lần, chưa hết giờ trả phòng khách còn ở bên trong mà đòi vào dọn phòng. Rất giận khi bị làm phiền liên tục."
True,701,"Lễ tân không thực sự thân thiện, không có đồ uống chào đón (mà chúng tôi thấy một khách hàng khác nhận được), không có nụ cười và hơi không vui khi chúng tôi hỏi về dịch_vụ mát_xa và phòng tắm hơi (chồng tôi chỉ hỏi có bao gồm hay không) khách_sạn rất đẹp Xem từ hồ bơi là rất tốt. Chúng tôi rất vui khi kỳ nghỉ của chúng tôi, cho đến khi chúng tôi trở lại phòng để kiểm tra và chìa khóa phòng đã bị vô hiệu hóa (chưa đến giờ trả phòng). Chúng tôi gọi nhân_viên, một người đàn ông đến, hỏi vài người và mở cửa mà không giải thích hay xin lỗi về  và quot;Tại sao?! và quot; Cuối cùng, khách_sạn là tuyệt vời. Nhưng họ nên chú ý nhiều hơn đến đào tạo nhân_viên."
True,704,"- Chuyến đi ok , chất lượng khách_sạn tốt
- nhân_viên tư vấn ok "
True,706,"Phòng khách_sạn ok nhưng xa biển, có xe điện đưa đi tắm nếu muốn. Hồ bơi to nhưng không đẹp lắm so với các khu_nghỉ_mát khác trong tầm giá.
Buffet sáng ok"
True,707,"Phòng ốc rộng rãi, tiện_ích thoải mái, nhân_viên dễ thương và thân thiện. Tuy nhiên tối ngủ hơi nhiều muỗi, có lẽ khu_nghỉ_mát nên chú ý phun thuốc muỗi thường xuyên hơn. Trong thời gian lưu trú được tặng kèm voucher ăn uống, dùng một bữa vừa vừa đã sạch sành sanh. :)) "
True,708,"Khi nhận phòng tại đây chúng tôi phải chuyển phòng vài lần, phòng thị có mùi thuốc lá do không vệ sinh kỹ, phòng thì bị hôi cống thoát nước... Nói chung là không hài lòng khi nghĩ tại đây, về nhân_viên ivivu tôi thích nhất khi được bạn Thảo hỗ trợ vì bạn rất nhiệt tình cung cấp thông tin rất tốt."
True,711,"Tôi đã có một kỳ nghỉ tốt đẹp ở đây. Chỉ có một điều đáng phàn nàn, không có giá hoặc móc trong phòng tắm để treo khăn tắm. Hãy sửa nó và tôi sẽ quay lại lần sau."
True,719,"Tôi thấy phòng nước chảy yếu , buffet không còn đa dạng như lần trước tôi đến . Và mốt vấn đề nữa là cũng nhờ ivivu mà tôi biết là được thêm phần Lunch Pot nên có hỏi khách_sạn thì lại nói ngay là trước đó tôi đã sử dụng rồi nên giờ không được nữa thì tôi nói nếu đã sử dụng thì phải quẹt thẻ chứ , thì khách_sạn mới kiểm tra lại .Nói chung lần này tôi đi chỉ hài lòng về dịch_vụ của ivivu thôi  Còn Website của ivivu cũng lâu rồi thì theo tôi rất khó tra cứu không biết tìm như thế nào nên thường gọi trực tiếp nhưng bây giờ nghe nói đã nâng cấp hơn thì lần sau tôi sẽ vào xem rồi sẽ cho ý kiến."
True,721,"Rất hài lòng về dịch_vụ của khách_sạn. nhân_viên đều nhiệt tình và chuyên nghiệp. Phòng nghỉ sạch_sẽ thoáng mát. Bể bơi sạch, đi bộ 100m ra biển. Sáng dậy đạp 1 vòng khách_sạn cực thư_giãn"
True,726,"Phòng ốc đẹp, thoáng và yên tĩnh. Kiến trúc và quang cảnh khu_nghỉ_mát mình rất thích. Chỉ có 1 điểm trừ là mùng che muỗi có mùi mốc và dán do cột lâu ngày không sử dụng nên cần vệ sinh thường xuyên hơn."
True,742,"dịch_vụ dọn phòng không hợp lý, dọn phòng sớm quá. Khoảng thời gian tôi đi ăn thì không dọn phòng. Không có welcome drink, ăn sáng không thay đổi món, chỉ có thức ăn nước mới thay đổi thôi. ivivu hỗ trợ tôi tốt, tôi hay đặt phòng qua ivivu"
True,747,"Nhìn Hotel ở ngoài trông nhỏ và thang máy sập sệ, đi chậm, phòng hơi nhỏ so với hình. Nhưng trang trí phòng đẹp, nhà vệ sinh và phòng ngủ sạch_sẽ, sáng sủa. Có tivi kết nối wifi xem youtube được rất tiện. Giá thành cũng rẻ nữa."
True,753,"- Phòng thiếu nước, thiếu giấy vệ sinh, gọi lễ tân mãi không đem lên - Phòng không sạch_sẽ, chăn ga hôi - chất lượng phòng cũ"
True,756,"Có bếp, chén, dao, thớt nhưng không có nồi. Tôi thấy về cách phục_vụ thì các bạn nhân_viên vẫn chưa sẵn sàng hỗ trợ khách hàng lắm"
True,765,"Phòng khách_sạn xuống cấp, vòi tắm bị hỏng"
True,766,"Phòng ốc sạch_sẽ, nhân_viên phục_vụ tốt, vị trí gần biển. Thuê xe máy 150k/ngày, nhưng mà cứ nổ máy là tính ít nhất 0.5 ngày, cái này có vẻ hơi không được happy lắm. Còn lại là ok."
True,767,ivivu thỉnh thoảng update đặt phòng với đối tác trễ nên khâu nhận phòng phải chờ đợi lâu
True,774,Phòng được mà máy lạnh hơi cùi bắp
True,784,"khách_sạn đẹp nhưng nhân_viên dọn dẹp để rất bẩn nhân_viên ý thức rất kém, không có cả khăn tắm, khăn mặt, gọi phục_vụ thì thái độ kém"
True,786,"Thực đơn buổi sáng rất đơn điệu, phòng nhỏ, ở 3 ngày 2 đêm mà không hề dọn dẹp vệ sinh trong phòng"
True,788,"Phòng rất nhỏ, hệ thống nước nóng bằng năng lượng mặt trời nên buổi tối thường không có nước nóng, tắm nước lạnh tê tái"
True,799,Rất phù hợp với gia đình Nhưng lưu ý căn 4 phòng chỉ có 3 nhà_vệ_sinh nên hơi bất tiện 2 căn phòng trên lầu phải share nhà_vệ_sinh nha
True,805,"Khi đặt phòng nhân_viên tư vấn không nói rõ về việc khách_sạn mới hoạt động nên rất nhiều dịch_vụ chưa đi vào hoạt động như bể bơi, phòng tập, khu vui chơi... Đến khách_sạn 5 sao mà chỉ độc mỗi phòng ngủ. khách_sạn thì xa. Tuy nhiên nhân_viên khách_sạn nhiệt tình, khách_sạn sạch_sẽ và rất đẹp "
True,820,"khách_sạn đẹp, sạch_sẽ, nhưng ăn sáng quá tệ. Xuống 8 giờ đồ ăn không còn "
True,867,"Pandanus đã và đang sửa chữa nâng cấp phòng nên thu hút khách, mặc dù khách_sạn ở khá xa "
True,1022,"Ưu điểm: Vinpearl Disco rất 1 Phú Quốc có không gian rất đẹp, biệt_thự đẳng cấp sang trọng, đồ ăn sáng ngon đa dạng, chất lượng phục_vụ tốt, nhận_phòng - trả_phòng nhanh gọn.
Nhược điểm: Không được hỗ trợ nhận phòng sớm, phải chờ từ 12-14 giờ mới có phòng, máy lạnh trong biệt_thự không chỉnh được nhiệt độ theo ý mình."
True,1028,"Khu nghỉ dưỡng ok, tất cả đều ok. nhân_viên ivivu làm tốt nhưng chưa nhiệt tình lắm, cần hiếu khách hơn vì các bạn đang làm về dịch_vụ"
True,1032,"khách_sạn và dịch_vụ điều ok, ivivu hỗ trợ tốt"
True,1048,"Ok so với giá, lễ tân thân thiện nhiệt tình. Ai thích nhộn nhịp ở đây tối nghe nhạc nè"
True,1054,Vị trí thuận tiện gần chợ Bến Thành. Phòng khá sạch_sẽ.
True,1055,"khách_sạn gần phố cổ, hàng quán ăn uống, đi lại thuận tiện"
True,1058,"khá tốt, địa điểm gần vs nhiều địa điểm thăm quan, phòng sạch_sẽ, tuy nhiên nên sửa chữa 1 vài chỗ cho hoàn chỉnh(ví dụ như nhà_vệ_sinh không có tay nắm, không khóa được) , khách_sạn hơi nhỏ, mở rộng được thì tốt"
True,1060,Chuyến đi vui vẻ
True,1061,"Phòng rộng rãi, thoáng mát. Duy nhất 1 điều mình không thoải mái là đệm không bỏ bọc nilon, đêm trở mình là xoạt xoạt, nên mình và con ngủ không được ngon, hôm sau đi chơi khá mệt."
True,1075,"Tất cả đều tuyệt vời, ngoại trừ bãi biển, là khá hẹp và rất nhiều đá"
True,1088,"Bể bơi hơi bé, còn về cơ bản thì mọi việc ok"
True,1099,"nhân_viên cực kỳ thân thiện và nhiệt tình. Tuy nhiên thức ăn chưa được phong phú và chưa có thức ăn cho em bé như súp, cháo, hải sản,…phòng ốc khá tốt và sạch_sẽ. Sẽ tiếp tục ủng hộ các bạn"
True,1109,"Chờ đợi xe điện rất lâu và mệt mỏi, tôi không thích"
True,1119,"Bữa sáng ít món. Bù lại các cô dọn dẹp rất dễ thương, lễ tân cũng được :)"
True,1120,Tuy hài lòng nhưng giữa ivivu và khách_sạn nên phối hợp cập Nhật thông báo về lịch trình xe bus tại khách_sạn. Tôi yêu cầu đặt xe bus nhưng khi đến khách_sạn thì do dịch nên hạn chế số chuyến xe lam ảnh hưởng lịch trình của Tôi. Về phía khách_sạn thì rất OK chỉ tiếc là khá xa biển nhưng đổi lại có khung_cảnh ngắm sông Hàn đẹp
