Location,Index,Comment
True,174,"khu_nghỉ_mát khá đẹp , nhân_viên chu đáo tuy nhiên hơi xa trung tâm (35km) và buffet sáng cần cải thiện"
True,180,"Tuyệt vời và thật sự hạnh phúc khi ở đây
"
True,183,"Mình hài lòng với chuyến đi này, mọi thứ rất tốt"
True,196,"Khu nghỉ dưỡng có cảnh đẹp, phòng thoải mái, sạch_sẽ, nhân_viên phục_vụ dễ thương, gần mặt đường nên tiện đi lại, ăn uống. dịch_vụ của ivivu làm tôi rất hài lòng, tư vấn viên vui vẻ, nhiệt tình, dịch_vụ chất lượng tốt."
True,203,"Chúng tôi đã có chuyến tốt, từ nhân_viên đến khu nghỉ dưỡng đều ok"
True,213,"dịch_vụ rất tuyệt vời, phòng rộng rãi và thoải mái. Ấn tượng nhất của tôi là bãi biển rất đẹp. Nhưng có 1 số món ăn không hợp khẩu vị lắm. "
True,225,"Đẹp, nhưng nên mở bể bơi vào sáng sớm thay vì 8 giờ sáng như hiện tại."
True,226,"khách_sạn làm thủ tục nhận phòng lâu quá, còn lại tôi đều hài lòng"
True,231,khách_sạn có vị trí tốt nhưng phòng bị hư dột nên phải chuyển sang khách_sạn khác.
True,234,"Bị ưng từ khi xem ảnh và quyết định chọn the bay ngay từ cái nhìn đầu tiên, phòng đẹp lung linh tha hồ sống ảo :)) điểm cộng nữa là có gương to cho chị em dễ dàng make up với lên đồ, anh chủ nhiệt tình vui tính hỏi nhiều mà vẫn không bị mắng :)) vote 5 sao !!!"
True,235,khách_sạn đẹp tuyệt vời Thích nhất là có ban công thoáng Mỗi cái là bữa sáng không ngon
True,240,Quá đẹp
True,252,"Gia đình mình nghỉ 1 đêm tại đây và lần đầu trải nghiệm không khí mát mẻ trong lành, phong cảnh đẹp, khách_sạn sạch, nhân_viên chu đáo và mình có mã coupon nên hài lòng cho chuyến đi👍sẽ có dịp quay lại đây🥰"
True,255,"dịch_vụ khách_sạn tốt, nhân_viên tư vấn ivivu nhanh, nhiệt tình"
True,262,Mọi thứ đều tốt ( trừ chuyến về Vietjet bị dời lại không báo với khách).
True,264,"Biển về họ bơi đẹp, những muỗi nhiều. khách_sạn bố trí tính dầu dưỡng muỗi sẽ tốt hơn"
True,271,"Rất tốt, yên tĩnh, đầy đủ tiện nghi"
True,298,Rất tốt
True,314,"khu_nghỉ_mát thích hợp để nghỉ dưỡng. Không khí trong lành, cảnh quang hết hợp hài hoà với thiên nhiên, nhà hàng có đồ ăn sạch, khá ngon Có khu vui chơi để giải trí"
True,318,"Khu nghỉ mát này là rất hòa bình và thiên nhiên thân thiện. Tôi khá ấn tượng với khu vườn có mà hoàn toàn tươi, xanh lá cây và đầy hoa. Căn phòng tôi đặt là tốt đẹp và thoải mái loại trừ một số dấu vết bẩn trên ghế sofa và một ánh sáng bị hỏng trong phòng tắm. Tôi ấn tượng với kích thước của căn phòng và phòng tắm của nó mà tôi nghĩ sẽ phù hợp cho gia đình có trẻ em. Các nhân_viên siêu thân thiện. Tôi khuyên bạn nên cho Poshanu món hotspot cho bữa ăn trưa hoặc ăn tối, nó khá tại địa phương và quan trọng đối với kinh nghiệm của bạn."
True,322,Mọi thứ đều ok ... sẽ tuyệt hơn nếu như khách_sạn trang biết thêm smart tivi
True,335,"Mọi thứ ở khu nghỉ dưỡng đều rất tốt, tôi không có gì phải phiền lòng cả. Các bạn nhân_viên tư vấn bên ivivu hỗ trợ tôi nhiệt tình, nhanh chóng."
True,347,"Khu nghỉ dưỡng yên tĩnh, phục_vụ ổn"
True,352,"Chất lượng phòng ốc rất ổn, không gian rộng rãi rất thích hợp cho việc nghỉ dưỡng"
True,366,Mọi việc tôi hài lòng. Bạn Giang ivivu rất nhiệt tình và dễ thương
True,371,"Khu nghỉ dưỡng đẹp, chất lượng tốt từ phòng ốc đến dịch_vụ"
True,384,"khu_nghỉ_mát đẹp, yên tĩnh, sạch_sẽ.nhân_viên lịch sự, dễ chịu. nhưng nằm ở vị trí hơi xa nên tìm taxi khó, nên đi xe nhà."
True,386,"Phòng giá tốt ngay biển, đủ tiện nghi"
True,387,"Mình quên không chụp ảnh lại chứ không lại bảo mình điêu. khách_sạn còn không thèm dọn phòng sao? Bông tẩy trang nhét đầy cửa sổ điều hoà, giấy vệ sinh nhét thòi lòi mắt mèo. Khăn dùng ố vàng, kiểu bạn tận dụng nhưng làm ơn tẩy rửa đàng hoàng giúp mình. Phòng cũ cảm giác ẩm ướt tối. Cả đêm không ngủ nổi. Chìa khoá còn kẹt. Phòng khác mình đặt hộ bạn vách tường còn mốc đen đỏ vết nước bẩn đầy tường cơ. Ảnh chụp lung linh thế thôi chứ thật tệ vừa chật hẹp vừa tệ.Thang máy không có thông gió mỗi lần lên t6 muốn ná thở. Giá gần 300 ngàn sau giảm giá nhưng chất lượng còn tệ hơn cả nhà nghỉ walk in. Còn có nhiều hostel phố cổ rẻ hơn mà còn tốt hơn nhiều. Quá thất vọng cho một đêm nghỉ"
True,401,"nhân_viên vui vẻ, phòng hơi nhỏ, vị trí khó tìm nhưng thế là tốt rồi. Với giá như vậy ở tốt rồi"
True,426,"Tôi rất thích hồ bơi của khách_sạn, rất đẹp và hoành tráng. Phòng ở cũng rất ok nhưng nếu có thêm bồn tắm thì tuyệt vời. Về nhân_viên thì bên khách_sạn hay ivivu tôi đều rất thích vì mấy bạn rất nhiệt tình."
True,432,"Tôi được sắp xếp hướng phòng khác với lần trước, nên có cảm giác không bị trùng lặp, tôi thích lắm"
True,442,"Mọi thứ ok cả, chuyến đi tốt"
True,445,"dịch_vụ khách_sạn hài lòng, mọi thứ đều tốt. dịch_vụ ivivu tốt, nhân_viên tư vấn tốt, mọi thứ đều tốt hết"
True,446,dịch_vụ tốt và vị trí trung tâm thuận tiện đi lại công việc
True,451,"khu_nghỉ_mát cảnh quan đẹp, dịch_vụ tốt, thức ăn nhà hàng Việt ngon, mình chưa ăn nhà hàng Tây nên không nhận xét. 
Mình đặt đặt phòng vào 29 AL nên sợ không được xác nhận đặt phòng, nhưng ivivu đã xử lý tốt"
True,454,"khu_nghỉ_mát đẹp, nhân_viên dễ thương, gia đình mình rất thích. "
True,460,"Tất cả đều ok, thực đơn bữa sáng cần cải thiện thêm!"
True,469,"Mọi dịch_vụ của khách_sạn, ăn uống, nghỉ ngơi, phòng ốc mình thấy đều tốt."
True,490,"Hài lòng về chuyến đi, chỉ buồn là đi mùa này tắm biển bị sứa cắn sưng hết chân"
True,498,Lễ tân nhiệt tình :D ngay gần phố đi bộ nên tối dễ dàng đi chơi
True,501,"Phòng thiết kế đẹp sạch_sẽ, không gian yên tĩnh thoải mái"
True,503,"khách_sạn có chất lượng rất tốt, sát biển, phòng đẹp và sang trọng. nhân_viên ivivu làm việc rất chu đáo, lịch sự và nhanh chóng."
True,506,"mọi điều tuyệt vời, trừ bữa ăn"
True,507,"Mọi thứ ở đây đều rất tốt, tôi không có gì phiền lòng cả. nhân_viên tư vấn của ivivu hỗ trợ tôi chu đáo, nhiệt tình, cảm ơn các bạn rất nhiều"
True,509,"Vị trí thuận tiện, nhân_viên thân thiện, khách_sạn quá tốt. Rất hài lòng, sẽ ủng hộ nếu có dịp"
True,521,"Phòng ốc sạch_sẽ đẹp đẽ phù hợp với giá tiền nhé các bạn ơi, ngay gần sunworld đi bộ tầm 50-100m là tới rồi. Được cái chị chủ vô cùng nhiệt tình, hỗ trợ hết mình nên mọi người không phải lo nhé"
True,524,dịch_vụ tất cả đều tốt hồ bơi hơi nhiều Flour. Biết qua Google search
True,528,"Victoria Phan Thiết không có vấn đề gì, mọi thứ đều tốt. "
True,530,"khách_sạn sạch_sẽ, nhân_viên rất dễ thương. khu_nghỉ_mát rất rộng dường như chưa hoàn thiện nên hoang sơ. Nhưng mình thích điều này."
True,532,việc nhận_phòng quá chậm mà không biết lỗi từ trang mạng hay từ khách_sạn?
True,534,"Gần khu phố cổ nên tiện đi lại, không thích ăn sáng kiểu gọi món, nước miễn_phí mà chai nước nhãn hiệu lạ không dám uống. Giá phòng rẻ, phòng hơi nhỏ cho 3 người, nhưng nhà tắm thì thật là to :))"
True,546,"Không gian rất thoáng mát, nhân_viên vô cùng thân thiện 👍👍👍"
True,550,"khách_sạn rất đẹp, phòng rộng, nhất là các phòng tầng trệt nhà_vệ_sinh siêu to Chụp hình đẹp nhất tầm 6 giờ chiều khi đó hồ bơi có ánh đèn lễ tân rọi vào"
True,572,"Phòng ốc  nhìn sạch_sẽ, khuôn viên đẹp nhưng hơi cũ một tý. nhân_viên ivivu hỗ trợ khách đặt phòng nhanh chóng và nói chuyện lịch sự với khách. "
True,586,"Điều này thật tuyệt vời, khách_sạn siêu sạch và nhân_viên rất thân thiện."
True,593,"khách_sạn mới, tiện nghi hiện đại, hồ bơi có khung_cảnh nhìn thẳng ra cánh đồng lúa khá đẹp."
True,596,"khách_sạn mới khung_cảnh biển khỏi chê ạ, giá_cả lại cực kỳ hợp lý nữa ạ, mình ở Mường Thanh với Vinpearl codotel thì thấy Mường Thanh giá hợp lý mà chất lượng khỏi chê luôn í ạ, lần sau nếu quay lại Nha Trang nhất định sẽ lại chọn Mường Thanh ạ"
True,610,"Mình đặt phòng giường đôi, khi nhận phòng thấy giường đôi thật nhưng khi nằm thì phát hiện là 2 giường đơn ghép lại. Nằm ở giữa bị đau lưng, giường còn kêu cọt kẹt nữa. Không gian xung quanh thì thoáng mát, yên tĩnh. Các dịch_vụ chưa ok lắm. Chưa xứng với khu_nghỉ_mát 5 sao và giá tiền"
True,611,"Không new hotel nhưng nó là khách_sạn tốt đẹp với nhân_viên đẹp, vị trí tốt,"
True,615,"Chuyến đi của chúng tôi ổn, mọi việc đều hài lòng"
True,620,"Khu nghỉ mát Poshanu là một nơi tốt cho gia đình trẻ, trang trí đẹp và phòng của họ lớn hơn hầu hết những người khác. nhân_viên địa phương được đào tạo tốt. giá_cả hợp lý thực phẩm và sân vườn đẹp."
True,623,"nhân_viên thân thiện và dễ mến, họ đưa hành lý của chúng tôi từ taxi đến phòng, cho chúng tôi một chai nước miễn phí sau khi chúng tôi trả phòng."
True,628,khách_sạn ngay trung tâm. Không có máy lạnh. Phòng cũng ok. Chủ khách_sạn nhậu 11 giờ trưa tới 14 giờ chiều ồn ào không ngủ được. Xong 21 giờ tiếp tục nhậu. Phải xuống nói với lễ tân
True,637,"Tuyệt vời, nhân_viên thân thiện nhiệt tình, bãi biển vô cùng đẹp. Đồ ăn sáng rất ngon "
True,640,Rất yên tĩnh và nhân_viên rất thân thiện. Đồ ăn đơn giản nhưng ngon ! Khách nước ngoài ở rất nhiều đủ để thấy chất lượng rồi. Khu nghỉ dưỡng tuy có hơi nhỏ nhưng cảnh cực kỳ đẹp !
True,646,Mình đánh giá tốt về mọi thứ cho chuyến đi này
True,647,"Phòng và dịch_vụ ok lắm, chỉ mỗi tội tôi có ghi chú thông tin phòng tôi ở tầng cao và khung_cảnh đẹp, nhưng các bạn lại sắp xếp cho tôi phòng ở tầng 1 và không có khung_cảnh"
True,654,"Tuyệt vời, phòng sạch_sẽ, nhân_viên niềm nở. Chỉ duy nhất bể bơi đang sửa chữa nền gạch nền xước xát nhiều."
True,655,"Hài lòng về dịch_vụ, tuy nhiên chúng tôi xuống hồ bơi thì bị nhân_viên đuổi lên vì không mặc quần bơi"
True,657,"Tôi cảm thấy hài lòng ở khách_sạn về mọi mặt, chất lượng tốt, dịch_vụ ổn. ivivu thì tư vấn cho tôi rất nhiệt tình."
True,672,"Các bạn nhân_viên rất nhiệt tình và thân thiện, khách du lịch thì lịch sự, phòng đẹp, đồ ăn ngon, không khí trong lành"
True,678,"Phòng xinh , sạch_sẽ , mới , rất thuận tiện đi lại ra Sun world với bãi biển . Anh chủ đáng yêu hiền hiền"
True,679,"Chuyến đi tốt, mọi việc ok"
True,684,"Phòng rất rộng, đẹp, mới, tuy hơi bất tiện không có chỗ đậu xe qua đêm nhưng nhân_viên thân thiện, nhiệt tình giúp đỡ khách, rất hài lòng"
True,729,- phòng bẩn - hồ bơi bẩn - sàn bẩn - đường xuống biển thì nước cống chảy - không có bãi biển riêng Quá tệ
True,739,"Lần đầu tiên đến với Fusion, mọi thứ rất nhẹ nhàng và thoải mái. Mình rất thích mùi hương ở đây, từ trong phòng nghỉ đến các khu thư_giãn, rất mộc mạc và giản dị. Các bạn nhân_viên cũng dễ thương nữa. Có dịp mình chắc chắn sẽ quay lại nơi này."
True,759,tất cả anh đều rất hài lòng. Em nói bên khách_sạn xuất hóa đơn cho a
True,766,"Phòng ốc sạch_sẽ, nhân_viên phục_vụ tốt, vị trí gần biển. Thuê xe máy 150k/ngày, nhưng mà cứ nổ máy là tính ít nhất 0.5 ngày, cái này có vẻ hơi không được happy lắm. Còn lại là ok."
True,770,Tốt . Không có vấn đề gì .
True,775,"Mọi thứ đều ổn nha, mình đi chơi rất vui "
True,782,"khách_sạn khung_cảnh quá đẹp, nhân_viên nhiệt tình thoải mái, chú bảo vệ dễ thương, chỉ mỗi tội phòng không cách âm lắm, còn lại thì ok hết"
True,787,"khách_sạn đẹp, vị trí trung tâm thuận tiện cho du khách đi chơi mua sắm, nhân_viên phục_vụ vui vẻ, buffet sáng ngon, đồ ăn phong phú"
True,791,Tốt lắm. Không có gì nói thêm.
True,796,Đúng chất nghỉ dưỡng! Gia đình đã có chuyến đi vui và hài lòng.
True,814,"sạch_sẽ nhiệt tình, ổn áp nhất bờ biển Nha Trang. Mình ở cả Anya Premier cũng rất đẹp"
True,817,"Phù hợp với giá tiền. Không gian rộng đẹp, hồ bơi đẹp, có sân tennis miễn phí. Hài lòng và sẽ đến khi có điều kiện."
True,1045,"Mình thấy chuyến đi vui và mọi thứ rất tốt, không có gì để phàn nàn"
True,1201,"Các phòng đều nhỏ. nhân_viên lễ tân không thực sự thân thiện. Họ đã có thái độ với chúng tôi. Đặc biệt là trung tâm Blessing 1 trên đường 48 Nguyễn An Ninh (gần chợ Bến Thành). Bữa ăn sáng không thực sự tốt đẹp, tất cả mọi thứ đã được kế hoạch và không có hương vị. Khi tôi yêu cầu thay đổi phòng, nhân_viên tiếp tân đã có một thái độ với tôi như tôi đã không phải trả tiền để ở lại hay cái gì đó."
True,1207,Tôi rất thích cách phục_vụ và cảnh nơi đây
True,1237,"Tôi thấy khu nghỉ dưỡng xa trung tâm, mọi thứ đều tốt nhưng hồ bơi đông, nước không được trong . So với số tiền Tôi bỏ ra thì hạng sao cũng khá phù hợp . Còn về ivivu, mọi thứ đều rất tốt 9/10"
True,1242,"Phòng ốc rất ok, nhân_viên rất dễ thương và nhiệt tình, tôi tiếc một chút là không tắm được bãi biển, do khu_nghỉ_mát đang cải tạo lại biển  làm hạn chế đá. Ăn uống thì rất ok, nhưng giá phụ thu hơi cao. Tôi gửi lời cảm ơn bạn Mi nhân_viên tư vấn của ivivu rất nhiều nha."
True,1248,"Tôi thấy giá tại ivivu rất tốt, giá_cả cứ phải nói là ok, nhân_viên chăm sóc cũng rất tốt. 
khách_sạn cũng vô cùng hài lòng, tôi không thấy có vấn đề gì."
True,1263,"Chị Liễu nhân_viên bên ivivu hỗ_trợ rất nhiệt tình trong quá trình đặt phòng (đổi phòng, hoàn phí)., nên rất yên tâm. khu_nghỉ_mát rất đẹp, biển trong cát mịn. Hồ bơi sạch và ăn sáng rất nhiều chủng loại từ Âu tới Á. Các anh chị nhân_viên nhiệt tình, dễ thương. trả_phòng có thể hơi lâu tùy vào tình hình khách_sạn."
True,1285,"Cơ sở vật chất, cảnh quan của khách_sạn tương đối tốt. Tuy nhiên, còn một số điều cần cải thiện:
- Lễ tân khách_sạn rất lúng túng, cho khách nhận_phòng nhưng không báo cho bộ phận buồng phòng biết để vệ sinh trước. Khi trả_phòng, lễ tân đã xác nhận xong với bộ phận buồng phòng nhưng vẫn để khách đợi ngay trước mặt mình hơn 15 phút, khi được nhắc mới vội lấy giấy tờ của khách trả lại.
- Hồ bơi rất bẩn, rất nhiều cặn bẩn lửng lơ trong nước và lắng dưới đáy hồ."
True,1298,"Tất cả dịch_vụ đều rất tốt, phòng sạch_sẽ, nhân_viên vui vẻ nhiệt tình phục_vụ dù khách đến sớm hơn giờ nhận_phòng và về muộn hơn giờ trả_phòng.  Rất nhiều khu vui chơi thích hợp cho cả gia đình. Nhất định sẽ quay lại !"
True,1328,"dịch_vụ khách_sạn tốt, tuy nhiên ở gần thiên nhiên nên có nhiều côn trùng cóc nhái nên vợ mình hơi sợ và muốn đổi phòng thì quản lí ở đây có hỗ trợ đổi không thu thêm phí và có xin lỗi.
dịch_vụ ivivu rất tốt, bạn tư vấn nhiệt tình hỗ trợ, nhanh nhẹn trả lời nên mình không phải chờ lâu."
True,1375,"Đây quả là một nơi nghỉ dưỡng tuyệt vời, phòng ốc rộng và sạch_sẽ, có cả bồn tắm, hồ bơi và biển đẹp, yên tĩnh. Nhược điểm duy nhất là đi leo dốc bậc thang đến phòng hơi xa nên hơi đuối, nhà có các bé nhỏ hay đồ đạc nhiều có thể nhờ bảo vệ khiêng phụ, bảo vệ không đòi hỏi gì cả nhưng nếu đồ nhiều thì mình tip thêm các anh một ít."
True,1416,"phòng rộng rãi, tạm được. Gần Hồ Gươm trong khu phố cổ tiện đi chơi. Giá rẻ. Nhưng Ra gối có mùi hơi hôi, chăn không lồng bên trong mà chỉ có tấm bọc bên ngoài mỏng. nhà_vệ_sinh cũ, khó thoát nước bồn tắm. bàn chải đánh răng giờ này còn cho cái bàn chải cứng không thể xài được. khăn tắm chỉ cho mỗi người 1 cái vừa cũ, vừa sờn rách, vừa úa màu. Tủ lạnh hư bỏ bên ngoài không xài được. Máy lạnh cũ điều chỉnh không được. Ghế sofa dưới lễ tân hôi mùi ẩm mốc."
True,1425,Khá lâu rồi mới trở lại đây. khu_nghỉ_mát đã thay đổi đẹp hơn rất nhiều. Ăn sáng lên thức ăn hơi chậm
True,1465,"Ít hoạt động vui chơi khô, chỉ có hoạt động ngâm nước là đa số thôi, công viên khủng long thì nữa vời, chưa tới. Cách phục_vụ và phòng ốc tại khu nghỉ dưỡng thì rất tốt"
True,1478,"khu_nghỉ_mát có đón khách ở sân bay nhưng chỉ từ 8-5 giờ , mình đến lúc 9 giờ phải tự kiếm xe về khách_sạn, khuôn viên thì không đẹp"
True,1512,"Cơ sở 2 ở số 1 Phạm Ngũ Lão, phòng ốc sạch_sẽ, nhân_viên nhiệt tình, thân thiện, phòng hơi bé, điều hoà làm mát hơi chậm và wifi thỉnh thoảng chập chờn."
True,1519,"khách_sạn đẹp, thích nhất là bãi cỏ xanh mướt, nhân_viên chu đáo, tận tình, nhiều hoạt động đa dạng, chỉ tiếc 2 điều một chút: 1 là hôm đến hơi mưa nên không đi thăm nông trại được, 2 là khách_sạn có mua xe đạp nhưng chưa đi vào hoạt động nên chưa thể sử dụng được"
True,1525,"Trải nghiệm tại Fusion khu_nghỉ_mát - đỉnh cao của sự tinh tế. Fusion với không gian rất thiên nhiên, riêng tư, phục_vụ tận tình và cực kỳ tinh tế. Mình rất thích các món ăn tại PezCá , thích cách phục_vụ chu đáo đến bất ngờ tại đây. Hẹn vài tháng nữa sẽ quay lại để trải nghiệm phòng khung_cảnh biển tại đây"
True,1541,"khách_sạn rất là tốt, phòng đẹp, khuôn viên rộng rãi và không khí trong lành"
True,1616,"Vòi sen hỏng, nhà_vệ_sinh có tiếng ồn.
Tủ lạnh hỏng
"
True,1625,"Ăn ngon, phòng hơi cũ, có mũi, hồ bơi bãi biển đẹp"
True,1663,khách_sạn thiết kế đẹp. Hồ bơi thoải mái. Phòng đẹp. Mỗi tội hơi xa biển
True,1670,"Great stay tại Poshanu khu_nghỉ_mát, đội ngũ nhân_viên rất thân thiện và chu đáo. giá_cả hợp lý, tôi nhận được những gì tôi mong đợi. Buffet ăn sáng là tốt và nhà hàng có tầm nhìn ra biển tuyệt vời. Căn phòng lớn và rất sạch_sẽ nhưng 1 đêm ở đây là không đủ, tôi nên ở lại lâu hơn một chút."
True,1671,"Tôi thấy khách_sạn thì ok, các bạn nhân_viên thì cũng không vấn đề gì. Nhưng phòng tôi sát bên khu đang xây dựng nên rất ồn, tôi không thể ngủ được. Tôi nghĩ khách_sạn có thể tinh ý hơn và chủ động trong việc tránh xếp phòng khách ở khu đang xây dựng."
