User_name,Location_hotel,Hotel_name,Rating,Comment,Service,Infrastructure,Sanitary,Location,Attitude
Nguyen T. K.,Phan Thiết,Khu nghỉ dưỡng Pandanus Phan Thiết,8.0,tôi cảm_thấy rất hài_lòng về khu nghỉ_dưỡng này mọi thứ ở khu_nghỉ_mát đều rất thoải_mái khung_cảnh rất đẹp và yên_tĩnh,1,0,0,1,2
Tran N. H.,Vũng Tàu,Oceanami Villas & Beach Club,6.0,oceanami biệt_thự có vị_trí thuận_tiện khuôn_viên đẹp ăn sáng tạm được tuy_nhiên có điểm trừ là biệt_thự có bếp mà không_cho sử_dụng bộ_phận nhận_phòng quá_tải vào ngày cuối tuần,0,1,0,1,1
Le H. T.,Phan Thiết,Khu nghỉ dưỡng Pandanus Phan Thiết,10.0,dịch_vụ tốt,1,0,0,0,2
Nguyen T. T.,Hồ Chí Minh,Khách sạn Meraki Boutique,6.0,hình_ảnh phòng trên web chỉ mang tính_chất minh_họa nữ lễ_tân ở đó khá khó_tính nhận phòng từ 2 giờ chiều mà 4 5 giờ chiều chưa có đủ phòng,1,0,0,0,1
Vu T. T.,Hạ Long,Ivy Hotel - Ha Long,9.1,phòng ốc sạch_sẽ có thang_máy đi rất tiện nơi ở cũng rất dễ tìm dễ_dàng di_chuyển,0,0,1,1,2
Hoang T. H.,Phan Thiết,Khách sạn Sea Links Beach Phan Thiết,8.0,khách_sạn sạch_sẽ đồ ăn ngon nhân_viên chu_đáo,1,0,1,0,2
Nguyen C. T.,Phú Quốc,JW Marriott Phu Quoc Emerald Bay Resort & Spa,10.0,tôi rất hài_lòng về khu_nghỉ_mát hôm tôi đi là sinh_nhật của vợ tôi khu_nghỉ_mát có chuẩn_bị cho vợ tôi bánh_kem món quà thật ý_nghĩa,1,0,0,0,2
Nguyen T. M. D.,Phan Thiết,Sea Links Beach Villas Phan Thiết,8.5,chuyến đi rất tốt tôi rất hài_lòng về khách_sạn mọi thứ tuyệt_vời nhân_viên ivivu làm_việc rất chu_đáo và tận_tâm cảm_ơn ivivu đã hỗ_trợ rất nhiệt_tình cho chuyến đi của tôi,1,0,0,0,2
Nguyen K. C.,Đà Nẵng,InterContinental Đà Nẵng Sun Peninsula Resort,10.0,rất tốt chuyến đi gia_đình tôi rất hài_lòng cảm_ơn ivivu hy_vọng sẽ có dịp cùng hợp_tác với công_ty,1,0,0,0,2
Le T. H. A.,Huế,The Sunriver Boutique Hotel Hue,9.7,nhận phòng giống trong hình nhân_viên rất nhiệt_tình chu_đáo và dễ_thương,1,0,0,0,2
Tran T. T.,Phan Thiết,Sea Links Beach Villas Phan Thiết,7.0,khi tôi đi tôi có phát_sinh 2 bé dưới 5 tuổi và tôi đã phải thanh_toán thêm tiền 1 bé tôi cảm_thấy rất không_hợp_lý với chính_sách đó trong khi tôi ở biệt_thự 3 phòng_ngủ các khách_sạn khác tôi ở đâu có phụ_thu kiểu như thế và khu_nghỉ_mát cũng khá cũ rồi chắc_chắn tôi sẽ không_quay lại bên ivivu tôi vẫn rất hài_lòng,0,0,0,0,0
Nguyen H. Y.,Phan Thiết,Sea Links Beach Resort & Golf,8.6,khách_sạn có khu hồ bơi rộng phần_lớn các phòng đều khung_cảnh hồ bơi khách_sạn xa biển với nội_thất trong khách_sạn thiết_kế đã cũ phòng ổn sạch_sẽ,0,1,1,1,1
Nguyen T. T. L.,Đà Nẵng,Angel Hotel Danang,6.0,nhận phòng lúc chiều_tối và trong phòng không_có dép lúc mình đi chơi có xuống nhờ lễ_tân mang dép lên thì lúc đi chơi về có thấy mang lên thật nhưng cửa phòng lại mở to sợ thật_sự với cả không_có nước nóng,1,0,0,0,0
Nguyen V. H.,Nha Trang,Khu nghỉ dưỡng The Anam Nha Trang,9.0,tốt không_có_gì phàn_nàn,0,0,0,0,2
Nguyen B. V.,Phan Thiết,Khu nghỉ dưỡng Pandanus Phan Thiết,10.0,bạn tư_vấn cho tôi khá dễ_thương và nhiệt_tình khách_sạn tốt tôi sẽ đồng_hành cùng ivivu trong các chuyến đi sắp tới,1,1,0,0,2
Tran H. T.,Vũng Tàu,Khu nghỉ dưỡng Holiday Inn Hồ Tràm,10.0,mình hài_lòng với chất_lượng của khách_sạn nhân_viên tư_vấn của ivivu chu_đáo,1,0,0,0,2
Thu T. N.,Nha Trang,Le Soleil Nha Trang Hotel,5.5,khách_sạn không_phục_vụ buffet ăn mà chỉ có cơm_rang và 1 ít hoa_quả phòng ăn_nóng phòng to nhưng dịch_vụ không_ổn nhân_viên trực không_đầy_đủ phải gọi mới được khung_cảnh bị chắn nhà trước nên không_thoáng,1,1,0,1,0
Vu T. H.,Phan Thiết,Khu nghỉ dưỡng Pandanus Phan Thiết,9.0,phòng đẹp và rộng_rãi sạch_sẽ phục_vụ chu_đáo nhưng phòng tôi ở sát với công_trình nên hơi ồn và bụi nhưng nhìn_chung tôi và gia_đình vẫn thích chuyến đi sau khi sử_dụng dịch_vụ về cảm_thấy yên_tâm về dịch_vụ của ivivu và sẽ tiếp_tục liên_hệ cho những chuyến đi kế,1,1,0,1,2
Nguyen T. T. V.,Phú Quốc,JW Marriott Phu Quoc Emerald Bay Resort & Spa,10.0,khu nghỉ_dưỡng tuyệt_vời cảnh đẹp chụp hình sống ảo đẹp không_tưởng ăn ngon các em nhân_viên hết_sức nhiệt_tình thân_thiện và chu_đáo,1,0,0,1,2
Nguyen T. T. M.,Hạ Long,FLC Halong Bay Golf Club & Luxury Resort,8.8,bãi biển có bể_bơi nước ấm vào mùa đông nên nhà mình rất thích đồ ăn sáng đa_dạng trong đó có phở bò rất ngon phòng đẹp nhân_viên phục_vụ niềm nở nhiệt_tình tuy_nhiên do phòng tắm rộng nên vách kính trong buồng tắm nếu có thêm cánh cửa thì sẽ ấm hơn vào mùa đông khung_cảnh thì bình_thường do xung_quanh vẫn đang xây_dựng dở_dang ở bên này thì qua khu bãi cháy chơi hơi bất_tiện 1 tẹo nhà mình ngày 2 lần vòng_vèo qua cầu bãi cháy để đi ăn_uống cà_phê,1,1,1,1,2
Huong H.,Phan Thiết,Sea Links Beach Resort & Golf,8.5,rất tuyệt nhân_viên phục_vụ rất tận_tình,1,0,0,0,2
Phan T. H.,Đà Nẵng,Khách sạn A La Carte Đà Nẵng,10.0,rất sạch_sẽ một điểm đến khá thú_vị nhất_định sẽ quay lại,0,0,1,0,2
Thanh T. N.,Hà Nội,Dal Vostro Hotel & Spa,9.7,phòng sạch_sẽ tinh_tế từ những chi_tiết nhỏ dịch_vụ tốt và có hidden bar ngay dưới hầm từ khách_sạn đi vài bước là ra hồ gươm và tiện_ích xung_quanh có đủ một nơi xứng_đáng để quay lại nhiều lần,1,1,1,1,2
Ngo T. T. D.,Vũng Tàu,Khu nghỉ dưỡng Holiday Inn Hồ Tràm,10.0,dịch_vụ khách_sạn mình hài_lòng nhân_viên tư_vấn ivivu hỗ_trợ mình nhiệt_tình mình làm_việc qua bạn này quen rồi,1,0,0,0,2
Nguyen T. V.,Đà Nẵng,Meliã Vinpearl Đà Nẵng Riverfront,10.0,chất_lượng khách_sạn tốt gia_đình tôi hài_lòng đã có chuyến đi vui_vẻ,0,1,0,0,2
Nguyen V. H.,Phan Thiết,Khu nghỉ dưỡng Muine Bay Phan Thiết,10.0,mình cảm_thấy hài_lòng với dịch_vụ của khách_sạn và cả nhân_viên tư_vấn của ivivu,1,0,0,0,2
Nguyen T.,Phú Quốc,Muong Thanh Luxury Phu Quoc Hotel,10.0,nhân_viên lịch_sự nhã_nhặn dịch_vụ khách_sạn tốt,1,0,0,0,2
Nguyen T. M. H.,Nha Trang,Khu nghỉ dưỡng The Anam Nha Trang,6.0,buffet sáng quá ít món khuôn_viên nhiều công trùng bãi biển còn nhiều vỏ_sò ốc cảnh_quan đẹp nhân_viên phục_vụ ok nhà hàng ăn trưa tối nấu_ăn ngon,1,0,0,1,1
Nguyen T. T.,Huế,TinTin Hostel,5.1,phòng cũ và xấu quá hình đăng trên web chắc chụp từ lúc mới xây khác_xa so với thực_tế,0,1,0,0,0
Thi T. T. P.,Hội An,Khách sạn Thanh Bình 2,8.5,phòng giống hình ăn sáng ít món,1,1,0,0,1
Tran Q. T.,Đà Nẵng,InterContinental Đà Nẵng Sun Peninsula Resort,10.0,dịch_vụ tốt do đang sửa_chữa nên hơi ồn nhân_viên tư_vấn nhiệt_tình mình hay đi của ivivu,1,1,0,0,1
Pham T. T. T.,Phú Quốc,Vinpearl Resort & Spa Phú Quốc,9.0,khu nghỉ_dưỡng rất tốt chúng_tôi rất hài_lòng với dịch_vụ ở đây cảm_ơn ivivu đã hỗ_trợ đặt phòng giúp chúng_tôi,1,0,0,0,2
Thu N.,Phan Thiết,Khu nghỉ dưỡng Pandanus Phan Thiết,10.0,khu nghỉ_dưỡng phục_vụ tôi không_phàn_nàn gì thấy rất thích luôn,1,0,0,0,2
Pham T. L.,Đà Nẵng,InterContinental Đà Nẵng Sun Peninsula Resort,10.0,tuyệt_vời,0,0,0,0,2
Nguyen T. K. T.,Nha Trang,Rex Hotel and Apartment,4.8,phòng cách_âm tệ quá ồn không_nghỉ_ngơi được từ hành_lang vào phòng hôi mùi cống bốc lên không_có nhân_viên hỗ_trợ mang hành_lý đến phòng mà khách phải lội bộ 1 lầu để sách đồ lên khăn_tắm và giường gối hôi mùi mồ_hôi kinh_khủng không_thể_nào chấp_nhận được,1,1,0,0,0
Huynh M. T.,Đà Lạt,Khách sạn Hồng Tâm Đà Lạt,6.0,ở đà lạt mà không_có nước nóng phải càm ràm với lễ_tân hồi sau mới có nước nóng rồi đang tắm nửa_chừng nước hết nóng cứ như chỉ cho tắm mỗi lần 5 10 phút không_lẽ chửi thề khách đi cả ngày về thấy phòng chả dọn_dẹp gì hết khuyên mọi người chớ có tin vô mấy cái hình hoành_tráng ảo họ đăng,1,0,1,0,0
Pham T. T. T.,Nha Trang,Rex Hotel and Apartment,6.0,nhân_viên khách_sạn không_thân_thiện,1,0,0,0,0
Nguyen T. T.,Phan Thiết,Phan Thiet Ocean Dunes Resort,9.1,khách_sạn có khuôn_viên rộng sạch_sẽ và nhiều cây thoáng mát,0,0,1,1,1
Pham T. T. H.,Đà Lạt,Khu nghỉ dưỡng Ana Mandara Villas Dalat Resort and Spa,8.0,ban_đầu mình không_có request ở tầng cao tuy_nhiên khi mình đến khách_sạn xếp phòng tầng 1 mình có yêu_cầu đổi nhưng khách_sạn báo full phòng mình ở 3 ngày nhưng khách_sạn cũng không_sắp_xếp được các dịch_vụ khác ok mình hài_lòng,1,0,0,0,2
Nguyen Q. H.,Vũng Tàu,Khách sạn Hoàng Yến,5.8,thực_sự do kỳ nghỉ làm_giá phòng tăng cao tuy_vậy cũng không_thể_nào có chất_lượng phòng không_cao đến vậy mọi thứ khá ọp_ẹp và cũ_kỹ thiếu tiện_nghi tuy_nhiên về mặt thời_gian và tiền_bạc cũng là một điểm khá hợp_lý và mọi người thân_thiện,0,1,0,0,1
Nguyen K. H.,Huế,Khách sạn Poetic Huế,9.1,phòng sạch nhân_viên thân_thiện,1,0,1,0,2
Ngo P. T.,Đà Nẵng,Khu nghỉ dưỡng Furama Đà Nẵng,9.5,nhân_viên chu_đáo hỗ_trợ chuyến đi của tôi ok,1,0,0,0,2
Nguyen T. H. T.,Phú Quốc,VinOasis Phu Quoc,9.4,khách_sạn cực_kỳ sạch_sẽ hiện_đại bể_bơi nước trong vắt có xe đưa_đón rất thuận_tiện buffet sáng khá ngon nhân_viên thân_thiện lễ_phép điểm trừ mình có em bé đến từ rất sớm nhưng nhận phòng lại muộn bạn mình đến sau lại được nhận phòng trước không_hiểu khách_sạn ưu_tiên thế_nào mình ở 2 ngày nhưng xe đẩy em bé luôn là không_mượn được mình chọn ở đây 1 phần vì có xe đẩy nên mình không_mang theo vậy_mà không_có xe cho mượn bế muốn gãy cái tay,1,1,1,0,2
Nguyen D. N.,Phan Thiết,Victoria Phan Thiết Beach Resort & Spa,10.0,mọi thứ tôi thấy hầu_như đều tốt chuyến đi thật_sự thoải_mái và hài_lòng,1,0,0,0,2
Pham T. T.,Hội An,Khách sạn Thanh Bình 2,7.0,phòng đẹp nhân_viên nhiệt_tình wifi quá tệ đóng cửa phòng lại là hết xài được,1,1,0,0,1
Van T. N.,Quy Nhơn,Anya Hotel Quy Nhon,8.5,khách_sạn mới mọi thứ ổn hồ bơi đẹp,1,1,0,0,1
Nguyen M. H.,Nha Trang,Aroma Nha Trang Boutique Hotel,9.7,mọi thứ đều tuyệt trừ sàn nhà hơi dơ và thang_máy hơi sợ,0,1,1,0,2
Nguyen T. M.,Hồ Chí Minh,Khách sạn Meraki Boutique,9.7,khách_sạn sạch_sẽ nhân_viên dễ_thương vị_trí trung_tâm rất tiện cho việc đi chơi sẽ còn quay lại đặt phòng,1,1,0,1,2
Nguyen T. C.,Đà Nẵng,Khách sạn Four Points by Sheraton Đà Nẵng,10.0,rất ấn_tượng sẽ sử_dụng thường_xuyên và giới_thiệu bạn_bè sp này,0,0,0,0,2
Tran T. V.,Đà Nẵng,Khách sạn Brown Bean,8.5,mọi thứ điều ok đủ để cho ai thích ở lâu ngày đấy ️_️,0,1,0,0,2
Thi M. T. H.,Phú Quốc,The Palmy Phú Quốc Resort & Spa,5.5,trước khi nhận phòng khách_sạn bảo không_có dịch_vụ đưa_đón sân_bay miễn_phí như liệt_kê trong mô_tả đặt phòng gọi yêu_cầu app đặt phòng taxi xong rồi khách_sạn mới giải_quyết lúc về gọi báo khách_sạn có đưa_đón sân_bay khách_sạn lại chối lại phải bảo app báo có mà rồi lại báo có chán phòng nhận được sàn dơ nhờ lau thì nói 15 ph xuống thì 1 giờ sau phải gọi giục rồi mới xuống ngày hai yêu_cầu dọn phòng buổi sáng mình ra ngoài nên nhờ tranh_thủ lúc về trưa thấy còn nguyên chìu mình nhờ dọn lại thật_sự sàn lau không_sạch ăn sáng khỏi nói đồ ăn vừa ít vừa không_tươi vừa kiểu ỉu_ỉu như để lâu nói_chung mình không_chọn khách_sạn này lần hai,1,0,1,0,0
Nguyen T. H.,Hạ Long,City Bay Palace Hotel,8.5,tuyệt_vời nếu có lần sau nhất_định quay lại,0,0,0,0,2
Dinh T. T.,Hồ Chí Minh,Khách sạn DDA Quận 1,6.0,không_cho gửi xe_máy phòng quá nhỏ tivi không_mở được điện_thoại bàn không_có tín_hiệu không_sử_dụng được không_thêm mới xà_phòng và bàn_chải đánh răng cho ngày ở thứ hai ăn sáng quá tệ quá ồn tiếng ồn từ nhạc và cả nhân_viên nói_chuyện phía ngoài hành_lang nhân_viên không_thân_thiện tóm_lại là rất tệ không_thể gọi là hotel mà chỉ có_thể gọi là nhà_trọ,1,1,1,0,0
Tran N. T.,Phan Thiết,Khu nghỉ dưỡng Pandanus Phan Thiết,9.0,set thực_đơn chất hơn lẩu thả lẩu thả ăn để biết thôi khu_nghỉ_mát đẹp,0,1,0,1,1
Tran V. T.,Đà Nẵng,Khu nghỉ dưỡng Núi Thần Tài Ebisu Đà Nẵng,9.5,ivivu làm_việc nhanh_chóng và đầy_đủ thông_tin phòng và dịch_vụ tại khu nghỉ_dưỡng ok mọi việc tốt,1,1,0,0,2
Nguyen V. T.,Phú Quốc,Vinpearl Discovery Wonderworld Phú Quốc,10.0,ok,0,0,0,0,1
Nguyen T. T. D.,Phú Quốc,Vinpearl Discovery Wonderworld Phú Quốc,7.0,gia_đình tôi đã nhận biệt_thự và đem hành_lý để ở biệt_thự sau đó chúng_tôi đi ăn khi về thì thấy có những khách khác ở trong phòng của mình đồng_thời hành_lý của chúng_tôi bị nén dưới sàn tôi gọi lễ_tân thì rất lâu mới có nhân_viên đến và báo là giao nhầm biệt_thự cho khách khác buffet trong các bữa ăn tôi thấy khi hết thì không_được thêm thức_ăn nữa tôi không_hài_lòng về chuyến đi lần này,1,0,0,0,0
Phuong A.,Đà Lạt,Khách Sạn LADALAT,10.0,phòng rộng_rãi sạch_sẽ,0,1,1,0,2
Thao T.,Hội An,Khách sạn Thanh Bình 2,9.7,khách_sạn sạch_sẽ nhân_viên thân_thiện nhiệt_tình,1,0,1,0,2
Pham T. A.,Phan Thiết,Khách sạn Sea Links Beach Phan Thiết,8.0,cảm_ơn nhân_viên ivivu hỗ_trợ tôi đặt phòng khách_sạn nhanh_chóng về chất_lượng khách_sạn thì tôi không_có phàn_nàn rất tuyệt_vời,1,1,1,1,2
Nguyen B. H.,Đà Nẵng,Angel Hotel Danang,9.7,phòng sạch_đẹp nhân_viên nhiệt_tình ăn sáng hơi ít món và chưa ngon tuy_nhiên so với giá tiền thì rất tốt khu_vực xung_quanh có nhiều siêu_thị mini quán ăn sẽ ghé và giới_thiệu bạn_bè đến đây,1,1,1,1,2
Nguyen V. D.,Phú Quốc,Khu Nghỉ Dưỡng Best Western Premier Sonasea Phú Quốc,10.0,gia_đình chúng_tôi hài_lòng về chuyến đi dịch_vụ tốt rồi nên không_phải phàn_nàn gì,1,0,0,0,2
Tran C. T.,Phú Quốc,JW Marriott Phu Quoc Emerald Bay Resort & Spa,10.0,tôi thấy khách_sạn có chất_lượng tương_xứng với giá_cả cảm_ơn ivivu đã hỗ_trợ,1,0,0,0,2
Nguyen V. H.,Hạ Long,Khách sạn Mường Thanh Luxury Quảng Ninh,6.0,bát sen tắm kém không_hoạt_động nên không_gội đầu được nhân_viên đổi cho phòng quá kém,1,1,0,0,0
Nguyen T. H.,Hồ Chí Minh,The Noble Swan Woodpark Hotel,4.5,quá kinh_khủng một kỳ nghỉ tồi_tệ tại khách_sạn này,0,0,0,0,0
Nguyen T. T. T.,Nha Trang,Khu nghỉ dưỡng Amiana Nha Trang,10.0,dịch_vụ tốt bãi biển buổi sáng nước trong_veo và có_thể thấy được cá,1,0,0,1,2
Nguyen T. H.,Huế,TinTin Hostel,9.7,phòng ở thoải_mái sạch_sẽ nhân_viên thân_thiện vô_cùng,1,1,1,0,2
Nguyen T. T.,Quy Nhơn,Casa Marina Resort,10.0,rất hài_lòng với dịch_vụ và cách phục_vụ của khu_nghỉ_mát nhân_viên dễ_thương nhiệt_tình và luôn sẵn_sàng hỗ_trợ khi cần nhiều khung_cảnh để chụp hình siêu xinh 10,1,0,0,1,2
Huong H.,Phú Quốc,Muong Thanh Luxury Phu Quoc Hotel,9.4,khách_sạn sạch_sẽ thoáng mát nhân_viên phục_vụ nhiệt_tình tuy_nhiên khách_sạn hơi xa trung_tâm,1,0,1,1,2
Nguyen T. T. V.,Phú Quốc,Vinpearl Resort & Spa Phú Quốc,10.0,phục_vụ tốt nhưng do chuyến đi tôi do bão nên không_tham_quan được nhiều nhân_viên phục_vụ tận_tình đưa_đón chu_đáo,1,0,0,0,2
Nguyen H. T.,Phú Quốc,Khu Nghỉ Dưỡng Best Western Premier Sonasea Phú Quốc,8.0,không_có trái_cây chào_mừng nên hơi buồn xíu đường xuống bãi biển cát không_mịn chất_lượng phòng tốt,0,1,0,0,1
Tran T. H. T.,Huế,Hong Thien 1 Hotel,9.0,khách_sạn phục_vụ tốt nhân_viên tận_tâm phòng cũng khá ok,1,1,0,0,2
Tran H. T.,Phú Quốc,JW Marriott Phu Quoc Emerald Bay Resort & Spa,10.0,tôi rất hài_lòng về khách_sạn này dịch_vụ rất tuyệt_vời phong_cách làm_việc chuyên_nghiệp về nhân_viên ivivu hỗ_trợ tôi nhanh_chóng và chu_đáo,1,0,0,0,2
Nguyen N. H.,Phan Thiết,Khu nghỉ dưỡng Pandanus Phan Thiết,9.0,tốt không_có_gì phàn_nàn,0,0,0,0,2
Do T. K. O.,Phan Thiết,Khách sạn Sea Links Beach Phan Thiết,10.0,tôi rất thích nên tôi đã đến đây nhiều lần mọi việc đều tốt cho chuyến đi,1,0,0,0,2
Truong T. T.,Đà Nẵng,Khách sạn A La Carte Đà Nẵng,10.0,thông_tin của ivivu và khách_sạn khác nhau gây phiền_phức a la carte trả_phòng lúc 11 h ivivu thông_tin 12 h phụ_thu con_nít 200 k ivivu thông_tin 150 k,1,0,0,0,0
Trang N.,Đà Nẵng,InterContinental Đà Nẵng Sun Peninsula Resort,10.0,khách_sạn có khung_cảnh tuyệt đẹp và dịch_vụ rất ổn nhân_viên phục_vụ tận_tâm làm_khách luôn thấy hài_lòng,1,0,0,1,2
Le T. D.,Đà Lạt,Khu nghỉ dưỡng Ana Mandara Villas Dalat Resort and Spa,10.0,khách_sạn có chất_lượng tốt chuyến đi rất thuận_lợi ivivu làm_việc chu_đáo nhanh và nhiệt_tình,1,1,0,0,2
Nguyen T. T. T.,Đà Lạt,Khách Sạn LADALAT,9.5,dịch_vụ và phòng_ốc tại khách_sạn ok chúng_tôi hài_lòng nhân_viên ivivu nhiệt_tình tôi hỏi gì bạn cũng hỗ_trợ nhanh_chóng,1,1,0,0,2
Trang N.,Quy Nhơn,Casa Marina Resort,9.1,khách_sạn đẹp sạch_sẽ nhân_viên thân_thiện tuy_nhiên dịch_vụ xe_điện hơi chậm do có 1 nhân_viên khách_sạn tốt có dịp sẽ ghé lại,1,1,0,0,2
Nguyen T. T. D.,Phan Thiết,Victoria Phan Thiết Beach Resort & Spa,10.0,mình rất ưng_ý và đánh_giá tốt cho khách_sạn và cho nhân_viên các bạn khá là nhiệt_tình,1,1,0,0,2
Nguyen T. P.,Vũng Tàu,Khách sạn Royal Vũng Tàu,9.1,khách_sạn sạch_sẽ ăn sáng ổn mọi thứ đều ok lễ_tân chưa niềm nở lắm,1,1,1,1,2
Nguyen T. H. T.,Đà Nẵng,Angel Hotel Danang,4.8,nhà_vệ_sinh vừa bẩn vừa hôi còn có gián chăn ga thì không_biết giặt chưa vẫn còn tóc của người_ta chăn ga loang ố màu bẩn,0,0,1,0,0
Nguyen T. H.,Hồ Chí Minh,Khách sạn DDA Quận 1,6.4,quá ồn_ào mặc_dù đã đặt phòng trước nhưng khi đến vẫn hết phòng phải chuyển sang khách_sạn khác,0,0,0,1,0
Minh A. H.,Hà Nội,Ma Coeur Boutique Hotel,9.7,khách_sạn đẹp ăn sáng ngon nhân_viên rất tuyệt_vời,1,1,0,0,2
Le T. T. N.,Phan Thiết,Khu nghỉ dưỡng Pandanus Phan Thiết,10.0,tất_cả điều tốt chỉ có xe không_được tốt lắm,1,1,1,1,2
Trang T.,Hồ Chí Minh,Khách sạn Meraki Boutique,5.1,phòng thì ban_công khóa không_được máy_lạnh thì cũ để 16_độ mà như 28_độ đèn lại bị hư,0,1,0,0,0
Tran T. B. T.,Nha Trang,Khu nghỉ dưỡng Vinpearl Nha Trang,10.0,chuyến đi khá ưng_ý,0,0,0,0,2
Nguyen T. H. V.,Hạ Long,Khách sạn Mường Thanh Grand Hạ Long,10.0,phòng thoải_mái phục_vụ tốt,1,1,0,0,2
Nguyen X. T.,Hạ Long,City Bay Palace Hotel,5.9,khách_sạn khá ổn so với mức giá vị_trí thuận_tiện đi_lại có điều nhân_viên lễ_tân không_được thoải_mái cho lắm,1,1,0,0,1
Pham D. K.,Hà Nội,Hanoi Charming House,8.4,phòng sạch nhân_viên thân_thiện chi_phí ở thêm 100 kgiờ cửa phòng nhà_vệ_sinh hư không_khóa được,1,0,1,0,1
Nguyen T. D.,Phan Thiết,Seahorse Resort & Spa Phan Thiết,10.0,tôi thấy chuyến đi không_có_gì để phàn_nàn tốt hết,0,0,0,0,1
