User_name,Location,Hotel_name,Rating,Comment
Ha H. ,Nha Trang,Khách sạn Mường Thanh Luxury Khánh Hòa,10.0,"Tôi thấy ổn. Nhân viên nhiệt tình. Đồ ăn sáng hơi ít món, có lẽ do ít khách nhưng đồ ăn nóng và ngon."
Vo T. M. H. ,Phú Quốc,The Palmy Phú Quốc Resort & Spa,9.4,"Phòng đẹp, rộng rãi, gần biển, thích hợp thư giãn, nghỉ dưỡng"
Kieu C. D. ,Hạ Long,Khách sạn Mường Thanh Luxury Quảng Ninh,5.6,"Đồ ăn không xứng tầm khách sạn 5 sao, không đa dạng, đồ ăn nguội."
Trong H. ,Hà Nội,MK Premier Boutique Hotel,8.5,Phong dep. khu vuc sam uat. Nhieu quan an.
Trần Nam Trung,Phan Thiết,Khu nghỉ dưỡng Pandanus Phan Thiết,9.0,Set menu chất hơn lẩu thả (lẩu thả ăn để biết thôi). Resort đẹp
 Nguyen Phan Viet,Phan Thiết,Seahorse Resort & Spa Phan Thiết,8.0,"Resort đẹp, đã tự upgrade lên hạng phòng delux có view nhìn ra biển. Cây cối nhiều và mát mẻ, hồ bơi đẹp!
Tuy nhiên, tôi ở 2 đêm nhưng không có dọn phòng hàng ngày.
Khi check out và ngồi chờ xe tới đón, nhân viên chỉ mang nước mời những người mới đến, resort nên cải thiện điều này để khách có trải nghiệm trọn vẹn trong suốt chuyến đi!"
Kien D. N. ,Huế,Hong Thien 1 Hotel,8.4,"Phòng ốc mới, sạch sẽ. Điểm trừ là bữa sáng gọi món nên không được chất lượng cho lắm, không đạt 3 sao."
Pham T. H. ,Huế,Hong Thien 1 Hotel,5.4,Nhân viên lễ tân ko thân thiện
Lâm Huy Cường,Phan Thiết,Seahorse Resort & Spa Phan Thiết,8.0,"Xin chào iVIVU,
Gia đình tôi đã có một chuyến đi rất thú vị. Resort Seahorse rất đẹp, nhân viên thân thiện. Tuy nhiên bạn đêm thì khuôn viên hơi tối, toilet chỉ có 1 cái đèn nên hơi thiếu ánh sáng. Giường nằm chưa được thoải mái lắm. Và một điều nữa là bình đun nước bị đóng gỉ dưới đáy, khi đun nước thì bong tróc lớp cặn hoà vào nước nên tôi không thể pha sữa cho bé được. Tôi có đến quầy tiếp tân yêu cầu giúp tôi đổi bình nấu khác nhưng không thấy đổi nên bé nhà tôi không thể uống được sữa cũng như nước ấm. 
Cám ơn iVIVU"
Nguyen T. T. N. ,Đà Nẵng,Menora Grand Da Nang,10.0,"Mình có 1 ngày lưu trú thật thú vị ở khách sạn này, phòng y chang hình, buffet sáng nhiều món, khá là ngon. Mình đi vào mùa mưa nên không lên bơi được, nhưng thấy hồ bơi thoáng đãng, rất đáng để lưu trú. Mình sẽ ghé vào lần sau nếu đi Đà Nẵng"
 Vũ Long,Vũng Tàu,Minera Hot Springs Bình Châu (Khoáng Nóng Thiên Nhiên Bình Châu),10.0,Đặt dịch vụ và thanh toán nhanh. Giá tốt.
Huynh Duc Tri,Đà Lạt,Khu nghỉ dưỡng Ana Mandara Villas Dalat Resort and Spa,8.0,Lúc check in không có welcome drink và khăn cho khách mặc dù không đông khách lắm. Tôi thấy nhân viên lễ tân không nhiệt tình với khách lắm 
Nguyen T. D. D. ,Đà Lạt,Victorian Hotel Dalat,5.4,"Phòng không giống như hình. Đi hưởng tuần trăng mật mà lại ở cái phòng như vậy quá thất vọng không xúng đáng với giá tiền mình bỏ ra Ở phòng tầng hầm chật hẹp, ẩm mốc, quá thất vọng"
Dan V. ,Nha Trang,Rex Hotel and Apartment,9.7,"Khách sạn sạch sẽ, cực kỳ thân thiện. Sẽ quay lại và giới thiệu cho bạn bè :)"
Đinh Quốc Thái,Phan Thiết,Seahorse Resort & Spa Phan Thiết,9.0,Chuyến đi của tôi và gia đình rất ok
Doan N. T. ,Hồ Chí Minh,Khách sạn Cozrum Smart - First Target,5.5,"Tệ cực kì tệ, bạn nhân viên ở zalo take care rất tốt nhưng khi thực tế đến ở mới sợ, người được gọi là quản gia rất khó chịu, phòng cách âm tệ, bẩn"
Le T. H. ,Nha Trang,Rex Hotel and Apartment,8.6,Nên có welcome drink và đồ ăn sáng. Chăn gối và khăn hơi cũ. 
 Bùi Xuân Bảo,Phú Quốc,Vinpearl Resort & Spa Phú Quốc,10.0,Khách sạn dịch vụ quá tuyệt vời. Hỗ trợ rất tốt :) 
 Hoàng Như Huế,Nha Trang,Khu nghỉ dưỡng Vinpearl Nha Trang,8.0,"Phòng hơi cũ và bí, diện tích hơi nhỏ, nhưng nhìn chung mọi việc khá ổn"
 Lê Văn Tiến,Phan Thiết,Khu nghỉ dưỡng Muine Bay Phan Thiết,10.0,ivivu thỉnh thoảng update booking với đối tác trễ nên khâu nhận phòng phải chờ đợi lâu
 Cái Kim Tuấn Anh,Nha Trang,Khu nghỉ dưỡng Amiana Nha Trang,10.0,Vô cùng hài lòng về chất lượng của resort
Vo T. N. ,Quy Nhơn,AVANI Quy Nhon Resort and Spa,8.5,"Thực sự thư giản!!! Chúng tôi check in khá trễ nhưng vẫn có bell và bạn lễ tân đưa lên tới tận phòng và giới thiệu đầy đủ các thông tin của khách sạn. Phòng nói chung khá đơn giản, các vật dụng amenity không được đầy đủ như các kháchsạn 5 sao khác. Phòng không có bồn tắm nằm. Nhưng lại có view ra biển rất đẹp. Ban công rộng rãi. Bãi biển sạch sẽ. Bữa ăn sáng rất ít món. Chẳng biết ăn gì luôn. Thịt nguội và chả bị hỏng (thiu). Nhưng nói chung thật sự thư giản khi ở đây. Vị trí khá đẹp."
Thu T. ,Đà Nẵng,Khách sạn Brown Bean,8.8,Giá phòng rẻ. Ở vị trí thuận tiện. Sẽ ghé lại lần sau
Nguyen H. C. ,Huế,Khu nghỉ dưỡng Pilgrimage Village Boutique,8.9,"Một khách sạn tuyệt trong những khách sạn tại Huế, bữa sáng tuyệt vời, tuy khách sạn còn chưa chuyên nghiệp khi giao tiếp với khách"
Quynh N. ,Phú Quốc,Linh Dan Bungalow,6.0,"Đặt phòng thanh toán trước nhưng khi đến, khách sạn lại đổi cho phòng nhỏ hơn. Làm lớn chuyện với quản lý mới nhận được phòng đã đặt. Đèn nhà vệ sinh hư, mình ở 3 đêm nhưng không sửa, dùng tạm đèn sạc. Không dọn phòng. Khăn tắm phải tự ra sân phơi để lấy chứ không đưa cho khách."
Pham T. H. ,Nha Trang,Melissa Hotel Nha Trang,8.5,"Cảnh biển đẹp, dịch vụ tốt"
Huynh T. T. N. ,Đà Nẵng,Khách sạn Royal Charm,9.7,Nhân viên thân thiện giúp đỡ nhiệt tình 🤗🤗 Cảm ơn các bạn trẻ
Đoàn Trần Thanh Tâm,Nha Trang,Khu nghỉ dưỡng The Anam Nha Trang,9.0,"Khách sạn nằm xa trung tâm nhưng rất đẹp, phù hợp để nghỉ dưỡng, dịch vụ khách sạn tốt. Nhân viên iVIVU.com hỗ trợ nhiệt tình."
Thi K. G. N. ,Đà Lạt,Cereja Hotel & Resort Dalat,8.5,"khách sạn tốt, nhân viên vui vẻ nhiệt tình. tuyệt vời"
Phuong P. ,Hà Nội,Ma Coeur Boutique Hotel,8.8,"Phòng sạch sẽ, rộng rãi, sẽ quay lại"
Le A. T. ,Quy Nhơn,Mento Hotel Quy Nhon,10.0,"Khách sạn mới, đẹp, sạch sẽ, gần biển. Nhân viên lễ tân nam rất thân thiện"
Nguyễn Nhung,Phan Thiết,Victoria Phan Thiết Beach Resort & Spa,10.0,"Khách sạn có chất lượng tốt, thoải mái và tiện nghi, ngày tôi đến khách sạn mưa rất nhiều nên chủ yếu là ở tại khách sạn thôi, nhân viên khách sạn rất dễ thương. IVIVU làm việc nhanh và chu đáo."
Andrew K. ,Hồ Chí Minh,The Noble Swan Woodpark Hotel,9.1,"Quán trọ đẹp, lễ tân mở cửa 24 giờ. Bao gồm bữa sáng, khu vực của khách du lịch ba lô."
 Lê Quang Liêm,Vũng Tàu,Khu nghỉ dưỡng Holiday Inn Hồ Tràm,10.0,"Dịch vụ ivivu và Khách sạn rất tốt
"
Lê Diệu Trâm,Phan Thiết,Victoria Phan Thiết Beach Resort & Spa,10.0,"Phòng và dịch vụ ok, buffet phong phú món ăn. Tôi đã sử dụng dịch vụ của iVIVU nhiều lần và thích lắm "
Le H. H. ,Đà Nẵng,Khách sạn Royal Charm,8.5,"Phòng sạch sẽ, nhân viên nhẹ nhàng"
Vo H. K. ,Phú Quốc,Radisson Blu Resort Phu Quoc,6.9,"Phục vụ rất chu đáo tận tình, vui vẻ lịch sự, tiện nghi đầy đủ. Nhưng phòng ở có vấn đề là nhà tắm bị bốc mùi hôi do bị hở xi phông, số phòng 2032. Thức ăn được chế biến quá lâu."
Thanh N. ,Nha Trang,Vinpearl Resort Nha Trang - Hon Tre Island,9.4,"Tốt nhân viên nhiệt tình,chu đáo"
 Nguyễn Thị Thanh Thủy,Đà Nẵng,Meliã Vinpearl Đà Nẵng Riverfront,10.0,Tuyệt vời
Tran T. T. T. ,Huế,Hong Thien 1 Hotel,8.5,"Room was clean và dịch vụ là tốt. bầu không khí trong lành, cũng nằm nhờ vào những nhà hàng và quán rượu lân cận"
 Tô Thanh Tuyền,Nha Trang,Khu nghỉ dưỡng Amiana Nha Trang,10.0,"Tôi rất hài lòng về khách sạn, phòng ốc sạch sẽ, trang trí đẹp. Nhân viên ivivu hỗ trợ nhiệt tình"
Bui T. H. T. ,Phú Quốc,The Palmy Phú Quốc Resort & Spa,6.3,"Khách sạn cho thuê xe mắc. 2/9/2018 cho thuê 130k, sau 3 tháng lên 200k. 2/9/2018 khách sạn bao taxi cho khách đi sân bay và ngược lại, bây giờ phải tự trả. Đồ ăn sáng ít món"
 Tran Duc Duy,Phan Thiết,Khách sạn Sea Links Beach Phan Thiết,10.0,"Phục vụ ổn, gia đình tôi hài lòng về chuyến đi"
Nguyen Thi Bich Thuy,Quy Nhơn,Khu nghỉ dưỡng Crown Retreat Quy Nhơn,10.0,Tôi thấy nhân viên khách sạn và nhân viên rất nhiệt tình. Về phòng ốc khách sạn và cả dịch vụ tôi cũng thấy rất hài lòng.
 Le Nguyen Thanh Dat,Phú Quốc,Khu nghỉ dưỡng Premier Village Phu Quoc Managed By Accor,10.0,IVIVU tư vấn tôi rất nhiệt tình và khách sạn rất đẹp
Doan N. H. ,Đà Lạt,Dalat Edensee Lake Resort & Spa,8.5,Đó là một nơi tốt để thư giãn và nghỉ ngơi.
Nguyen H. B. T. ,Hội An,Lasenta Boutique Hotel Hoian,9.7,"Tuyệt vời, nhân viên rất thân thiện dễ thương. Khách sạn yên tĩnh."
Hoang Thuy Duong,Phú Quốc,JW Marriott Phu Quoc Emerald Bay Resort & Spa,10.0,"Chuyến đi rất vui, khách sạn chu đáo và rất lịch sự, cảm ơn IVIVU đã hỗ trợ."
Nguyễn Thị Quỳnh Anh,Phú Quốc,JW Marriott Phu Quoc Emerald Bay Resort & Spa,9.5,Chuyến đi của tôi ok
 Nguyễn Hoàng Vinh,Nha Trang,Khu nghỉ dưỡng The Anam Nha Trang,10.0,Tốt
Thi H. D. ,Đà Nẵng,Khu nghỉ dưỡng Risemount Premier Đà Nẵng,9.7,"Khách sạn sạch sẽ, gần trung tâm nên tiện ăn uống và đi lại. Nhân viên phục vụ tận tình, chu đáo."
Nguyen T. P. ,Hội An,Lasenta Boutique Hotel Hoian,10.0,"Khách sạn đẹp, yên tĩnh. Nhân viên thân thiện, cẩn thận. Không gian rộng rãi thoải mái"
Nguyen N. H. ,Đà Nẵng,Khách sạn Brown Bean,8.8,Vị trí thuận lợi. Nhân viên thân thiện
Luu M. ,Hồ Chí Minh,Ruby Saigon Hotel,8.8,"Bồn tắm hơi dơ. Phòng hơi nhỏ. Điều hòa không nên để khu vực phía đầu giường dễ gây cảm lạnh. Phòng cách âm chưa tốt. Lễ tân thân thiện, vui vẻ. Phòng sạch sẽ, không mùi. Đi lại thuận tiện."
Thuy T. L. ,Vũng Tàu,Minera Hot Springs Binh Chau,8.5,"Minera mới xây lại nên đẹp, rộng rãi. Nhiều hoạt động vui chơi hơn. Tuy phòng chưa được sửa sang lại nhưng cũng tạm được, phòng sạch sẽ, đầy đủ tiện nghi"
Glenn H. W. ,Hồ Chí Minh,The Noble Swan Woodpark Hotel,9.4,Địa điểm là rất tốt và nhân viên tiếp tân rất hữu ích. Sẽ trở lại lần nữa.
Van V. N. ,Phú Quốc,Muong Thanh Luxury Phu Quoc Hotel,8.5,tuyệt vời. hồ bơi rộng 500m2 có jaccuzi
Vo Thi Mai Thi,Đà Lạt,Khách Sạn LADALAT,8.5,"Ăn sáng không ngon lắm, xa trung tâm nên buồn. Được cái phòng ốc sạch sẽ, thoáng mát, rộng rãi. Sau khi tôi đã thanh toán thành công, các bạn iVIVU chủ động gửi thông tin chứ không cần tôi phải liên hệ lại. Tôi hài lòng về chuyến đi"
Cao N. P. N. ,Phú Quốc,Muong Thanh Luxury Phu Quoc Hotel,6.3,"-Vị trí của Khách sạn không thuận tiện đi lại xa tt - khách sạn không có bãi tắm, Xung quanh kháchsạn khg co điểm ĐàLạt và cảm giác heo hut -Đi nhằm vào đợt dịch càng buồn hơn, do kháchsạn cắt giảm chi phí như Sảnh khg điều hoà, nhà hang cũng khg, bữa sáng ít món. Nhưng giá phòng thì khg giảm. Với tầm ấy có thể vào vin ở hoặc resort 4* tren đường Trần hung Đạo lại được view biển"
Mai H. N. N. ,Phan Thiết,Hai Yen Family Resort,9.4,Thật tuyệt. Giá phòng rẻ. Đẹp. Nhân viên rất vui vẻ nhiệt tình. Nhất định ky nghi sau sẽ lại đến đây tiếp
Bach T. T. H. ,Hội An,Khách sạn Thanh Bình 2,6.0,"Không có nước nóng, vệ sinh kém"
 Lê Thị Thái Hà,Vũng Tàu,Khu nghỉ dưỡng Six Senses Côn Đảo,10.0,"Dịch vụ tốt, tôi cảm thấy hài lòng. "
Ta T. T. ,Nha Trang,Melissa Hotel Nha Trang,9.7,Hài lòng với dvu . Thái độ nhân viên nhiệt tình
Van H. T. ,Huế,DMZ Hotel,8.1,"Phòng ngay vị trí đẹp, tuy nhiên bữa sáng miễn phí sơ xài, dịch vụ tốt."
My H. ,Đà Nẵng,Angel Hotel Danang,9.7,"Phòng đẹp, thoải mái, các bạn nhân viên nhiệt tình"
Pham T. N. H. ,Đà Lạt,Royal Dalat Hotel,5.7,"Nhân viên tiếp tân tiếp đón quá tệ. Nếu không phải chân mình quá đau thì mình cũng có thể tự xách vali của mình, nhưng khi bước vào sảnh không một ai tiếp đón, nhân vien tiếp tân cũng không giới thiệu gì về phòng ốc như thế nào, đưa chìa khoá cho khách xong là xong. Ngày thứ hai thì khi mình xuống gửi chìa khoá thì hai bạn tiếp tân đang xem chương trình youtube với âm thanh khá lớn và chẳng đoái hoài gì tới khách! Với tiêu chí khách sạn 3 sao mà thái độ phục vụ của nhân viên như vậy là quá tệ!"
 Nguyễn Đức Thọ,Phan Thiết,Seahorse Resort & Spa Phan Thiết,4.0,"1. Nhân viên Resort thân thiện ngoại trừ nhân viên Spa (tỏ rõ thái độ khi khách chỉ sử dụng dịch vụ massage chân kèm theo khi đặt phòng combo).
2. Phòng Gym thiết bị sử dụng điện (máy chạy bộ, đạp xe... đều cũ kĩ, Không hoạt động - nhân viên Resort nói là đang chờ bảo dưỡng).
3. Phòng ốc đã cũ & đang có dấu hiệu xuống cấp.
4. Thức ăn nhà hàng khá đắt - mà không ngon. Buffet sáng món ăn khá hạn chế & nhiều dầu mỡ."
Luong M. H. ,Phan Thiết,Hai Yen Family Resort,8.2,Phục vu con hoi cham. nhung Cung tam đuợc
Jenny N. ,Hồ Chí Minh,Khách sạn Mường Thanh Luxury Sài Gòn,9.1,Khách sạn tốt quanh Sân bay Tân Sơn Nhất. Thuận tiện đi bất cứ đâu.
Tran K. T. ,Phú Quốc,The Palmy Phú Quốc Resort & Spa,9.7,"Khách sạn vô cùng đẹp, gia đình mình đặt phòng view biển nên buổi sáng rất đẹp, phòng sạch và tiện nghi, buffet sáng ăn ổn. Lễ tân và nhân viên thì siêu thân thiện và hỗ trợ nhiệt tình. Người thân mình để quên airpod tại phòng, sau khi lên máy bay về Sài Gòn mới nhớ ra là để quên nhưng bạn lễ tân vẫn hỗ trợ chuyển máy bằng GHN cho mình."
 Hoang Thi Nga,Nha Trang,Vinpearl Condotel Beachfront Nha Trang,8.0,"Khách sạn sạch sẽ, view đẹp, nhân viên thân thiện, buffet phong phú món ăn, căn hộ 2 phòng ngủ diện tích hơi nhỏ, ngoài ra việc tư vấn sử dụng dịch vụ tại khách sạn cũng như tại khu vui chơi Vinpearl Land (đặc biệt là dịch vụ ăn uống tại Vinpearl Land) chưa được chu đáo, tôi hy vọng nhân viên khách sạn sẽ tư vấn kỹ hơn cho các khách lưu trú tại KS và có đăng ký gói tham quan vui chơi tại Vinpearl Land. "
Pham T. T. L. ,Nha Trang,Rex Hotel and Apartment,9.4,phòng xinh xắn sạch sẽ! đi lại thuận lợi! khá hài lòng cho đến bây giờ
Tran K. D. ,Vũng Tàu,Khách sạn Hoàng Yến,8.6,Giá ngày Tết gấp đôi so với giá ngày thường
Lê Quyết Chiến,Phan Thiết,Victoria Phan Thiết Beach Resort & Spa,8.0,"Victoria Phan Thiết từ khung cảnh, vị trí, phòng ở, nhân viên phục vụ, tất cả đều rất tốt. Ivivu giá tốt."
 Nguyễn Thị Hồng Hạnh,Đà Lạt,Khu nghỉ dưỡng Ana Mandara Villas Dalat Resort and Spa,10.0,"Tôi hoàn toàn hài lòng khi ở Ana Mandara, phòng rất đẹp và tiện nghi, nhân viên phục vụ cũng rất tốt. Các bạn nhân viên của iVIVU.com đã hỗ trợ tôi đặt phòng rất tốt"
Nguyễn Thị Huyền,Phan Thiết,Khu nghỉ dưỡng Pandanus Phan Thiết,8.0,"Tôi thực sự rất hài lòng về resort này , mọi thứ đều rất sạch sẽ và phòng ốc cũng vậy , ở đây rất yên tĩnh , mọi dịch vụ đều rất tốt .




"
Luong H. T. ,Huế,Melia Vinpearl Hue,8.5,"Phòng đẹp, thoải mái, nhân viên chuyên nghiệp"
Le D. T. C. ,Phú Quốc,VinOasis Phu Quoc,9.3,"Thích hợp để nghỉ dưỡng hơn, đặc biệt phục vụ rất rốt!"
 Nguyễn Thị Thu,Quy Nhơn,Khu nghỉ dưỡng Crown Retreat Quy Nhơn,8.0,"Phòng đẹp nhưng toilet xấu quá, đơn điệu và không được sang trọng. Phòng gần biển nghe sóng biển nghe ầm ầm. Dịch vụ ok lắm"
Thuc T. ,Phan Thiết,Rạng Garden Beach Side Resort,5.1,Phòng khách sạn thì quá cũ mà lại chật hẹp (chắc khoản 15m2). Máy lạnh thì không hoạt động. Lối đi thì khá bẫn. Nói chung khác hoàn toàn với trong hình. Tôi đã đặt phòng có ban công nhưng nhìn dơ và xấu quá ở không được. Tóm lại là một trải nghiệm tồi.
 Võ Hoàng Sơn,Đà Lạt,Khách Sạn LADALAT,8.0,"Khách sạn cần trang bị thêm bàn ủi, máy lạnh"
Nguyen T. P. A. ,Phú Quốc,The Palmy Phú Quốc Resort & Spa,6.0,"mặc dù là kháchsạn 4* nhưng lại để khách sạn mất điện 2h đồng hồ và mặc kệ khách với thời tiết nóng nực, không hỏi han và không có 1 phương án khắc phục. mình gọi điện thoại xuống lễ tân hỏi có quạt không thì khách sạn không có và bảo phải chờ có điện chứ không làm gì đc. Xin đá uống nước cho mát thì lễ tân trả lời phải xuống tầng 1 xin chứ không mang lên (trong khi mất điện thang máy không hoạt động và mình ở trên tầng 6 😂😂) với 1 kháchsạn 4* thì như vậy mình đánh giá là không hề chuyên nghiệp và không phù hợp. ngoài ra cách bố trí phòng wc và phòng tắm vô cùng khó hiểu 😂😂. buffet sáng rất ít món nhưng đồ ăn cũng ngon miệng mặc dù 2 ngày ăn sáng xong thì mình và bạn mình đều đau bụng đi ngoài :)) sảnh kháchsạn thì bàn ghế bụi kinh khủng, không có ai lau dọn, ngõ vào kháchsạn thì lầy lội bụi bẩn. điểm khen duy nhất dành cho kháchsạn có lẽ là kháchsạn có 3 bể bơi vô cực và 2 trong số 3 bể bơi có view sống ảo vô cùng đẹp, có thể nói đẹp nhất Phú Quốc ^^"
Thanh T. L. ,Hội An,Thanh Binh Central Hotel,9.1,"Phòng đẹp, gần trung tâm tiện đi"
 Nguyễn Thị Thúy Nga ,Phan Thiết,Seahorse Resort & Spa Phan Thiết,10.0,"Tôi liên hệ lại bạn tư vấn lần trước đã hỗ trợ, nên book rất nhanh. Chất lượng phòng tốt, phục vụ chu đáo như lần rồi "
Minh A. H. ,Hà Nội,Ma Coeur Boutique Hotel,9.7,"Khách sạn đẹp, ăn sáng ngon, nhân viên rất tuyệt vời."
 Hồ Ngọc Trân,Vũng Tàu,Khách sạn Fusion Suites Vũng Tàu,10.0,"Bạn Tâm ivivu tư vấn và hỗ trợ đổi giờ xe nhiệt tình. Khách sạn mới đẹp, dịch vụ spa ok, hồ bơi siêu ảo"
 Nguyen Ngoc Ha,Đà Nẵng,InterContinental Đà Nẵng Sun Peninsula Resort,10.0,Kỳ nghỉ đã kết thúc tốt đẹp với khách sạn ở vị trí tuyệt đẹp và chất lượng dịch vụ tuyệt vời. Xin cám ơn!
