User_name,Location,Hotel_name,Rating,Comment
Thanh T. N.,Hà Nội,Dal Vostro Hotel & Spa,9.7,"Phòng sạch_sẽ, tinh tế từ những chi tiết nhỏ. dịch_vụ tốt và có hidden bar ngay dưới hầm. Từ khách_sạn đi vài bước là ra hồ Gươm và tiện_ích xung quanh có đủ. Một nơi xứng đáng để quay lại nhiều lần."
Ngo T. T. D.,Vũng Tàu,Khu nghỉ dưỡng Holiday Inn Hồ Tràm,10.0,"dịch_vụ khách_sạn mình hài lòng, nhân_viên tư vấn ivivu hỗ trợ mình nhiệt tình, mình làm việc qua bạn này quen rồi."
Nguyen T. V.,Đà Nẵng,Meliã Vinpearl Đà Nẵng Riverfront,10.0,"Chất lượng khách_sạn tốt. Gia đình tôi hài lòng, đã có chuyến đi vui vẻ"
Nguyen V. H.,Phan Thiết,Khu nghỉ dưỡng Muine Bay Phan Thiết,10.0,Mình cảm thấy hài lòng với dịch_vụ của khách_sạn và cả nhân_viên tư vấn của ivivu
Nguyen T.,Phú Quốc,Muong Thanh Luxury Phu Quoc Hotel,10.0,"nhân_viên lịch sự, nhã nhặn. dịch_vụ khách_sạn tốt"
Nguyen T. M. H.,Nha Trang,Khu nghỉ dưỡng The Anam Nha Trang,6.0,"Buffet sáng quá ít món 
Khuôn viên nhiều công trùng 
Bãi biển còn nhiều vỏ sò ốc
Cảnh quan đẹp nhân_viên phục_vụ OK 
Nhà hàng ăn trưa tối nấu ăn ngon"
Nguyen T. T.,Huế,TinTin Hostel,5.1,"Phòng cũ và xấu quá, hình đăng trên web chắc chụp từ lúc mới xây, khác xa so với thực tế."
Thi T. T. P.,Hội An,Khách sạn Thanh Bình 2,8.5,"Phòng giống hình, ăn sáng ít món."
Tran Q. T.,Đà Nẵng,InterContinental Đà Nẵng Sun Peninsula Resort,10.0,"dịch_vụ tốt, do đang sửa chữa nên hơi ồn, nhân_viên tư vấn nhiệt tình, mình hay đi của ivivu."
Pham T. T. T.,Phú Quốc,Vinpearl Resort & Spa Phú Quốc,9.0,Khu nghỉ dưỡng rất tốt. Chúng tôi rất hài lòng với dịch_vụ ở đây. Cảm ơn ivivu đã hỗ trợ đặt phòng giúp chúng tôi.
Thu N.,Phan Thiết,Khu nghỉ dưỡng Pandanus Phan Thiết,10.0,"Khu nghỉ dưỡng phục_vụ tôi không phàn nàn gì, thấy rất thích luôn"
Pham T. L.,Đà Nẵng,InterContinental Đà Nẵng Sun Peninsula Resort,10.0,tuyệt vời
Nguyen T. K. T.,Nha Trang,Rex Hotel and Apartment,4.8,"Phòng cách âm tệ, quá ồn không nghỉ ngơi được, từ hành lang vào phòng hôi mùi cống bốc lên, không có nhân_viên hỗ trợ mang hành lý đến phòng mà khách phải lội bộ 1 lầu để sách đồ lên. Khăn tắm và giường gối hôi mùi mồ hôi kinh khủng không thể nào chấp nhận được."
Huynh M. T.,Đà Lạt,Khách sạn Hồng Tâm Đà Lạt,6.0,"Ở Đà Lạt mà không có nước nóng, phải càm ràm với lễ tân, hồi sau mới có nước nóng, rồi đang tắm nửa chừng nước hết nóng, cứ như chỉ cho tắm mỗi lần 5-10 phút... không lẽ chửi thề? Khách đi cả ngày, về thấy phòng chả dọn dẹp gì hết. Khuyên mọi người chớ có tin vô mấy cái hình hoành tráng ảo họ đăng"
Pham T. T. T.,Nha Trang,Rex Hotel and Apartment,6.0,nhân_viên khách_sạn không thân thiện
Nguyen T. T.,Phan Thiết,Phan Thiet Ocean Dunes Resort,9.1,"khách_sạn có khuôn viên rộng, sạch_sẽ và nhiều cây thoáng mát."
Pham T. T. H.,Đà Lạt,Khu nghỉ dưỡng Ana Mandara Villas Dalat Resort and Spa,8.0,"Ban đầu mình không có request ở tầng cao tuy nhiên khi mình đến khách_sạn xếp phòng tầng 1 mình có yêu cầu đổi nhưng khách_sạn báo full phòng, mình ở 3 ngày, nhưng khách_sạn cũng không sắp xếp được, các dịch_vụ khác ok, mình hài lòng. "
Nguyen Q. H.,Vũng Tàu,Khách sạn Hoàng Yến,5.8,"Thực sự do kỳ nghỉ làm giá phòng tăng cao, tuy vậy cũng không thể nào có chất lượng phòng không cao đến vậy. Mọi thứ khá ọp ẹp và cũ kỹ, thiếu tiện nghi. Tuy nhiên, về mặt thời gian và tiền bạc cũng là một điểm khá hợp lý và mọi người thân thiện."
Nguyen K. H.,Huế,Khách sạn Poetic Huế,9.1,"Phòng sạch, nhân_viên thân thiện,"
Ngo P. T.,Đà Nẵng,Khu nghỉ dưỡng Furama Đà Nẵng,9.5,"nhân_viên chu đáo, hỗ trợ chuyến đi của tôi ok"
Nguyen T. H. T.,Phú Quốc,VinOasis Phu Quoc,9.4,"khách_sạn cực kỳ sạch_sẽ, hiện đại, bể bơi nước trong vắt, có xe đưa đón rất thuận tiện, buffet sáng khá ngon, nhân_viên thân thiện, lễ phép! Điểm trừ: mình có em bé, đến từ rất sớm nhưng nhận phòng lại muộn (bạn mình đến sau lại được nhận phòng trước, không hiểu khách_sạn ưu tiên thế nào!). Mình ở 2 ngày nhưng xe đẩy em bé luôn là không mượn được, mình chọn ở đây 1 phần vì có xe đẩy nên mình không mang theo vậy mà không có xe cho mượn, bế muốn gãy cái tay 🥲"
Nguyen D. N.,Phan Thiết,Victoria Phan Thiết Beach Resort & Spa,10.0,Mọi thứ tôi thấy hầu  như đều tốt. Chuyến đi thật sự thoải mái và hài lòng
Pham T. T.,Hội An,Khách sạn Thanh Bình 2,7.0,"Phòng đẹp, nhân_viên nhiệt tình, wifi quá tệ, đóng cửa phòng lại là hết xài được."
Van T. N.,Quy Nhơn,Anya Hotel Quy Nhon,8.5,khách_sạn mới...mọi thứ ổn.hồ bơi đẹp...
Nguyen M. H.,Nha Trang,Aroma Nha Trang Boutique Hotel,9.7,"Mọi thứ đều tuyệt, trừ sàn nhà hơi dơ và thang máy hơi sợ"
Nguyen T. M.,Hồ Chí Minh,Khách sạn Meraki Boutique,9.7,"khách_sạn sạch_sẽ, nhân_viên dễ thương, vị trí trung tâm rất tiện cho việc đi chơi. Sẽ còn quay lại đặt phòng."
Nguyen T. C.,Đà Nẵng,Khách sạn Four Points by Sheraton Đà Nẵng,10.0,"Rất ấn tượng,  sẽ sử dụng thường xuyên và giới thiệu bạn bè sp này "
Tran T. V.,Đà Nẵng,Khách sạn Brown Bean,8.5,Mọi thứ điều ok. Đủ để cho ai thích ở lâu ngày đấy.❤️❤️
Thi M. T. H.,Phú Quốc,The Palmy Phú Quốc Resort & Spa,5.5,"Trước khi nhận phòng: khách_sạn bảo không có dịch_vụ đưa đón sân bay miễn_phí như liệt kê trong mô tả đặt phòng — gọi yêu cầu app — đặt phòng taxi xong rồi khách_sạn mới giải quyết. Lúc về gọi báo khách_sạn có đưa đón sân bay, khách_sạn lại chối, lại phải bảo app báo có mà, rồi lại báo có. Chán! Phòng nhận được sàn dơ, nhờ lau thì nói 15ph xuống thì 1 giờ sau phải gọi giục rồi mới xuống. Ngày hai yêu cầu dọn phòng buổi sáng mình ra ngoài nên nhờ tranh thủ, lúc về trưa thấy còn nguyên, chìu mình nhờ dọn lại. Thật sự sàn lau không sạch. Ăn sáng khỏi nói, đồ ăn vừa ít vừa không tươi vừa kiểu ỉu ỉu như để lâu. Nói chung mình không chọn khách_sạn này lần hai!"
Nguyen T. H.,Hạ Long,City Bay Palace Hotel,8.5,Tuyệt vời nếu có lần sau nhất định quay lại.
Dinh T. T.,Hồ Chí Minh,Khách sạn DDA Quận 1,6.0,"- không cho gửi xe máy, - phòng quá nhỏ, - Tivi không mở được, - Điện thoại bàn không có tín hiệu, không sử dụng được, - không thêm mới xà phòng và bàn chải đánh răng cho ngày ở thứ hai. - Ăn sáng quá tệ - Quá ồn, tiếng ồn từ nhạc và cả nhân_viên nói chuyện phía ngoài hành lang - nhân_viên không thân thiện. => tóm lại là rất tệ, không thể gọi là hotel mà chỉ có thể gọi là nhà trọ."
Tran N. T.,Phan Thiết,Khu nghỉ dưỡng Pandanus Phan Thiết,9.0,Set thực_đơn chất hơn lẩu thả (lẩu thả ăn để biết thôi). khu_nghỉ_mát đẹp
Tran V. T.,Đà Nẵng,Khu nghỉ dưỡng Núi Thần Tài Ebisu Đà Nẵng,9.5,"ivivu làm việc nhanh chóng và đầy đủ thông tin. Phòng và dịch_vụ tại khu nghỉ dưỡng ok, mọi việc tốt"
Nguyen V. T.,Phú Quốc,Vinpearl Discovery Wonderworld Phú Quốc,10.0,Ok
Nguyen T. T. D.,Phú Quốc,Vinpearl Discovery Wonderworld Phú Quốc,7.0,"Gia đình tôi đã nhận biệt_thự và đem hành lý để ở biệt_thự, sau đó chúng tôi đi ăn, khi về thì thấy có những khách khác ở trong phòng của mình, đồng thời hành lý của chúng tôi bị nén dưới sàn. Tôi gọi lễ tân thì rất lâu mới có nhân_viên đến và báo là giao nhầm biệt_thự cho khách khác. Buffet trong các bữa ăn tôi thấy khi hết thì không được thêm thức ăn nữa. Tôi không hài lòng về chuyến đi lần này"
Phuong A.,Đà Lạt,Khách Sạn LADALAT,10.0,"phòng rộng rãi, sạch_sẽ"
Thao T.,Hội An,Khách sạn Thanh Bình 2,9.7,"khách_sạn sạch_sẽ, nhân_viên thân thiện, nhiệt tình!"
Pham T. A.,Phan Thiết,Khách sạn Sea Links Beach Phan Thiết,8.0,"Cảm ơn nhân_viên ivivu hỗ trợ tôi đặt phòng khách_sạn nhanh chóng. Về chất lượng khách_sạn thì tôi không có phàn nàn, rất tuyệt vời. "
Nguyen B. H.,Đà Nẵng,Angel Hotel Danang,9.7,"phòng sạch, đẹp. nhân_viên nhiệt tình. ăn sáng hơi ít món và chưa ngon, tuy nhiên so với giá tiền thì rất tốt. khu vực xung quanh có nhiều siêu thị mini, quán ăn sẽ ghé và giới thiệu bạn bè đến đây"
Nguyen V. D.,Phú Quốc,Khu Nghỉ Dưỡng Best Western Premier Sonasea Phú Quốc,10.0,"Gia đình chúng tôi hài lòng về chuyến đi, dịch_vụ tốt rồi nên không phải phàn nàn gì"
Tran C. T.,Phú Quốc,JW Marriott Phu Quoc Emerald Bay Resort & Spa,10.0,"Tôi thấy khách_sạn có chất lượng tương xứng với giá_cả, cảm ơn ivivu đã hỗ trợ."
Nguyen V. H.,Hạ Long,Khách sạn Mường Thanh Luxury Quảng Ninh,6.0,Bát sen tắm kém Không hoạt động nên không gội đầu được. nhân_viên đổi cho phòng quá kém
Nguyen T. H.,Hồ Chí Minh,The Noble Swan Woodpark Hotel,4.5,Quá kinh khủng. Một kỳ nghỉ tồi tệ tại khách_sạn này.
Nguyen T. T. T.,Nha Trang,Khu nghỉ dưỡng Amiana Nha Trang,10.0,dịch_vụ tốt. Bãi biển buổi sáng nước trong veo và có thể thấy được cá.
Nguyen T. H.,Huế,TinTin Hostel,9.7,"Phòng ở thoải mái, sạch_sẽ. nhân_viên thân thiện vô cùng "
Nguyen T. T.,Quy Nhơn,Casa Marina Resort,10.0,"Rất hài lòng với dịch_vụ và cách phục_vụ của khu_nghỉ_mát, nhân_viên dễ thương, nhiệt tình và luôn sẵn sàng hỗ trợ khi cần, nhiều khung_cảnh để chụp hình siêu xinh, 10*"
Huong H.,Phú Quốc,Muong Thanh Luxury Phu Quoc Hotel,9.4,"khách_sạn sạch_sẽ, thoáng mát, nhân_viên phục_vụ nhiệt tình. Tuy nhiên khách_sạn hơi xa trung tâm."
Nguyen T. T. V.,Phú Quốc,Vinpearl Resort & Spa Phú Quốc,10.0,"phục_vụ tốt nhưng do chuyến đi tôi do bão nên không tham quan được nhiều. nhân_viên phục_vụ tận tình, đưa đón chu đáo"
Nguyen H. T.,Phú Quốc,Khu Nghỉ Dưỡng Best Western Premier Sonasea Phú Quốc,8.0,"Không có trái cây chào mừng, nên hơi buồn xíu. Đường xuống bãi biển cát không mịn. Chất lượng phòng tốt"
Tran T. H. T.,Huế,Hong Thien 1 Hotel,9.0,"khách_sạn phục_vụ tốt, nhân_viên tận tâm, phòng cũng khá ok :)))"
Tran H. T.,Phú Quốc,JW Marriott Phu Quoc Emerald Bay Resort & Spa,10.0,"Tôi rất hài lòng về khách_sạn này, dịch_vụ rất tuyệt vời, phong cách làm việc chuyên nghiệp. Về nhân_viên ivivu hỗ trợ tôi nhanh chóng và chu đáo."
Nguyen N. H.,Phan Thiết,Khu nghỉ dưỡng Pandanus Phan Thiết,9.0,Tốt . Không có gì phàn nàn !
Do T. K. O.,Phan Thiết,Khách sạn Sea Links Beach Phan Thiết,10.0,"Tôi rất thích nên tôi đã đến đây nhiều lần, mọi việc đều tốt cho chuyến đi"
Truong T. T.,Đà Nẵng,Khách sạn A La Carte Đà Nẵng,10.0,"Thông tin của ivivu và khách_sạn khác nhau, gây phiền phức. A la carte trả_phòng lúc 11h, ivivu thông tin 12h. Phụ thu con nít 200k, ivivu thông tin 150k."
Trang N.,Đà Nẵng,InterContinental Đà Nẵng Sun Peninsula Resort,10.0,khách_sạn có khung_cảnh tuyệt đẹp và dịch_vụ rất ổn. nhân_viên phục_vụ tận tâm làm khách luôn thấy hài lòng
Le T. D.,Đà Lạt,Khu nghỉ dưỡng Ana Mandara Villas Dalat Resort and Spa,10.0,"khách_sạn có chất lượng tốt, chuyến đi rất thuận_lợi. ivivu làm việc chu đáo, nhanh và nhiệt tình."
Nguyen T. T. T.,Đà Lạt,Khách Sạn LADALAT,9.5,"dịch_vụ và phòng ốc tại khách_sạn ok, chúng tôi hài lòng. nhân_viên ivivu nhiệt tình, tôi hỏi gì bạn cũng hỗ trợ nhanh chóng"
Trang N.,Quy Nhơn,Casa Marina Resort,9.1,"khách_sạn đẹp, sạch_sẽ, nhân_viên thân thiện. Tuy nhiên, dịch_vụ xe điện hơi chậm do có 1 nhân_viên. 
khách_sạn tốt có dịp sẽ ghé lại"
Nguyen T. T. D.,Phan Thiết,Victoria Phan Thiết Beach Resort & Spa,10.0,Mình rất ưng ý và đánh giá tốt cho khách_sạn và cho nhân_viên . Các bạn khá là nhiệt tình
Nguyen T. P.,Vũng Tàu,Khách sạn Royal Vũng Tàu,9.1,"khách_sạn sạch_sẽ, ăn sáng ổn, mọi thứ đều ok. Lễ tân chưa niềm nở lắm."
Nguyen T. H. T.,Đà Nẵng,Angel Hotel Danang,4.8,"Nhà vệ sinh vừa bẩn vừa hôi còn có gián, chăn ga thì không biết giặt chưa vẫn còn tóc của người ta, chăn ga loang ố màu! Bẩn"
Nguyen T. H.,Hồ Chí Minh,Khách sạn DDA Quận 1,6.4,"quá ồn ào , mặc dù đã đặt phòng trước nhưng khi đến vẫn hết phòng phải chuyển sang khách_sạn khác"
Minh A. H.,Hà Nội,Ma Coeur Boutique Hotel,9.7,"khách_sạn đẹp, ăn sáng ngon, nhân_viên rất tuyệt vời."
Le T. T. N.,Phan Thiết,Khu nghỉ dưỡng Pandanus Phan Thiết,10.0,"Tất cả điều tốt ,chỉ có xe không được tốt lắm "
Trang T.,Hồ Chí Minh,Khách sạn Meraki Boutique,5.1,"Phòng thì ban công khoá không được, máy lạnh thì cũ để 16 độ mà như 28 độ ? Đèn lại bị hư …."
Tran T. B. T.,Nha Trang,Khu nghỉ dưỡng Vinpearl Nha Trang,10.0,Chuyến đi khá ưng ý
Nguyen T. H. V.,Hạ Long,Khách sạn Mường Thanh Grand Hạ Long,10.0,"Phòng thoải mái, phục_vụ tốt"
Nguyen X. T.,Hạ Long,City Bay Palace Hotel,5.9,"khách_sạn khá ổn so với mức giá, vị trí thuận tiện đi lại có điều nhân_viên lễ tân không được thoải mái cho lắm"
Pham D. K.,Hà Nội,Hanoi Charming House,8.4,"Phòng sạch, nhân_viên thân thiện. Chi phí ở thêm 100k/giờ. Cửa phòng nhà_vệ_sinh hư không khóa được"
Nguyen T. D.,Phan Thiết,Seahorse Resort & Spa Phan Thiết,10.0,"Tôi thấy chuyến đi không có gì để phàn nàn,tốt hết."
Nguyen T. V. A.,Huế,Melia Vinpearl Hue,8.5,"Phòng ok, sạch_sẽ, đáng để ghé thăm lại"
Vo M. T.,Vũng Tàu,Minera Hot Springs Bình Châu (Khoáng Nóng Thiên Nhiên Bình Châu),10.0,"Mọi thứ đều rất tốt, sẽ quay lại đây sớm nhất có thể "
Phan T. T. H.,Quy Nhơn,Hoang Yen Canary Hotel Quy Nhon,9.4,"khách_sạn sạch_sẽ, nhân_viên lịch sự chu đáo. Đi ra biển gần chỉ tiếc là chỗ đó không tắm được mà phải đi lên một đoạn nữa. Đồ ăn tạm ổn nhưng phòng ăn hơi nhỏ. Nói chung là khá ổn!"
Nguyen T. T.,Huế,Phong Nha Hotel Hue,8.6,"Lễ tân nhiệt tình! khách_sạn ngay trung tâm Huế! Gần phố Tây, Phố đi bộ, Sông Hương... Tuy nhiên phòng cũ, nóng! Máy lạnh bị hư nên cần thiết thay! Mình không thấy khách đông nhưng yêu cầu đổi phòng thì được báo hết phòng Không có thang máy nên leo 4 tầng lầu hơi phê :(((( hy vọng khách_sạn khắc phục"
Nguyen T. H.,Phan Thiết,Victoria Phan Thiết Beach Resort & Spa,10.0,Tôi thấy chuyến đi được phục_vụ và ở chỗ rất tốt và đẹp.
Nguyen T. V.,Phan Thiết,Seahorse Resort & Spa Phan Thiết,10.0,"Phòng ốc cũng ok nhưng hơi nhiều muỗi, nhân_viên và dịch_vụ tốt"
Phuong N.,Phan Thiết,Khu nghỉ dưỡng Pandanus Phan Thiết,10.0,👍👍👍
Nguyen D. K.,Nha Trang,Khu nghỉ dưỡng Movenpick Cam Ranh,10.0,"Tôi đã nâng cấp phòng, phòng đẹp ở thoải mái. Bạn Đức tư vấn nhanh vfa nhiệt tình, tôi cũng đã đến đây 2 lần, thấy rất ưng ý"
